      Lon      Lat    Year     BNE    BINE     BNS    TeBS     IBS    TeBE    TrBE   TrIBE    TrBR     C3G     C4G   Total
     8.50    50.00    1980  0.0000  0.0000  0.0000  0.9973  0.0000  0.0000  0.0000  0.0000  0.0000  0.0393  0.0000  1.0366
     8.50    50.00    1981  0.0000  0.0000  0.0000  0.9591  0.0000  0.0000  0.0000  0.0000  0.0000  0.0266  0.0000  0.9857
     8.50    50.00    1982  0.0000  0.0000  0.0000  0.9690  0.0000  0.0000  0.0000  0.0000  0.0000  0.0235  0.0000  0.9925
     8.50    50.00    1983  0.0000  0.0000  0.0000  0.9662  0.0000  0.0000  0.0000  0.0000  0.0000  0.0504  0.0000  1.0167
     8.50    50.00    1984  0.0000  0.0000  0.0000  0.9494  0.0000  0.0000  0.0000  0.0000  0.0000  0.0098  0.0000  0.9593
     8.50    50.00    1985  0.0000  0.0000  0.0000  1.0050  0.0000  0.0000  0.0000  0.0000  0.0000  0.0081  0.0000  1.0131
     8.50    50.00    1986  0.0000  0.0000  0.0000  1.0272  0.0000  0.0000  0.0000  0.0000  0.0000  0.0059  0.0000  1.0331
     8.50    50.00    1987  0.0000  0.0000  0.0000  1.0359  0.0000  0.0000  0.0000  0.0000  0.0000  0.0029  0.0000  1.0389
     8.50    50.00    1988  0.0000  0.0000  0.0000  1.0413  0.0000  0.0000  0.0000  0.0000  0.0000  0.0014  0.0000  1.0427
     8.50    50.00    1989  0.0000  0.0000  0.0000  1.1482  0.0000  0.0000  0.0000  0.0000  0.0000  0.0009  0.0000  1.1491
     8.50    50.00    1990  0.0000  0.0000  0.0000  1.2521  0.0000  0.0000  0.0000  0.0000  0.0000  0.0006  0.0000  1.2527
     8.50    50.00    1991  0.0000  0.0000  0.0000  1.3329  0.0000  0.0000  0.0000  0.0000  0.0000  0.0587  0.0000  1.3916
     8.50    50.00    1992  0.0000  0.0000  0.0000  1.3794  0.0000  0.0000  0.0000  0.0000  0.0000  0.0009  0.0000  1.3803
     8.50    50.00    1993  0.0000  0.0000  0.0000  1.4358  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  1.4358
     8.50    50.00    1994  0.0000  0.0000  0.0000  1.4573  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  1.4573
     8.50    50.00    1995  0.0000  0.0000  0.0000  1.4018  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  1.4018
     8.50    50.00    1996  0.0000  0.0000  0.0000  1.3913  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  1.3913
     8.50    50.00    1997  0.0000  0.0000  0.0000  1.4642  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  1.4642
     8.50    50.00    1998  0.0000  0.0000  0.0000  1.3628  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  1.3628
     8.50    50.00    1999  0.0000  0.0000  0.0000  1.3965  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  1.3965
     8.50    50.00    2000  0.0000  0.0000  0.0000  1.3904  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  1.3904
     8.50    50.00    2001  0.0000  0.0000  0.0000  1.3379  0.0000  0.0001  0.0000  0.0000  0.0000  0.0000  0.0000  1.3380
     8.50    50.00    2002  0.0000  0.0000  0.0000  1.3149  0.0000  0.0001  0.0000  0.0000  0.0000  0.0000  0.0000  1.3150
     8.50    50.00    2003  0.0000  0.0000  0.0000  1.4157  0.0000  0.0001  0.0000  0.0000  0.0000  0.0000  0.0000  1.4159
     8.50    50.00    2004  0.0000  0.0000  0.0000  1.4466  0.0000  0.0001  0.0000  0.0000  0.0000  0.0469  0.0000  1.4937
     8.50    50.00    2005  0.0000  0.0000  0.0000  1.2071  0.0000  0.0001  0.0000  0.0000  0.0000  0.0000  0.0000  1.2071
     8.50    50.00    2006  0.0000  0.0000  0.0000  1.2321  0.0000  0.0001  0.0000  0.0000  0.0000  0.0000  0.0000  1.2322
     8.50    50.00    2007  0.0000  0.0000  0.0000  1.3159  0.0000  0.0040  0.0000  0.0000  0.0000  0.0885  0.0000  1.4084
     8.50    50.00    2008  0.0000  0.0000  0.0000  1.2456  0.0000  0.0042  0.0000  0.0000  0.0000  0.0582  0.0000  1.3079
     8.50    50.00    2009  0.0000  0.0000  0.0000  1.2947  0.0000  0.0050  0.0000  0.0000  0.0000  0.0540  0.0000  1.3537
     8.50    50.00    2010  0.0000  0.0000  0.0000  1.3391  0.0000  0.0059  0.0000  0.0000  0.0000  0.0582  0.0000  1.4031
     8.50    50.00    2011  0.0000  0.0000  0.0000  1.4306  0.0000  0.0074  0.0000  0.0000  0.0000  0.0718  0.0000  1.5098
     8.50    50.00    2012  0.0000  0.0000  0.0000  1.5490  0.0000  0.0110  0.0000  0.0000  0.0000  0.0506  0.0000  1.6106
