      Lon      Lat    Year      NH3       NO      NO2      N2O       N2    NSoil    Total
     8.50    50.00    1980    0.011    0.014    0.004    0.002    0.016    0.258    0.304
     8.50    50.00    1981    0.011    0.014    0.003    0.002    0.016    0.248    0.294
     8.50    50.00    1982    0.010    0.013    0.003    0.002    0.016    0.317    0.362
     8.50    50.00    1983    0.010    0.013    0.003    0.002    0.015    0.285    0.329
     8.50    50.00    1984    0.010    0.013    0.003    0.002    0.016    0.262    0.307
     8.50    50.00    1985    0.010    0.013    0.003    0.002    0.016    0.271    0.316
     8.50    50.00    1986    0.010    0.013    0.003    0.002    0.015    0.286    0.329
     8.50    50.00    1987    0.010    0.013    0.003    0.002    0.015    0.222    0.266
     8.50    50.00    1988    0.010    0.013    0.003    0.002    0.015    0.298    0.341
     8.50    50.00    1989    0.010    0.013    0.003    0.002    0.015    0.291    0.334
     8.50    50.00    1990    0.010    0.013    0.003    0.001    0.015    0.323    0.365
     8.50    50.00    1991    0.011    0.014    0.003    0.002    0.016    0.273    0.318
     8.50    50.00    1992    0.011    0.014    0.003    0.002    0.016    0.343    0.389
     8.50    50.00    1993    0.011    0.014    0.004    0.002    0.016    0.321    0.367
     8.50    50.00    1994    0.011    0.014    0.003    0.002    0.016    0.348    0.394
     8.50    50.00    1995    0.011    0.014    0.003    0.002    0.016    0.299    0.345
     8.50    50.00    1996    0.011    0.015    0.004    0.002    0.017    0.259    0.308
     8.50    50.00    1997    0.011    0.015    0.004    0.002    0.017    0.337    0.385
     8.50    50.00    1998    0.011    0.014    0.004    0.002    0.016    0.325    0.371
     8.50    50.00    1999    0.011    0.015    0.004    0.002    0.017    0.316    0.364
     8.50    50.00    2000    0.011    0.014    0.004    0.002    0.016    0.339    0.386
     8.50    50.00    2001    0.011    0.014    0.003    0.002    0.016    0.305    0.350
     8.50    50.00    2002    0.011    0.014    0.004    0.002    0.016    0.304    0.351
     8.50    50.00    2003    0.011    0.014    0.004    0.002    0.016    0.425    0.471
     8.50    50.00    2004    0.011    0.015    0.004    0.002    0.017    0.290    0.338
     8.50    50.00    2005    0.012    0.015    0.004    0.002    0.017    0.409    0.459
     8.50    50.00    2006    0.014    0.018    0.004    0.002    0.021    0.382    0.441
     8.50    50.00    2007    0.014    0.018    0.004    0.002    0.020    0.340    0.398
     8.50    50.00    2008    0.013    0.017    0.004    0.002    0.019    0.347    0.402
     8.50    50.00    2009    0.013    0.017    0.004    0.002    0.020    0.298    0.354
     8.50    50.00    2010    0.013    0.017    0.004    0.002    0.019    0.305    0.360
     8.50    50.00    2011    0.013    0.016    0.004    0.002    0.019    0.356    0.411
     8.50    50.00    2012    0.013    0.017    0.004    0.002    0.020    0.314    0.371
