      Lon      Lat    Year     VegN  LitterN    SoilN     Total
     8.50    50.00    1980   0.0087   0.0042   0.2328    0.2457
     8.50    50.00    1981   0.0085   0.0041   0.2328    0.2454
     8.50    50.00    1982   0.0084   0.0038   0.2329    0.2451
     8.50    50.00    1983   0.0090   0.0037   0.2323    0.2450
     8.50    50.00    1984   0.0089   0.0038   0.2322    0.2449
     8.50    50.00    1985   0.0086   0.0038   0.2328    0.2452
     8.50    50.00    1986   0.0085   0.0038   0.2324    0.2446
     8.50    50.00    1987   0.0087   0.0038   0.2322    0.2447
     8.50    50.00    1988   0.0087   0.0036   0.2322    0.2446
     8.50    50.00    1989   0.0090   0.0035   0.2320    0.2445
     8.50    50.00    1990   0.0092   0.0034   0.2320    0.2446
     8.50    50.00    1991   0.0109   0.0034   0.2311    0.2453
     8.50    50.00    1992   0.0108   0.0035   0.2313    0.2456
     8.50    50.00    1993   0.0108   0.0036   0.2317    0.2461
     8.50    50.00    1994   0.0109   0.0035   0.2319    0.2463
     8.50    50.00    1995   0.0109   0.0036   0.2320    0.2465
     8.50    50.00    1996   0.0110   0.0037   0.2323    0.2471
     8.50    50.00    1997   0.0111   0.0037   0.2327    0.2475
     8.50    50.00    1998   0.0109   0.0038   0.2327    0.2474
     8.50    50.00    1999   0.0111   0.0036   0.2328    0.2475
     8.50    50.00    2000   0.0110   0.0037   0.2328    0.2476
     8.50    50.00    2001   0.0105   0.0037   0.2331    0.2474
     8.50    50.00    2002   0.0108   0.0036   0.2331    0.2475
     8.50    50.00    2003   0.0112   0.0034   0.2336    0.2482
     8.50    50.00    2004   0.0130   0.0036   0.2322    0.2488
     8.50    50.00    2005   0.0124   0.0037   0.2334    0.2495
     8.50    50.00    2006   0.0097   0.0053   0.2343    0.2492
     8.50    50.00    2007   0.0105   0.0050   0.2337    0.2492
     8.50    50.00    2008   0.0103   0.0049   0.2340    0.2492
     8.50    50.00    2009   0.0104   0.0047   0.2341    0.2492
     8.50    50.00    2010   0.0105   0.0047   0.2342    0.2493
     8.50    50.00    2011   0.0110   0.0044   0.2342    0.2496
     8.50    50.00    2012   0.0120   0.0045   0.2339    0.2504
