      Lon      Lat    Year    Surf   Drain    Base   Total
     8.50    50.00    1980   180.5   318.3    12.9   511.7
     8.50    50.00    1981   383.4   364.6    16.6   764.7
     8.50    50.00    1982   146.6   270.2     6.8   423.6
     8.50    50.00    1983   146.5   336.4    13.8   496.7
     8.50    50.00    1984   140.5   334.7    11.8   487.1
     8.50    50.00    1985    25.4   249.7     6.2   281.4
     8.50    50.00    1986   103.2   310.0     7.9   421.1
     8.50    50.00    1987   176.5   337.8    15.1   529.4
     8.50    50.00    1988   115.2   331.5     8.1   454.8
     8.50    50.00    1989    77.3   279.4     9.4   366.1
     8.50    50.00    1990   103.5   243.0    10.3   356.8
     8.50    50.00    1991    52.1   228.9     6.1   287.1
     8.50    50.00    1992   103.1   298.0     9.2   410.3
     8.50    50.00    1993    99.4   238.2     5.2   342.8
     8.50    50.00    1994    13.6   298.2     4.4   316.2
     8.50    50.00    1995   173.1   321.9    10.3   505.4
     8.50    50.00    1996    73.3   251.8     5.9   331.0
     8.50    50.00    1997    31.9   257.6     2.6   292.1
     8.50    50.00    1998   131.9   322.6    12.8   467.3
     8.50    50.00    1999   158.8   300.5     8.7   468.0
     8.50    50.00    2000   150.8   366.6    12.2   529.5
     8.50    50.00    2001   147.9   382.3    14.3   544.6
     8.50    50.00    2002   225.9   323.3    15.3   564.4
     8.50    50.00    2003    37.8   156.2     1.1   195.1
     8.50    50.00    2004   115.4   259.2     6.8   381.3
     8.50    50.00    2005    71.5   234.1     5.2   310.8
     8.50    50.00    2006   106.9   292.6     9.0   408.4
     8.50    50.00    2007   154.5   310.8    11.0   476.4
     8.50    50.00    2008    46.3   284.7     6.8   337.8
     8.50    50.00    2009   115.6   297.5    13.3   426.4
     8.50    50.00    2010   115.0   298.7    10.5   424.2
     8.50    50.00    2011    84.5   241.3     7.8   333.6
     8.50    50.00    2012   123.4   279.4     8.7   411.6
