      Lon      Lat    Year    VegC LitterC   SoilC     Total
    10.45    51.08    1951   8.956   4.273  10.444    23.674
    10.45    51.08    1952   9.200   4.137  10.432    23.769
    10.45    51.08    1953   9.139   4.330  10.401    23.871
    10.45    51.08    1954   8.978   4.614  10.396    23.988
    10.45    51.08    1955   0.000  13.724  10.400    24.124
    10.45    51.08    1956   0.000  13.033  10.519    23.552
    10.45    51.08    1957   0.466  12.489  10.551    23.507
    10.45    51.08    1958   0.628  12.154  10.571    23.353
    10.45    51.08    1959   0.768  11.529  10.661    22.958
    10.45    51.08    1960   1.038  11.002  10.741    22.781
    10.45    51.08    1961   1.411  10.456  10.790    22.657
    10.45    51.08    1962   1.752  10.071  10.827    22.650
    10.45    51.08    1963   2.085   9.782  10.869    22.737
    10.45    51.08    1964   2.328   9.422  10.911    22.661
    10.45    51.08    1965   2.556   9.181  10.963    22.700
    10.45    51.08    1966   2.837   8.918  11.015    22.770
    10.45    51.08    1967   2.988   8.665  11.053    22.707
    10.45    51.08    1968   3.126   8.363  11.096    22.585
    10.45    51.08    1969   3.270   8.168  11.140    22.577
    10.45    51.08    1970   3.399   7.980  11.182    22.562
    10.45    51.08    1971   3.298   7.770  11.206    22.274
    10.45    51.08    1972   3.491   7.660  11.247    22.398
    10.45    51.08    1973   3.364   7.522  11.267    22.154
    10.45    51.08    1974   3.536   7.408  11.289    22.232
    10.45    51.08    1975   3.694   7.152  11.290    22.136
    10.45    51.08    1976   3.539   7.013  11.285    21.837
    10.45    51.08    1977   3.722   6.930  11.309    21.961
    10.45    51.08    1978   3.887   6.790  11.317    21.994
    10.45    51.08    1979   4.055   6.624  11.312    21.991
    10.45    51.08    1980   4.237   6.448  11.310    21.995
    10.45    51.08    1981   4.480   6.353  11.315    22.148
    10.45    51.08    1982   4.377   6.170  11.290    21.838
    10.45    51.08    1983   4.542   5.964  11.275    21.782
    10.45    51.08    1984   4.692   5.936  11.286    21.914
    10.45    51.08    1985   4.883   5.737  11.271    21.892
    10.45    51.08    1986   5.083   5.653  11.258    21.993
    10.45    51.08    1987   5.263   5.680  11.269    22.212
    10.45    51.08    1988   5.268   5.614  11.246    22.128
    10.45    51.08    1989   5.430   5.374  11.216    22.020
    10.45    51.08    1990   5.684   5.203  11.188    22.075
    10.45    51.08    1991   5.739   5.074  11.160    21.973
    10.45    51.08    1992   5.880   4.920  11.130    21.930
    10.45    51.08    1993   0.000  11.014  11.124    22.138
    10.45    51.08    1994   0.000  10.170  11.240    21.410
    10.45    51.08    1995   0.478   9.712  11.234    21.424
    10.45    51.08    1996   0.576   9.637  11.219    21.432
    10.45    51.08    1997   0.785   9.142  11.276    21.203
    10.45    51.08    1998   1.025   8.697  11.312    21.035
    10.45    51.08    1999   1.468   8.273  11.334    21.075
    10.45    51.08    2000   1.859   7.924  11.330    21.113
    10.45    51.08    2001   2.208   7.663  11.344    21.215
    10.45    51.08    2002   2.480   7.501  11.373    21.354
    10.45    51.08    2003   2.646   7.147  11.381    21.174
    10.45    51.08    2004   2.722   6.967  11.397    21.087
    10.45    51.08    2005   2.918   6.686  11.410    21.014
    10.45    51.08    2006   3.076   6.447  11.409    20.932
    10.45    51.08    2007   3.344   6.314  11.425    21.083
    10.45    51.08    2008   3.447   6.095  11.426    20.968
    10.45    51.08    2009   3.594   5.889  11.429    20.912
    10.45    51.08    2010   3.773   5.818  11.451    21.043
    10.45    51.08    2011   3.899   5.633  11.438    20.969
    10.45    51.08    2012   3.952   5.476  11.423    20.851
