      Lon      Lat    Year  FireRT
    10.45    51.08    1951   785.2
    10.45    51.08    1952   132.6
    10.45    51.08    1953   134.7
    10.45    51.08    1954   220.2
    10.45    51.08    1955  1000.0
    10.45    51.08    1956  1000.0
    10.45    51.08    1957  1000.0
    10.45    51.08    1958   240.3
    10.45    51.08    1959   109.0
    10.45    51.08    1960   146.8
    10.45    51.08    1961   123.5
    10.45    51.08    1962   118.1
    10.45    51.08    1963   276.6
    10.45    51.08    1964   117.2
    10.45    51.08    1965   152.0
    10.45    51.08    1966   249.5
    10.45    51.08    1967   140.8
    10.45    51.08    1968   118.6
    10.45    51.08    1969   170.8
    10.45    51.08    1970   152.9
    10.45    51.08    1971   115.0
    10.45    51.08    1972  1000.0
    10.45    51.08    1973   117.2
    10.45    51.08    1974   487.4
    10.45    51.08    1975   133.7
    10.45    51.08    1976   111.5
    10.45    51.08    1977   265.2
    10.45    51.08    1978   138.8
    10.45    51.08    1979   138.5
    10.45    51.08    1980   118.3
    10.45    51.08    1981   661.9
    10.45    51.08    1982   108.0
    10.45    51.08    1983   110.6
    10.45    51.08    1984  1000.0
    10.45    51.08    1985    89.6
    10.45    51.08    1986   147.4
    10.45    51.08    1987  1000.0
    10.45    51.08    1988    98.6
    10.45    51.08    1989   116.3
    10.45    51.08    1990   118.3
    10.45    51.08    1991    99.9
    10.45    51.08    1992   122.3
    10.45    51.08    1993   229.4
    10.45    51.08    1994  1000.0
    10.45    51.08    1995  1000.0
    10.45    51.08    1996  1000.0
    10.45    51.08    1997   120.1
    10.45    51.08    1998   152.7
    10.45    51.08    1999   761.3
    10.45    51.08    2000   132.1
    10.45    51.08    2001   200.6
    10.45    51.08    2002  1000.0
    10.45    51.08    2003   118.2
    10.45    51.08    2004   117.9
    10.45    51.08    2005   117.8
    10.45    51.08    2006   124.7
    10.45    51.08    2007   230.5
    10.45    51.08    2008   116.8
    10.45    51.08    2009   132.1
    10.45    51.08    2010   197.5
    10.45    51.08    2011   101.4
    10.45    51.08    2012   115.6
