      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.000   0.000   2.860  29.946  57.860  70.492  82.296  63.999  43.082  20.112   3.246   0.000
    10.45    51.08    1952   0.000   0.000   0.894  35.741  64.063  79.457  82.568  58.043  24.498  12.743   0.787   0.000
    10.45    51.08    1953   0.000   0.227   9.659  51.644  75.234  61.281  77.342  68.058  43.600  18.658   1.183   0.000
    10.45    51.08    1954   0.000   0.000   2.314  21.915  69.399  75.121  51.602  56.827  36.104  17.217   4.469   0.000
    10.45    51.08    1955   0.000   0.000   1.887  24.063  60.175  64.773  55.455  48.460  35.239  16.289   3.011   0.000
    10.45    51.08    1956   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    10.45    51.08    1957   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    10.45    51.08    1958   0.041   1.534   3.314  22.638  61.228  64.601  77.436  67.909  39.354  13.094   1.535   0.111
    10.45    51.08    1959   0.214   1.023  13.921  45.583  70.588  71.999  28.043  59.774  35.814  14.201   0.844   0.137
    10.45    51.08    1960   0.125   0.274   4.920  25.494  55.473  83.950  62.393  52.228  30.338  12.200   3.054   0.118
    10.45    51.08    1961   0.013   0.871  10.090  25.377  39.669  66.813  57.900  51.464  41.305  16.592   0.130   0.051
    10.45    51.08    1962   0.034   0.194   1.248  19.951  43.224  73.639  60.868  62.141  37.615  16.944   2.441   0.007
    10.45    51.08    1963   0.002   0.005   2.134  23.057  68.218  72.993  90.312  59.638  41.916  14.853   3.383   0.007
    10.45    51.08    1964   0.005   0.047   0.441  24.078  82.903 107.512  92.188  68.985  37.716  10.099   0.700   0.041
    10.45    51.08    1965   0.146   0.008   1.873  23.562  65.421  83.871  77.557  79.750  42.934  20.892   1.483   0.013
    10.45    51.08    1966   0.028   3.577   8.154  34.821  91.950  93.397  73.099  73.844  45.116  21.531   0.361   0.008
    10.45    51.08    1967   0.023   1.916  13.842  29.277  88.968  82.967 118.951  70.218  39.960  23.953   3.452   0.006
    10.45    51.08    1968   0.004   0.083   7.624  46.718  70.094  96.376  86.240  41.889  38.980  16.974   2.467   0.002
    10.45    51.08    1969   0.005   0.006   0.009  15.152  77.174  94.666 107.376  60.525  52.217  23.127   5.371   0.001
    10.45    51.08    1970   0.001   0.004   0.713  12.526  64.117 105.320  98.523  68.795  57.379  13.439   4.040   0.122
    10.45    51.08    1971   0.002   0.039   1.528  30.694  81.514  75.008  92.116  29.693  22.018  15.386   3.959   0.002
    10.45    51.08    1972   0.003   0.002   6.678  27.827  65.747  93.465  83.408  66.454  39.643  18.599   3.829   0.001
    10.45    51.08    1973   0.000   0.001   2.650  12.164  77.351  91.950  61.576  22.438  40.854  17.779   2.916   0.000
    10.45    51.08    1974   0.022   0.732  11.361  44.486  63.240  76.953  76.812  74.337  50.590   9.289   0.001   0.010
    10.45    51.08    1975   0.000   0.011   1.744  23.161  71.676  74.707 101.817  70.423  49.253  14.380   2.780   0.000
    10.45    51.08    1976   0.001   0.005   0.905  28.566  85.597  92.107  24.910  29.444  13.169  18.758   3.313   0.000
    10.45    51.08    1977   0.000   0.104   9.443  25.550  75.738  59.819  79.547  50.157  37.299  18.163   2.463   0.000
    10.45    51.08    1978   0.000   0.113   5.614  28.005  58.681  79.812  79.382  67.353  33.142  19.006   2.203   0.001
    10.45    51.08    1979   0.004   0.000   0.376  13.539  65.763  86.998  69.324  71.793  44.733  20.957   1.697   0.006
    10.45    51.08    1980   0.012   0.005   1.005  14.613  70.748  82.066  65.175  75.865  45.382  14.227   0.409   0.045
    10.45    51.08    1981   0.078   0.003  13.397  40.776  70.804  78.442  74.429  67.025  45.596  17.356   0.202   0.000
    10.45    51.08    1982   0.000   0.000   0.892  27.769  76.489  77.676  79.502  37.578   8.599  12.028   6.667   0.000
    10.45    51.08    1983   0.000   0.026   4.917  31.846  55.766  90.822  91.884  66.016  31.665  16.209   1.247   0.000
    10.45    51.08    1984   0.000   0.000   0.219  17.610  42.765  71.491  77.177  68.664  32.765  16.991   4.457   0.000
