      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   5.989  12.670  21.466  15.845   1.956  10.186   5.782   6.923   3.260   1.025   3.875   6.210
    10.45    51.08    1952   4.381   3.348  26.976  24.879   6.852   3.788   0.450   0.342   3.799   3.003   5.581   3.940
    10.45    51.08    1953   0.148   5.258  21.976   4.952   0.541   2.806   6.945   2.964   0.407   0.252   2.729   2.196
    10.45    51.08    1954   4.290   9.927  20.143  21.539   5.933   0.853   5.903   7.677   4.204   3.332   2.429   5.446
    10.45    51.08    1955   0.731   6.070   9.912  25.552   4.900   3.440   8.777  11.474   5.335   2.290   3.205   5.826
    10.45    51.08    1956   6.469   0.000  22.104  32.922  42.023  60.526  76.902  44.126  21.993  14.755   7.183   4.045
    10.45    51.08    1957   6.467  11.564  18.689  16.522  22.319  35.966  39.713  29.812  16.443  11.997   5.432   5.106
    10.45    51.08    1958   7.416   9.483   8.968  16.724   3.882   4.638   4.631   1.602   0.539   1.075   1.911   5.847
    10.45    51.08    1959   7.222   9.125   9.556   1.829   0.000   0.085   0.011   0.000   0.000   0.016   4.023   4.314
    10.45    51.08    1960   4.580  10.857  15.549   9.763   7.552   3.863   0.185   1.539   3.063   3.442   3.191   1.583
    10.45    51.08    1961   1.346  14.586  13.413  15.795  15.510  17.338   1.414   2.359   0.836   0.040   1.224   3.580
    10.45    51.08    1962   7.139  11.359   8.894  23.578   6.811   1.331   2.199   0.433   0.791   0.131   0.078   1.140
    10.45    51.08    1963   0.000   0.000  18.629  22.352   3.678   0.685   1.608   1.724   0.759   0.665   2.355   4.410
    10.45    51.08    1964   3.364  11.732  14.302  20.659   2.869   0.000   0.000   0.000   0.000   0.000   1.334   1.814
    10.45    51.08    1965   4.350   0.000  13.335  17.843   8.505   0.000   0.000   0.000   0.000   0.000   0.161   4.531
    10.45    51.08    1966   4.172   8.791  14.344  12.101   0.068   0.000   0.000   0.000   0.000   0.000   6.420   5.432
    10.45    51.08    1967   6.288  10.396  16.982  12.177   2.227   0.000   0.000   0.000   0.000   0.000   1.564   3.702
    10.45    51.08    1968   4.354  11.291  23.580   6.744   0.000   0.000   0.000   0.000   0.000   0.000   3.668   2.713
    10.45    51.08    1969   4.805   2.916   0.000  26.858   6.240   0.000   0.000   0.000   0.000   0.000   0.213   1.255
    10.45    51.08    1970   0.000   2.479  13.645  30.650   6.193   0.000   0.000   0.000   0.000   0.000   0.000   4.584
    10.45    51.08    1971   3.371   9.052  13.778  11.162   2.375   0.000   0.000   0.000   0.000   0.000   1.824   5.298
    10.45    51.08    1972   3.626   7.724  24.897  11.995   1.114   0.000   0.000   0.000   0.000   0.000   2.100   5.165
    10.45    51.08    1973   5.217   9.682  22.336  16.463   5.434   0.000   0.000   0.000   0.000   0.000   3.597   5.512
    10.45    51.08    1974   7.010   9.840  18.434   5.732   0.099   0.000   0.000   0.000   0.000   0.000   9.042   6.706
    10.45    51.08    1975   8.039  11.109  20.528  25.324   2.679   0.000   0.000   0.000   0.000   0.000   1.105   1.870
    10.45    51.08    1976   6.269  10.088  14.800  10.908   1.266   0.000   0.000   0.000   0.000   0.000   0.870   2.582
    10.45    51.08    1977   3.573   9.303  18.269  14.515   1.334   0.000   0.000   0.000   0.000   0.000   6.137   5.729
    10.45    51.08    1978   6.135   5.499  17.610  10.856   1.827   0.000   0.000   0.000   0.000   0.000   3.003   3.851
    10.45    51.08    1979   0.000   0.000  17.946  28.538  10.330   0.000   0.000   0.000   0.000   0.000   3.132   5.647
    10.45    51.08    1980   5.173  11.274  12.016  18.111  10.757   0.000   0.000   0.000   0.000   0.000   2.069   3.064
