      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.000   0.000   0.005   0.072   0.192   0.225   0.218   0.176   0.133   0.091   0.022   0.000
    10.45    51.08    1952   0.000   0.000   0.002   0.099   0.220   0.230   0.198   0.152   0.112   0.069   0.012   0.000
    10.45    51.08    1953   0.000   0.000   0.021   0.162   0.213   0.189   0.206   0.188   0.140   0.081   0.007   0.000
    10.45    51.08    1954   0.000   0.000   0.005   0.056   0.209   0.213   0.178   0.170   0.121   0.081   0.025   0.000
    10.45    51.08    1955   0.000   0.000   0.003   0.056   0.208   0.206   0.172   0.150   0.125   0.078   0.016   0.000
    10.45    51.08    1956   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    10.45    51.08    1957   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    10.45    51.08    1958   0.000   0.004   0.007   0.065   0.162   0.168   0.185   0.157   0.093   0.032   0.004   0.001
    10.45    51.08    1959   0.001   0.003   0.036   0.117   0.181   0.178   0.073   0.128   0.114   0.053   0.002   0.001
    10.45    51.08    1960   0.002   0.002   0.012   0.065   0.167   0.217   0.180   0.144   0.097   0.049   0.015   0.001
    10.45    51.08    1961   0.001   0.008   0.030   0.100   0.160   0.217   0.188   0.170   0.130   0.072   0.003   0.001
    10.45    51.08    1962   0.003   0.002   0.004   0.056   0.163   0.234   0.211   0.202   0.140   0.069   0.011   0.001
    10.45    51.08    1963   0.000   0.000   0.010   0.068   0.213   0.240   0.248   0.195   0.145   0.065   0.025   0.001
    10.45    51.08    1964   0.000   0.002   0.004   0.073   0.248   0.279   0.241   0.196   0.120   0.043   0.005   0.002
    10.45    51.08    1965   0.002   0.000   0.009   0.062   0.196   0.244   0.224   0.229   0.150   0.075   0.008   0.001
    10.45    51.08    1966   0.001   0.010   0.019   0.103   0.260   0.250   0.222   0.208   0.142   0.080   0.003   0.001
    10.45    51.08    1967   0.001   0.006   0.031   0.070   0.238   0.236   0.273   0.194   0.134   0.089   0.015   0.001
    10.45    51.08    1968   0.001   0.001   0.020   0.112   0.211   0.252   0.229   0.124   0.131   0.072   0.011   0.000
    10.45    51.08    1969   0.001   0.000   0.001   0.039   0.216   0.256   0.243   0.176   0.156   0.085   0.026   0.000
    10.45    51.08    1970   0.000   0.000   0.002   0.029   0.187   0.260   0.248   0.199   0.162   0.060   0.023   0.002
    10.45    51.08    1971   0.000   0.001   0.003   0.073   0.208   0.222   0.227   0.076   0.074   0.056   0.018   0.001
    10.45    51.08    1972   0.000   0.000   0.014   0.069   0.198   0.264   0.216   0.197   0.129   0.065   0.018   0.000
    10.45    51.08    1973   0.000   0.000   0.006   0.025   0.208   0.244   0.171   0.055   0.125   0.068   0.013   0.000
    10.45    51.08    1974   0.000   0.002   0.028   0.116   0.202   0.236   0.225   0.192   0.152   0.041   0.000   0.000
    10.45    51.08    1975   0.000   0.000   0.004   0.053   0.208   0.224   0.245   0.175   0.143   0.056   0.012   0.000
    10.45    51.08    1976   0.000   0.000   0.001   0.061   0.230   0.238   0.057   0.092   0.057   0.072   0.017   0.000
    10.45    51.08    1977   0.000   0.000   0.025   0.064   0.234   0.188   0.224   0.164   0.124   0.077   0.017   0.000
    10.45    51.08    1978   0.000   0.000   0.012   0.065   0.180   0.229   0.227   0.194   0.124   0.076   0.008   0.000
    10.45    51.08    1979   0.000   0.000   0.001   0.033   0.173   0.233   0.212   0.202   0.143   0.075   0.012   0.000
    10.45    51.08    1980   0.000   0.000   0.002   0.035   0.190   0.243   0.198   0.201   0.147   0.061   0.001   0.000
    10.45    51.08    1981   0.000   0.000   0.034   0.116   0.211   0.222   0.207   0.191   0.148   0.072   0.002   0.000
    10.45    51.08    1982   0.000   0.000   0.001   0.059   0.196   0.208   0.202   0.088   0.025   0.061   0.034   0.000
    10.45    51.08    1983   0.000   0.000   0.011   0.087   0.198   0.247   0.225   0.164   0.109   0.062   0.006   0.000
    10.45    51.08    1984   0.000   0.000   0.000   0.039   0.145   0.223   0.221   0.191   0.118   0.082   0.020   0.000
    10.45    51.08    1985   0.000   0.000   0.001   0.072   0.205   0.224   0.251   0.208   0.130   0.013   0.009   0.000
    10.45    51.08    1986   0.000   0.000   0.001   0.029   0.214   0.244   0.235   0.188   0.141   0.092   0.033   0.000
    10.45    51.08    1987   0.000   0.000   0.001   0.074   0.203   0.211   0.242   0.192   0.140   0.084   0.019   0.000
    10.45    51.08    1988   0.000   0.000   0.002   0.061   0.238   0.198   0.246   0.200   0.080   0.048   0.016   0.000
    10.45    51.08    1989   0.000   0.000   0.025   0.086   0.276   0.261   0.119   0.100   0.085   0.092   0.013   0.000
    10.45    51.08    1990   0.000   0.008   0.066   0.125   0.283   0.213   0.239   0.093   0.125   0.078   0.000   0.000
    10.45    51.08    1991   0.000   0.000   0.027   0.116   0.190   0.243   0.098   0.190   0.074   0.051   0.006   0.000
    10.45    51.08    1992   0.000   0.000   0.011   0.069   0.244   0.199   0.215   0.115   0.150   0.057   0.003   0.000
    10.45    51.08    1993   0.000   0.000   0.020   0.126   0.222   0.231   0.227   0.206   0.126   0.066   0.002   0.000
    10.45    51.08    1994   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    10.45    51.08    1995   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    10.45    51.08    1996   0.000   0.001   0.002   0.083   0.119   0.189   0.175   0.133   0.050   0.027   0.006   0.000
    10.45    51.08    1997   0.000   0.005   0.036   0.092   0.175   0.161   0.133   0.158   0.115   0.032   0.005   0.001
    10.45    51.08    1998   0.003   0.009   0.028   0.098   0.204   0.193   0.169   0.137   0.092   0.036   0.002   0.001
    10.45    51.08    1999   0.003   0.002   0.017   0.088   0.224   0.223   0.208   0.184   0.147   0.055   0.011   0.002
    10.45    51.08    2000   0.002   0.006   0.023   0.113   0.256   0.236   0.185   0.214   0.130   0.079   0.014   0.003
    10.45    51.08    2001   0.002   0.004   0.014   0.077   0.275   0.230   0.267   0.199   0.117   0.095   0.013   0.001
    10.45    51.08    2002   0.003   0.014   0.044   0.111   0.224   0.258   0.217   0.197   0.148   0.051   0.005   0.001
    10.45    51.08    2003   0.002   0.001   0.025   0.114   0.244   0.310   0.215   0.077   0.166   0.049   0.010   0.001
    10.45    51.08    2004   0.001   0.003   0.036   0.155   0.226   0.263   0.256   0.118   0.051   0.090   0.003   0.001
    10.45    51.08    2005   0.002   0.001   0.022   0.133   0.236   0.231   0.180   0.203   0.152   0.105   0.022   0.001
    10.45    51.08    2006   0.000   0.001   0.006   0.094   0.268   0.287   0.192   0.191   0.141   0.096   0.024   0.002
    10.45    51.08    2007   0.001   0.002   0.024   0.182   0.255   0.272   0.247   0.227   0.149   0.072   0.010   0.001
    10.45    51.08    2008   0.001   0.008   0.029   0.095   0.279   0.266   0.239   0.117   0.081   0.080   0.006   0.000
    10.45    51.08    2009   0.000   0.000   0.003   0.161   0.255   0.233   0.252   0.140   0.121   0.057   0.010   0.000
    10.45    51.08    2010   0.000   0.000   0.023   0.141   0.182   0.273   0.248   0.190   0.144   0.076   0.012   0.000
    10.45    51.08    2011   0.000   0.001   0.031   0.196   0.242   0.254   0.232   0.169   0.116   0.057   0.004   0.000
    10.45    51.08    2012   0.000   0.000   0.044   0.100   0.231   0.232   0.241   0.166   0.078   0.071   0.009   0.000
