      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951  -0.021  -0.016  -0.014   0.012   0.064   0.088   0.059   0.037   0.016   0.028  -0.011  -0.017
    10.45    51.08    1952  -0.016  -0.008  -0.019   0.016   0.093   0.077   0.009  -0.011   0.031   0.020  -0.008  -0.008
    10.45    51.08    1953  -0.009  -0.011  -0.015   0.057   0.062   0.040   0.050   0.036   0.021  -0.000  -0.023  -0.022
    10.45    51.08    1954  -0.008  -0.004  -0.021   0.009   0.075   0.042   0.048   0.041   0.016   0.015  -0.007  -0.019
    10.45    51.08    1955  -0.007  -0.009  -0.008   0.009   0.079   0.062   0.026   0.029   0.020   0.014  -0.008  -0.015
    10.45    51.08    1956  -0.013   0.000  -0.008  -0.029  -0.077  -0.083  -0.091  -0.090  -0.080  -0.055  -0.017  -0.016
    10.45    51.08    1957  -0.003  -0.015  -0.026  -0.033  -0.047  -0.083  -0.099  -0.076  -0.055  -0.035  -0.022  -0.007
    10.45    51.08    1958  -0.007  -0.010  -0.000   0.029   0.041   0.034   0.016  -0.027  -0.059  -0.049  -0.024  -0.010
    10.45    51.08    1959  -0.013  -0.002  -0.012   0.010   0.019  -0.000  -0.116  -0.056  -0.022  -0.031  -0.021  -0.007
    10.45    51.08    1960  -0.012  -0.005  -0.014  -0.005   0.040   0.024   0.001  -0.027  -0.019  -0.008  -0.018  -0.011
    10.45    51.08    1961  -0.005  -0.011  -0.019   0.021   0.060   0.071  -0.006   0.007  -0.036  -0.032  -0.028  -0.004
    10.45    51.08    1962  -0.012  -0.010  -0.001   0.001   0.053   0.062   0.046   0.016   0.013  -0.014  -0.013  -0.004
    10.45    51.08    1963  -0.001  -0.001  -0.006   0.007   0.066   0.049   0.044   0.032   0.018   0.002  -0.012  -0.006
    10.45    51.08    1964  -0.003  -0.006  -0.005   0.008   0.089   0.048   0.019   0.001  -0.023  -0.027  -0.023  -0.014
    10.45    51.08    1965  -0.014  -0.004  -0.006  -0.003   0.064   0.069   0.034   0.043   0.017  -0.012  -0.015  -0.013
    10.45    51.08    1966  -0.007  -0.011  -0.015   0.025   0.068   0.027   0.067   0.043   0.024  -0.019  -0.014  -0.012
    10.45    51.08    1967  -0.014  -0.019  -0.014   0.009   0.062   0.062   0.025  -0.012   0.005  -0.016  -0.018  -0.009
    10.45    51.08    1968  -0.008  -0.015  -0.006   0.011   0.062   0.043   0.010  -0.049  -0.014  -0.009  -0.018  -0.006
    10.45    51.08    1969  -0.010  -0.008  -0.005  -0.007   0.065   0.084   0.013  -0.040   0.034  -0.003  -0.021  -0.004
