      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951  -0.010  -0.009  -0.005   0.039   0.118   0.133   0.120   0.087   0.063   0.050   0.000  -0.011
    10.45    51.08    1952  -0.008  -0.007  -0.009   0.050   0.135   0.136   0.098   0.064   0.058   0.033  -0.001  -0.007
    10.45    51.08    1953  -0.006  -0.007   0.002   0.101   0.124   0.103   0.107   0.097   0.071   0.034  -0.009  -0.012
    10.45    51.08    1954  -0.005  -0.004  -0.009   0.029   0.128   0.119   0.098   0.086   0.056   0.035   0.004  -0.012
    10.45    51.08    1955  -0.005  -0.005  -0.006   0.028   0.131   0.121   0.087   0.073   0.061   0.038   0.000  -0.010
    10.45    51.08    1956   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    10.45    51.08    1957   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    10.45    51.08    1958  -0.000   0.001   0.003   0.044   0.104   0.105   0.113   0.090   0.044   0.004  -0.008  -0.000
    10.45    51.08    1959  -0.001   0.001   0.022   0.074   0.116   0.111   0.037   0.064   0.068   0.022  -0.005  -0.000
    10.45    51.08    1960  -0.001  -0.000   0.006   0.042   0.110   0.142   0.115   0.086   0.054   0.024   0.002  -0.002
    10.45    51.08    1961  -0.002   0.002   0.017   0.065   0.107   0.146   0.121   0.109   0.077   0.039  -0.002   0.004
    10.45    51.08    1962  -0.002  -0.002  -0.000   0.034   0.110   0.155   0.137   0.127   0.087   0.038   0.003  -0.002
    10.45    51.08    1963  -0.001  -0.001   0.002   0.041   0.141   0.154   0.154   0.117   0.086   0.034   0.007  -0.002
    10.45    51.08    1964  -0.003  -0.002  -0.001   0.044   0.162   0.175   0.143   0.113   0.060   0.015  -0.005  -0.004
    10.45    51.08    1965  -0.004  -0.003   0.001   0.037   0.127   0.152   0.135   0.139   0.087   0.037  -0.002  -0.006
    10.45    51.08    1966  -0.003   0.001   0.007   0.063   0.167   0.151   0.133   0.121   0.078   0.034  -0.005  -0.005
    10.45    51.08    1967  -0.005  -0.003   0.014   0.042   0.152   0.146   0.159   0.104   0.069   0.038  -0.001  -0.005
    10.45    51.08    1968  -0.004  -0.004   0.006   0.067   0.134   0.155   0.131   0.050   0.066   0.029  -0.003  -0.004
    10.45    51.08    1969  -0.005  -0.003  -0.004   0.018   0.135   0.160   0.138   0.088   0.087   0.041   0.003  -0.002
    10.45    51.08    1970  -0.003  -0.004  -0.005   0.012   0.118   0.158   0.148   0.109   0.090   0.024   0.001  -0.005
    10.45    51.08    1971  -0.005  -0.005  -0.004   0.042   0.128   0.136   0.127   0.001   0.024   0.017   0.001  -0.008
    10.45    51.08    1972  -0.003  -0.005   0.002   0.041   0.126   0.168   0.123   0.113   0.073   0.033   0.002  -0.005
    10.45    51.08    1973  -0.005  -0.005  -0.004   0.011   0.134   0.151   0.087  -0.009   0.060   0.034  -0.000  -0.005
    10.45    51.08    1974  -0.007  -0.005   0.013   0.075   0.132   0.152   0.139   0.108   0.086   0.018  -0.008  -0.009
    10.45    51.08    1975  -0.009  -0.005  -0.004   0.030   0.134   0.141   0.145   0.088   0.075   0.024   0.000  -0.006
    10.45    51.08    1976  -0.007  -0.004  -0.005   0.035   0.148   0.144  -0.014   0.029   0.013   0.032   0.002  -0.005
    10.45    51.08    1977  -0.005  -0.006   0.010   0.039   0.156   0.113   0.136   0.092   0.068   0.038   0.002  -0.006
    10.45    51.08    1978  -0.005  -0.004   0.001   0.039   0.116   0.144   0.141   0.113   0.070   0.038  -0.004  -0.006
    10.45    51.08    1979  -0.003  -0.003  -0.007   0.016   0.109   0.140   0.129   0.119   0.080   0.038   0.000  -0.009
