      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.993   1.908   6.989  45.241  70.135  93.855  98.950  79.923  53.450  25.205   5.793   0.877
    10.45    51.08    1952   0.937   1.580   5.019  49.306  79.531  95.256 108.777  81.883  36.745  19.523   4.540   0.699
    10.45    51.08    1953   0.841   1.967  18.917  61.995  91.554  78.611  94.415  82.872  52.857  24.346   2.656   0.894
    10.45    51.08    1954   1.017   1.824   8.436  35.188  86.592  94.407  70.297  74.161  47.254  24.477   7.107   1.037
    10.45    51.08    1955   1.481   2.412   7.714  38.549  79.691  87.023  78.990  66.597  48.665  23.554   5.141   1.275
    10.45    51.08    1956   8.836   8.478  36.315  56.142 110.656  91.912 110.760  90.971  63.492  32.581  10.636   7.047
    10.45    51.08    1957   4.266   8.914  29.966  59.126  82.587 122.030  99.922  80.556  44.660  22.183   6.864   3.153
    10.45    51.08    1958   0.949   3.735   6.606  28.651  73.591  77.425  91.160  80.683  47.930  17.745   3.429   0.898
    10.45    51.08    1959   0.440   1.404  14.920  47.242  72.733  89.081  88.775  62.702  53.169  22.074   1.848   0.259
    10.45    51.08    1960   1.728   2.866  10.415  38.400  74.376 105.330  87.069  70.218  41.513  19.857   6.346   1.426
    10.45    51.08    1961   2.085   8.231  22.175  45.154  66.368 102.197  87.752  77.452  61.427  26.517   3.590   2.016
    10.45    51.08    1962   2.313   3.289   7.825  37.135  60.949  98.761  83.938  81.916  53.839  23.327   4.799   1.255
    10.45    51.08    1963   0.448   0.682   6.510  31.919  75.302  86.718  99.189  74.088  48.248  18.668   7.361   0.442
    10.45    51.08    1964   0.163   1.081   2.108  33.597  88.991 119.123 107.085  77.379  52.541  17.297   1.499   0.416
    10.45    51.08    1965   0.572   0.391   4.391  29.512  70.504  93.414  83.749  84.044  47.219  21.700   3.126   0.411
    10.45    51.08    1966   0.364   4.072   8.978  38.525  97.220 108.833  82.962  81.824  47.001  25.844   1.505   0.356
    10.45    51.08    1967   0.453   2.227  14.962  31.655  97.395  92.408 127.879  81.728  46.313  27.203   4.353   0.271
    10.45    51.08    1968   0.226   0.603  13.037  54.329  73.802 102.791 109.951  80.100  45.676  20.798   3.755   0.115
    10.45    51.08    1969   0.225   0.341   0.446  22.996  84.342 104.621 120.427  89.198  55.981  24.572   7.133   0.063
    10.45    51.08    1970   0.079   0.255   1.288  14.576  70.958 124.324 106.485  80.369  59.142  18.817   6.750   0.435
    10.45    51.08    1971   0.118   0.211   1.896  37.320  84.909  81.533 135.065 105.684  56.675  28.443   5.449   0.116
