      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.010   0.009   0.011   0.034   0.074   0.092   0.098   0.089   0.070   0.041   0.022   0.011
    10.45    51.08    1952   0.008   0.007   0.011   0.048   0.084   0.094   0.100   0.088   0.054   0.036   0.013   0.007
    10.45    51.08    1953   0.006   0.008   0.019   0.061   0.089   0.087   0.099   0.092   0.069   0.047   0.016   0.012
    10.45    51.08    1954   0.005   0.004   0.014   0.027   0.081   0.094   0.080   0.084   0.065   0.046   0.021   0.012
    10.45    51.08    1955   0.005   0.005   0.009   0.028   0.077   0.085   0.085   0.077   0.063   0.039   0.016   0.010
    10.45    51.08    1956   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    10.45    51.08    1957   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    10.45    51.08    1958   0.001   0.003   0.004   0.021   0.059   0.063   0.072   0.067   0.049   0.028   0.012   0.001
    10.45    51.08    1959   0.002   0.002   0.014   0.043   0.065   0.067   0.036   0.064   0.046   0.031   0.008   0.001
    10.45    51.08    1960   0.002   0.002   0.006   0.023   0.056   0.075   0.065   0.058   0.044   0.026   0.013   0.003
    10.45    51.08    1961   0.002   0.006   0.013   0.035   0.052   0.072   0.067   0.062   0.054   0.033   0.005  -0.003
    10.45    51.08    1962   0.005   0.003   0.004   0.022   0.054   0.079   0.074   0.075   0.053   0.031   0.008   0.002
    10.45    51.08    1963   0.001   0.001   0.008   0.026   0.072   0.086   0.094   0.078   0.060   0.031   0.017   0.003
    10.45    51.08    1964   0.003   0.004   0.005   0.030   0.086   0.105   0.097   0.083   0.060   0.028   0.010   0.006
    10.45    51.08    1965   0.006   0.003   0.008   0.025   0.069   0.091   0.089   0.090   0.063   0.038   0.010   0.007
    10.45    51.08    1966   0.004   0.010   0.012   0.039   0.092   0.098   0.089   0.087   0.063   0.046   0.008   0.007
    10.45    51.08    1967   0.007   0.008   0.017   0.028   0.086   0.090   0.114   0.090   0.065   0.052   0.016   0.006
    10.45    51.08    1968   0.005   0.006   0.014   0.045   0.077   0.098   0.097   0.074   0.064   0.042   0.014   0.004
    10.45    51.08    1969   0.006   0.004   0.005   0.021   0.081   0.097   0.106   0.088   0.069   0.045   0.023   0.002
    10.45    51.08    1970   0.003   0.004   0.006   0.017   0.069   0.102   0.101   0.089   0.072   0.037   0.022   0.007
    10.45    51.08    1971   0.005   0.006   0.007   0.031   0.080   0.086   0.100   0.076   0.051   0.038   0.016   0.009
    10.45    51.08    1972   0.003   0.005   0.012   0.028   0.071   0.096   0.093   0.085   0.055   0.031   0.016   0.006
    10.45    51.08    1973   0.005   0.005   0.009   0.014   0.074   0.093   0.083   0.064   0.065   0.034   0.013   0.005
    10.45    51.08    1974   0.007   0.007   0.015   0.042   0.070   0.084   0.087   0.084   0.066   0.024   0.009   0.009
    10.45    51.08    1975   0.009   0.005   0.008   0.023   0.074   0.083   0.100   0.087   0.068   0.032   0.012   0.006
    10.45    51.08    1976   0.007   0.004   0.006   0.026   0.082   0.094   0.071   0.064   0.045   0.040   0.015   0.005
    10.45    51.08    1977   0.005   0.006   0.016   0.025   0.078   0.075   0.089   0.072   0.055   0.039   0.015   0.006
    10.45    51.08    1978   0.005   0.004   0.011   0.026   0.064   0.085   0.086   0.081   0.054   0.037   0.012   0.006
    10.45    51.08    1979   0.003   0.003   0.008   0.018   0.064   0.093   0.084   0.083   0.063   0.037   0.011   0.009
    10.45    51.08    1980   0.003   0.007   0.008   0.018   0.065   0.091   0.079   0.088   0.066   0.034   0.010   0.006
    10.45    51.08    1981   0.004   0.005   0.020   0.044   0.079   0.089   0.087   0.084   0.066   0.038   0.011   0.004
    10.45    51.08    1982   0.005   0.005   0.010   0.026   0.074   0.091   0.096   0.075   0.055   0.041   0.025   0.008
    10.45    51.08    1983   0.009   0.003   0.011   0.035   0.072   0.094   0.102   0.085   0.060   0.039   0.013   0.006
    10.45    51.08    1984   0.006   0.005   0.007   0.020   0.056   0.083   0.088   0.086   0.056   0.043   0.017   0.006
    10.45    51.08    1985   0.003   0.004   0.008   0.031   0.077   0.083   0.100   0.088   0.062   0.030   0.009   0.010
    10.45    51.08    1986   0.006   0.002   0.008   0.017   0.084   0.094   0.099   0.088   0.058   0.046   0.023   0.008
    10.45    51.08    1987   0.003   0.004   0.006   0.033   0.071   0.080   0.100   0.083   0.069   0.042   0.017   0.008
    10.45    51.08    1988   0.010   0.007   0.008   0.028   0.090   0.083   0.103   0.095   0.055   0.037   0.015   0.009
    10.45    51.08    1989   0.008   0.008   0.018   0.036   0.098   0.098   0.076   0.074   0.058   0.047   0.014   0.009
    10.45    51.08    1990   0.008   0.013   0.030   0.045   0.100   0.086   0.099   0.078   0.059   0.043   0.011   0.006
    10.45    51.08    1991   0.008   0.004   0.020   0.043   0.067   0.091   0.083   0.094   0.061   0.039   0.012   0.007
    10.45    51.08    1992   0.007   0.008   0.012   0.031   0.092   0.089   0.100   0.084   0.067   0.032   0.012   0.007
    10.45    51.08    1993   0.010   0.004   0.014   0.051   0.090   0.093   0.094   0.090   0.058   0.036   0.007   0.009
    10.45    51.08    1994   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    10.45    51.08    1995   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    10.45    51.08    1996   0.000   0.000   0.001   0.026   0.045   0.071   0.065   0.062   0.033   0.025   0.014   0.000
    10.45    51.08    1997   0.001   0.003   0.014   0.030   0.060   0.058   0.054   0.069   0.052   0.025   0.005   0.002
    10.45    51.08    1998   0.004   0.005   0.013   0.036   0.070   0.071   0.067   0.060   0.043   0.023   0.006   0.002
    10.45    51.08    1999   0.004   0.003   0.008   0.029   0.070   0.072   0.074   0.067   0.057   0.025   0.008   0.003
    10.45    51.08    2000   0.004   0.006   0.012   0.039   0.087   0.084   0.069   0.083   0.054   0.036   0.012   0.006
    10.45    51.08    2001   0.005   0.006   0.009   0.029   0.092   0.081   0.102   0.089   0.052   0.047   0.012   0.005
    10.45    51.08    2002   0.006   0.012   0.020   0.040   0.082   0.099   0.091   0.091   0.066   0.029   0.010   0.005
    10.45    51.08    2003   0.006   0.003   0.015   0.042   0.091   0.120   0.098   0.082   0.073   0.029   0.013   0.007
    10.45    51.08    2004   0.005   0.008   0.018   0.054   0.081   0.098   0.102   0.086   0.054   0.046   0.010   0.006
    10.45    51.08    2005   0.007   0.004   0.013   0.048   0.086   0.093   0.092   0.088   0.076   0.051   0.017   0.006
    10.45    51.08    2006   0.003   0.004   0.008   0.037   0.095   0.107   0.109   0.086   0.077   0.053   0.023   0.010
    10.45    51.08    2007   0.011   0.008   0.016   0.064   0.096   0.109   0.105   0.098   0.066   0.039   0.012   0.007
    10.45    51.08    2008   0.010   0.009   0.016   0.037   0.101   0.107   0.106   0.083   0.055   0.043   0.013   0.006
    10.45    51.08    2009   0.004   0.005   0.010   0.062   0.095   0.091   0.109   0.092   0.069   0.036   0.018   0.006
    10.45    51.08    2010   0.003   0.005   0.016   0.051   0.069   0.106   0.118   0.089   0.066   0.040   0.016   0.003
    10.45    51.08    2011   0.007   0.006   0.017   0.072   0.093   0.104   0.099   0.090   0.071   0.042   0.011   0.010
    10.45    51.08    2012   0.008   0.004   0.024   0.041   0.094   0.094   0.106   0.096   0.061   0.043   0.014   0.008
