      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.011   0.008   0.008   0.026   0.054   0.045   0.062   0.051   0.047   0.022   0.012   0.007
    10.45    51.08    1952   0.008   0.001   0.010   0.034   0.043   0.059   0.089   0.076   0.027   0.013   0.007   0.001
    10.45    51.08    1953   0.002   0.003   0.017   0.044   0.062   0.063   0.057   0.060   0.050   0.035   0.014   0.009
    10.45    51.08    1954   0.002   0.000   0.012   0.020   0.053   0.077   0.050   0.045   0.040   0.020   0.012   0.007
    10.45    51.08    1955   0.002   0.004   0.003   0.020   0.052   0.060   0.061   0.044   0.042   0.024   0.008   0.005
    10.45    51.08    1956   0.013   0.000   0.008   0.029   0.077   0.083   0.091   0.090   0.080   0.055   0.017   0.016
    10.45    51.08    1957   0.003   0.015   0.026   0.033   0.047   0.083   0.099   0.076   0.055   0.035   0.022   0.007
    10.45    51.08    1958   0.007   0.011   0.003   0.015   0.062   0.070   0.097   0.117   0.103   0.053   0.016   0.010
    10.45    51.08    1959   0.012   0.003   0.034   0.064   0.097   0.112   0.153   0.120   0.090   0.053   0.016   0.006
    10.45    51.08    1960   0.011   0.004   0.020   0.047   0.070   0.119   0.114   0.113   0.072   0.032   0.020   0.009
    10.45    51.08    1961   0.004   0.013   0.036   0.044   0.047   0.074   0.127   0.102   0.113   0.072   0.026   0.008
    10.45    51.08    1962   0.009   0.008   0.001   0.033   0.057   0.093   0.091   0.111   0.075   0.052   0.015   0.002
    10.45    51.08    1963   0.000   0.000   0.008   0.034   0.075   0.105   0.110   0.085   0.068   0.032   0.019   0.004
    10.45    51.08    1964   0.000   0.004   0.004   0.036   0.073   0.127   0.125   0.112   0.083   0.043   0.018   0.010
    10.45    51.08    1965   0.009   0.001   0.006   0.039   0.063   0.083   0.101   0.096   0.070   0.049   0.013   0.007
    10.45    51.08    1966   0.004   0.011   0.022   0.038   0.100   0.124   0.067   0.078   0.054   0.054   0.009   0.007
    10.45    51.08    1967   0.008   0.016   0.028   0.033   0.090   0.084   0.134   0.116   0.064   0.053   0.018   0.004
    10.45    51.08    1968   0.003   0.011   0.012   0.056   0.072   0.112   0.121   0.099   0.080   0.038   0.015   0.002
    10.45    51.08    1969   0.005   0.005   0.001   0.025   0.069   0.076   0.125   0.128   0.053   0.044   0.025   0.001
    10.45    51.08    1970   0.000   0.000   0.005   0.024   0.063   0.117   0.122   0.089   0.068   0.036   0.016   0.008
    10.45    51.08    1971   0.003   0.015   0.008   0.046   0.099   0.096   0.111   0.122   0.065   0.046   0.017   0.009
    10.45    51.08    1972   0.004   0.007   0.023   0.040   0.058   0.076   0.102   0.064   0.046   0.027   0.017   0.007
    10.45    51.08    1973   0.004   0.011   0.015   0.027   0.076   0.110   0.125   0.101   0.081   0.032   0.011   0.002
    10.45    51.08    1974   0.016   0.017   0.018   0.052   0.058   0.073   0.071   0.099   0.079   0.025   0.012   0.011
    10.45    51.08    1975   0.023   0.012   0.018   0.023   0.066   0.080   0.118   0.117   0.082   0.044   0.014   0.007
    10.45    51.08    1976   0.013   0.002   0.008   0.038   0.078   0.088   0.134   0.082   0.062   0.050   0.015   0.007
    10.45    51.08    1977   0.003   0.014   0.027   0.021   0.065   0.075   0.074   0.054   0.043   0.029   0.018   0.005
    10.45    51.08    1978   0.011   0.003   0.021   0.033   0.056   0.102   0.083   0.097   0.054   0.028   0.013   0.004
    10.45    51.08    1979   0.000   0.000   0.009   0.024   0.057   0.119   0.082   0.088   0.068   0.041   0.010   0.010
    10.45    51.08    1980   0.002   0.010   0.013   0.025   0.050   0.097   0.074   0.097   0.068   0.038   0.012   0.005
    10.45    51.08    1981   0.005   0.004   0.018   0.042   0.047   0.070   0.096   0.069   0.053   0.025   0.011   0.003
    10.45    51.08    1982   0.001   0.005   0.015   0.035   0.068   0.111   0.107   0.100   0.075   0.044   0.021   0.009
    10.45    51.08    1983   0.019   0.006   0.018   0.025   0.050   0.076   0.115   0.093   0.066   0.043   0.015   0.005
    10.45    51.08    1984   0.019   0.005   0.007   0.022   0.040   0.054   0.069   0.068   0.043   0.027   0.012   0.006
    10.45    51.08    1985   0.001   0.002   0.009   0.040   0.074   0.083   0.091   0.087   0.061   0.045   0.012   0.009
    10.45    51.08    1986   0.005   0.001   0.007   0.017   0.068   0.061   0.101   0.092   0.039   0.035   0.012   0.007
    10.45    51.08    1987   0.002   0.001   0.001   0.033   0.050   0.042   0.083   0.052   0.054   0.026   0.012   0.004
    10.45    51.08    1988   0.017   0.011   0.009   0.031   0.081   0.083   0.082   0.092   0.058   0.042   0.016   0.006
    10.45    51.08    1989   0.015   0.010   0.023   0.035   0.064   0.081   0.092   0.083   0.062   0.041   0.016   0.005
    10.45    51.08    1990   0.009   0.019   0.028   0.027   0.072   0.056   0.074   0.092   0.056   0.040   0.017   0.004
    10.45    51.08    1991   0.014   0.001   0.028   0.034   0.041   0.068   0.099   0.071   0.062   0.040   0.015   0.004
