      Lon      Lat    Year       Jan       Feb       Mar       Apr       May       Jun       Jul       Aug       Sep       Oct       Nov       Dec
    10.45    51.08    1951     0.000     2.852     0.000     0.000     0.000    60.402     0.000     0.000     0.000     0.000    16.371     0.000
    10.45    51.08    1952     0.715     3.278    34.557    24.241     2.391     0.000     0.000     0.000    69.314    12.952    29.869    22.961
    10.45    51.08    1953    30.992    49.532     0.432     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
    10.45    51.08    1954     9.148     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    10.427
    10.45    51.08    1955    17.978    12.534    38.392    14.316     0.000     0.000     5.728    16.074     0.000     0.000     0.000    20.452
    10.45    51.08    1956    19.854     0.000    50.993    35.946    11.150    53.713   104.319    29.863    10.667    21.139    21.393    12.255
    10.45    51.08    1957    24.151    28.518    21.342    14.204    23.620    28.699    45.850    20.347    44.538    19.698    27.192    22.264
    10.45    51.08    1958    38.663    20.667    72.446    18.077    11.010    21.889    27.769     0.000     0.000     6.434    19.626    31.417
    10.45    51.08    1959    18.646     4.489     4.028     0.381     0.069     0.000     0.000     0.000     0.000     0.000     0.000     0.000
    10.45    51.08    1960     4.392     1.022    16.059     4.279    10.045     0.000     0.000     0.000     0.000    43.506    16.174    36.048
    10.45    51.08    1961    45.833    33.708    10.073    44.594    46.812    47.914     0.000     0.000     0.000     0.000     0.000     4.568
    10.45    51.08    1962     0.000     7.419    21.662    11.629     1.691     0.000     0.000     0.000     0.000     0.000     0.000     0.000
    10.45    51.08    1963     0.000     0.000     5.093     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.912     0.000
    10.45    51.08    1964     0.000     0.000     0.000     0.000    24.699     0.000     0.000     0.000     0.000     0.000     0.000     0.000
    10.45    51.08    1965     0.000     0.000     6.391     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     8.766
    10.45    51.08    1966     0.355    15.973     0.000     0.000     0.000     0.000     9.144     9.436     0.000    21.841    12.171    11.246
    10.45    51.08    1967     0.516     0.663    22.687     5.634     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
    10.45    51.08    1968    11.127     4.697     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
    10.45    51.08    1969     0.000     0.000     1.151    21.779    21.962     3.535     0.000     0.000     0.000     0.000     0.000     0.000
    10.45    51.08    1970     0.000    25.133     5.657     1.164     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
    10.45    51.08    1971     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
    10.45    51.08    1972     0.000     0.000     2.415     0.000     0.000     0.000    13.999    31.556     0.000     0.000     0.000     0.000
    10.45    51.08    1973     0.000     0.000     0.954     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     2.369
    10.45    51.08    1974     0.000     0.966     0.000     0.000     0.000     0.000     0.000     0.000     0.000     9.262     0.000    10.639
    10.45    51.08    1975     0.000     0.000     0.000     9.323     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
    10.45    51.08    1976     1.205     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
    10.45    51.08    1977     0.000     0.000     5.230     0.000     0.000     0.000     0.000    42.816     0.222     0.000    33.953     7.277
    10.45    51.08    1978     0.000     0.000    14.296     2.445     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
    10.45    51.08    1979     0.000     0.000    45.553    14.280     1.840     0.000     0.000     0.000     0.000     0.000     0.000     2.472
    10.45    51.08    1980     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
    10.45    51.08    1981     0.000     1.862     2.662     0.000     4.882     0.000     0.000    16.239     0.000     9.785     9.132    15.099
    10.45    51.08    1982    12.824     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
    10.45    51.08    1983     0.000     0.000     0.000    46.132     6.329     0.000     0.000     0.000     0.000     0.000     0.000     0.000
    10.45    51.08    1984     0.000     0.000     0.000     4.632    21.330     8.126     0.000     0.000     0.000     1.754    24.125     0.000
    10.45    51.08    1985     3.261     0.000     0.000     2.749     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
    10.45    51.08    1986     0.000     0.000     8.311    10.138     0.000     0.000     0.000     0.000     0.000     1.266     0.000     8.231
    10.45    51.08    1987    15.794     4.770    39.709     0.000     0.000    24.324     0.000     0.000    25.171     0.000     3.809    16.710
    10.45    51.08    1988    17.893    21.363    55.346    15.318     0.000     0.000     0.000     0.000     0.000     0.000     0.000     3.929
    10.45    51.08    1989     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     6.711
    10.45    51.08    1990     0.000     0.000     3.115     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
    10.45    51.08    1991     0.000     0.000     0.000     0.000     0.000     0.000     0.000     1.390     0.000     0.000     0.000     0.000
    10.45    51.08    1992     0.000     0.000    22.543     0.000     0.000     0.000    11.977     0.000     0.000     0.000     5.797    10.303
    10.45    51.08    1993     1.947     1.220     0.000     0.000     0.000     1.306    20.746     0.000     0.000     0.000     0.000    25.540
    10.45    51.08    1994     0.319     0.000    27.944    74.493    23.515    11.854    14.120    20.343    19.596    10.500    22.989    20.057
    10.45    51.08    1995    33.078    32.045    12.857    21.282    37.656    54.323    58.814    16.563    60.224     8.861    16.372    11.214
    10.45    51.08    1996     1.696    16.904    12.941     4.626    18.560     0.858     2.127     9.977    16.878    25.501    37.435    39.089
    10.45    51.08    1997     8.927    32.315    28.793    10.833     0.992     0.000    28.855     0.000     0.000     0.000     0.000    13.829
    10.45    51.08    1998    12.751     7.585    21.468    10.032     0.856     0.000     0.000     0.000     0.000    41.075    52.951     6.257
    10.45    51.08    1999    16.897    16.185    17.662     8.157     0.000     0.000     8.697     0.000     0.000     0.000     1.543     6.669
    10.45    51.08    2000    21.982    39.724    40.935     2.726     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
    10.45    51.08    2001     0.000     0.000    22.665    14.583     0.000     0.000     0.000     0.000     0.000     0.000     5.463     0.846
    10.45    51.08    2002     0.000    22.451    28.979     4.283     9.805    18.220     9.942     0.000     0.000     0.000    73.227    86.239
    10.45    51.08    2003    25.540     9.399    10.301     0.354     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
    10.45    51.08    2004     0.000     0.000     0.000     0.000    55.573     0.000     0.000     0.000     0.000     0.000     0.000     0.000
    10.45    51.08    2005     0.000     2.351     0.348     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
    10.45    51.08    2006     0.000     0.000     3.546     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
    10.45    51.08    2007     0.000     0.000     0.000     0.000     0.000     0.000     0.000    59.491    49.104     0.000     0.000     0.854
    10.45    51.08    2008     0.000     0.000     0.000    11.740     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.041
    10.45    51.08    2009     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     6.358    31.320
    10.45    51.08    2010     2.390    22.558     0.000     0.000     5.141     0.000     3.804    29.903    10.256     0.951    38.556     3.565
    10.45    51.08    2011    74.150     7.847     3.373     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
    10.45    51.08    2012     4.039     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
