      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.232   0.360   0.481   0.572   0.487   0.429   0.377   0.324   0.281   0.238   0.328   0.487
    10.45    51.08    1952   0.609   0.746   0.930   0.960   0.925   0.843   0.596   0.282   0.284   0.519   0.858   0.981
    10.45    51.08    1953   1.000   0.999   0.994   0.933   0.755   0.572   0.488   0.389   0.242   0.165   0.174   0.200
    10.45    51.08    1954   0.317   0.410   0.514   0.639   0.609   0.411   0.307   0.328   0.344   0.455   0.542   0.657
    10.45    51.08    1955   0.811   0.983   0.996   0.992   0.920   0.797   0.710   0.753   0.747   0.749   0.804   0.934
    10.45    51.08    1956   1.000   1.000   1.000   0.998   1.000   0.998   0.997   1.000   1.000   1.000   1.000   1.000
    10.45    51.08    1957   1.000   1.000   1.000   1.000   0.999   0.999   0.999   1.000   1.000   0.999   1.000   1.000
    10.45    51.08    1958   1.000   1.000   0.996   0.997   0.995   0.983   0.974   0.937   0.922   0.961   1.000   1.000
    10.45    51.08    1959   1.000   1.000   0.998   0.991   0.965   0.881   0.761   0.682   0.605   0.486   0.560   0.641
    10.45    51.08    1960   0.795   0.956   0.999   0.995   0.980   0.932   0.797   0.697   0.676   0.785   0.987   1.000
    10.45    51.08    1961   1.000   1.000   0.998   0.996   0.991   0.973   0.826   0.736   0.646   0.577   0.570   0.670
    10.45    51.08    1962   0.807   0.962   0.996   0.994   0.988   0.884   0.709   0.543   0.406   0.342   0.325   0.357
    10.45    51.08    1963   0.386   0.392   0.532   0.702   0.668   0.503   0.397   0.269   0.238   0.296   0.400   0.502
    10.45    51.08    1964   0.541   0.683   0.761   0.904   0.929   0.735   0.438   0.185   0.018   0.002   0.018   0.055
    10.45    51.08    1965   0.136   0.223   0.327   0.466   0.510   0.414   0.291   0.150   0.030   0.001   0.010   0.202
    10.45    51.08    1966   0.380   0.527   0.617   0.742   0.690   0.436   0.340   0.292   0.293   0.253   0.429   0.615
    10.45    51.08    1967   0.822   0.944   0.998   0.987   0.866   0.689   0.482   0.170   0.079   0.073   0.109   0.221
    10.45    51.08    1968   0.339   0.480   0.637   0.671   0.612   0.437   0.105   0.000   0.002   0.050   0.103   0.171
    10.45    51.08    1969   0.261   0.386   0.477   0.726   0.894   0.825   0.612   0.215   0.122   0.070   0.095   0.132
    10.45    51.08    1970   0.150   0.337   0.547   0.744   0.872   0.759   0.419   0.220   0.151   0.135   0.310   0.439
    10.45    51.08    1971   0.497   0.636   0.737   0.765   0.652   0.477   0.188   0.000   0.000   0.003   0.026   0.124
    10.45    51.08    1972   0.162   0.200   0.248   0.334   0.306   0.216   0.107   0.089   0.081   0.049   0.102   0.188
    10.45    51.08    1973   0.217   0.342   0.489   0.564   0.559   0.330   0.031   0.000   0.003   0.039   0.138   0.282
    10.45    51.08    1974   0.410   0.510   0.634   0.605   0.532   0.418   0.381   0.223   0.096   0.082   0.281   0.515
    10.45    51.08    1975   0.690   0.770   0.853   0.980   0.907   0.728   0.551   0.217   0.024   0.007   0.023   0.080
    10.45    51.08    1976   0.246   0.408   0.472   0.495   0.364   0.153   0.000   0.000   0.000   0.005   0.029   0.097
    10.45    51.08    1977   0.174   0.314   0.434   0.542   0.495   0.313   0.209   0.259   0.342   0.371   0.551   0.727
    10.45    51.08    1978   0.866   0.922   0.996   0.983   0.928   0.759   0.563   0.360   0.250   0.276   0.287   0.363
    10.45    51.08    1979   0.466   0.495   0.742   0.995   0.956   0.756   0.573   0.425   0.250   0.169   0.198   0.321
    10.45    51.08    1980   0.458   0.646   0.715   0.837   0.818   0.597   0.461   0.222   0.008   0.003   0.029   0.110
    10.45    51.08    1981   0.257   0.360   0.500   0.527   0.500   0.436   0.307   0.175   0.121   0.186   0.334   0.547
    10.45    51.08    1982   0.707   0.800   0.863   0.902   0.815   0.523   0.231   0.014   0.000   0.025   0.041   0.101
    10.45    51.08    1983   0.186   0.283   0.342   0.537   0.599   0.567   0.287   0.014   0.001   0.000   0.000   0.010
    10.45    51.08    1984   0.069   0.228   0.318   0.458   0.523   0.639   0.517   0.429   0.388   0.534   0.616   0.708
    10.45    51.08    1985   0.756   0.864   0.930   0.982   0.898   0.675   0.468   0.213   0.045   0.000   0.001   0.039
