      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.827   0.851   0.816   0.513   0.281   0.774   0.591   0.724   0.592   0.516   0.849   0.902
    10.45    51.08    1952   0.909   0.926   0.909   0.734   0.731   0.489   0.090   0.121   0.765   0.936   0.924   0.938
    10.45    51.08    1953   0.918   0.944   0.710   0.359   0.151   0.341   0.660   0.452   0.196   0.244   0.518   0.535
    10.45    51.08    1954   0.773   0.873   0.740   0.653   0.361   0.182   0.559   0.725   0.663   0.808   0.805   0.850
    10.45    51.08    1955   0.940   0.928   0.917   0.716   0.419   0.378   0.642   0.838   0.671   0.622   0.852   0.884
    10.45    51.08    1956   0.906   0.862   0.826   0.727   0.612   0.763   0.794   0.657   0.573   0.664   0.805   0.803
    10.45    51.08    1957   0.897   0.841   0.767   0.687   0.674   0.727   0.838   0.801   0.776   0.901   0.913   0.921
    10.45    51.08    1958   0.926   0.840   0.901   0.736   0.555   0.657   0.583   0.344   0.245   0.612   0.916   0.913
    10.45    51.08    1959   0.912   0.809   0.599   0.448   0.251   0.197   0.006   0.332   0.065   0.079   0.774   0.820
    10.45    51.08    1960   0.884   0.888   0.763   0.483   0.581   0.390   0.061   0.293   0.572   0.878   0.913   0.933
    10.45    51.08    1961   0.939   0.876   0.634   0.768   0.850   0.749   0.212   0.302   0.192   0.052   0.341   0.779
    10.45    51.08    1962   0.899   0.897   0.912   0.678   0.525   0.203   0.257   0.131   0.224   0.133   0.156   0.466
    10.45    51.08    1963   0.591   0.598   0.825   0.703   0.413   0.296   0.467   0.579   0.477   0.670   0.794   0.898
    10.45    51.08    1964   0.883   0.873   0.755   0.688   0.668   0.354   0.100   0.144   0.033   0.149   0.385   0.545
    10.45    51.08    1965   0.739   0.819   0.863   0.616   0.574   0.562   0.474   0.377   0.308   0.127   0.326   0.839
    10.45    51.08    1966   0.905   0.930   0.746   0.674   0.360   0.203   0.797   0.636   0.690   0.540   0.918   0.918
