      Lon      Lat    Year     dep     fix    fert   input    min    imm netmin  Total
    10.45    51.08    1951   11.23    2.49    0.00   13.72 136.88  45.48  91.39 105.11
    10.45    51.08    1952   11.23    2.32    0.00   13.55 146.11  35.78 110.33 123.88
    10.45    51.08    1953   11.23    2.44    0.00   13.67 164.16  53.16 111.00 124.67
    10.45    51.08    1954   11.23    2.88    0.00   14.11 132.81  38.97  93.84 107.95
    10.45    51.08    1955   11.23    2.75    0.00   13.98 120.71  37.24  83.47  97.46
    10.45    51.08    1956   11.23    0.00    0.00   11.23 117.95 161.54 -43.59 -32.36
    10.45    51.08    1957   11.23    2.93    0.00   14.16 128.77  76.14  52.63  66.79
    10.45    51.08    1958   11.23    2.65    0.00   13.88 178.07  73.67 104.40 118.28
    10.45    51.08    1959   11.23    2.66    0.00   13.90 178.04 100.09  77.94  91.84
    10.45    51.08    1960   14.10    2.85    0.00   16.95 162.83  80.19  82.65  99.60
    10.45    51.08    1961   14.10    2.71    0.00   16.81 180.24  84.89  95.36 112.17
    10.45    51.08    1962   14.10    2.86    0.00   16.96 166.39  45.16 121.23 138.19
    10.45    51.08    1963   14.10    2.61    0.00   16.71 149.12  46.55 102.57 119.28
    10.45    51.08    1964   14.10    2.27    0.00   16.37 178.47  53.96 124.52 140.89
    10.45    51.08    1965   14.10    3.28    0.00   17.38 158.22  46.85 111.38 128.76
    10.45    51.08    1966   14.10    3.34    0.00   17.44 171.98  51.73 120.26 137.69
    10.45    51.08    1967   14.10    3.44    0.00   17.54 213.51  61.54 151.97 169.51
    10.45    51.08    1968   14.10    3.24    0.00   17.34 202.94  50.99 151.95 169.29
    10.45    51.08    1969   14.10    2.77    0.00   16.87 180.63  47.19 133.45 150.31
    10.45    51.08    1970   16.97    2.84    0.00   19.81 186.69  41.35 145.34 165.15
    10.45    51.08    1971   16.97    2.89    0.00   19.85 223.60  58.27 165.33 185.18
    10.45    51.08    1972   16.97    2.82    0.00   19.79 161.35  49.61 111.74 131.53
    10.45    51.08    1973   16.97    2.59    0.00   19.56 221.38  51.75 169.64 189.20
    10.45    51.08    1974   16.97    2.77    0.00   19.74 188.86  57.80 131.06 150.79
    10.45    51.08    1975   16.97    2.46    0.00   19.43 224.86  62.24 162.62 182.05
    10.45    51.08    1976   16.97    2.52    0.00   19.49 209.86  60.56 149.30 168.79
    10.45    51.08    1977   16.97    2.50    0.00   19.47 149.55  50.34  99.21 118.68
    10.45    51.08    1978   16.97    3.07    0.00   20.04 191.25  51.68 139.57 159.61
    10.45    51.08    1979   16.97    2.78    0.00   19.75 191.89  46.94 144.95 164.69
    10.45    51.08    1980   17.99    2.86    0.00   20.85 183.21  48.75 134.46 155.31
    10.45    51.08    1981   17.99    2.79    0.00   20.78 160.78  42.51 118.27 139.05
    10.45    51.08    1982   17.99    2.35    0.00   20.35 225.46  63.52 161.94 182.29
    10.45    51.08    1983   17.99    1.97    0.00   19.96 196.60  68.91 127.69 147.65
    10.45    51.08    1984   17.99    2.64    0.00   20.64 143.21  41.67 101.53 122.17
    10.45    51.08    1985   17.99    2.63    0.00   20.62 202.80  52.05 150.75 171.37
    10.45    51.08    1986   17.99    2.21    0.00   20.21 174.43  42.49 131.94 152.15
    10.45    51.08    1987   17.99    3.00    0.00   21.00 134.09  33.78 100.31 121.31
    10.45    51.08    1988   17.99    2.46    0.00   20.46 210.43  56.81 153.63 174.08
    10.45    51.08    1989   17.99    2.45    0.00   20.44 205.87  65.69 140.18 160.63
    10.45    51.08    1990   19.66    2.53    0.00   22.19 193.54  64.75 128.79 150.98
    10.45    51.08    1991   19.66    2.76    0.00   22.41 194.71  57.19 137.52 159.94
    10.45    51.08    1992   19.66    1.82    0.00   21.47 194.93  61.02 133.92 155.39
    10.45    51.08    1993   19.66    2.25    0.00   21.90 150.77  42.46 108.31 130.21
    10.45    51.08    1994   19.66    0.00    0.00   19.66 184.55 216.46 -31.92 -12.26
    10.45    51.08    1995   19.66    2.50    0.00   22.16 146.04  76.01  70.02  92.18
    10.45    51.08    1996   19.66    2.21    0.00   21.86 159.48  45.49 113.99 135.85
    10.45    51.08    1997   19.66    2.70    0.00   22.36 180.27  96.67  83.59 105.95
    10.45    51.08    1998   19.66    2.87    0.00   22.52 190.53  80.71 109.82 132.35
    10.45    51.08    1999   19.66    2.47    0.00   22.13 191.70  83.21 108.50 130.62
    10.45    51.08    2000   21.34    2.43    0.00   23.77 208.93  55.50 153.43 177.20
    10.45    51.08    2001   21.34    2.85    0.00   24.19 172.75  57.64 115.11 139.30
    10.45    51.08    2002   21.34    3.01    0.00   24.35 157.59  52.02 105.57 129.92
    10.45    51.08    2003   21.34    2.45    0.00   23.79 233.90  71.86 162.05 185.84
    10.45    51.08    2004   21.34    3.03    0.00   24.37 207.87  64.15 143.72 168.08
    10.45    51.08    2005   21.34    2.60    0.00   23.94 230.76  70.50 160.27 184.21
    10.45    51.08    2006   21.34    2.41    0.00   23.75 235.76  70.36 165.40 189.16
    10.45    51.08    2007   21.34    2.43    0.00   23.77 208.78  64.22 144.57 168.34
    10.45    51.08    2008   21.34    2.97    0.00   24.31 239.97  64.09 175.88 200.19
    10.45    51.08    2009   21.34    2.35    0.00   23.69 219.95  60.05 159.90 183.59
    10.45    51.08    2010   20.03    2.70    0.00   22.73 182.67  44.56 138.11 160.84
    10.45    51.08    2011   20.03    2.86    0.00   22.88 250.92  63.68 187.24 210.13
    10.45    51.08    2012   20.03    2.72    0.00   22.75 238.02  69.53 168.49 191.24
