      Lon      Lat    Year    Surf   Drain    Base   Total
    10.45    51.08    1951    77.0     0.0     2.6    79.6
    10.45    51.08    1952   152.4    34.3    13.6   200.3
    10.45    51.08    1953    28.2    51.5     1.3    81.0
    10.45    51.08    1954    18.9     0.0     0.6    19.6
    10.45    51.08    1955    62.6    51.9    10.9   125.5
    10.45    51.08    1956   116.6   236.2    18.5   371.3
    10.45    51.08    1957    54.8   260.1     5.6   320.4
    10.45    51.08    1958    92.5   168.5     7.0   268.0
    10.45    51.08    1959     0.0    27.6     0.0    27.6
    10.45    51.08    1960    70.2    59.3     2.0   131.5
    10.45    51.08    1961    82.2   141.8     9.5   233.5
    10.45    51.08    1962     3.5    36.3     2.6    42.4
    10.45    51.08    1963     4.1     0.0     1.9     6.0
    10.45    51.08    1964    24.7     0.0     0.0    24.7
    10.45    51.08    1965    14.4     0.0     0.8    15.2
    10.45    51.08    1966    77.4     0.0     2.8    80.2
    10.45    51.08    1967     0.3    29.0     0.2    29.5
    10.45    51.08    1968    14.8     0.0     1.0    15.8
    10.45    51.08    1969    45.3     0.0     3.2    48.4
    10.45    51.08    1970    30.3     0.0     1.7    32.0
    10.45    51.08    1971     0.0     0.0     0.0     0.0
    10.45    51.08    1972    47.8     0.0     0.2    48.0
    10.45    51.08    1973     2.8     0.0     0.5     3.3
    10.45    51.08    1974    19.6     0.0     1.3    20.9
    10.45    51.08    1975     0.0     9.3     0.0     9.3
    10.45    51.08    1976     1.1     0.0     0.1     1.2
    10.45    51.08    1977    87.8     0.0     1.7    89.5
    10.45    51.08    1978     0.0    16.7     0.0    16.7
    10.45    51.08    1979    50.7    10.3     3.2    64.1
    10.45    51.08    1980     0.0     0.0     0.0     0.0
    10.45    51.08    1981    57.3     0.0     2.3    59.7
    10.45    51.08    1982    11.8     0.0     1.1    12.8
    10.45    51.08    1983    50.6     0.0     1.9    52.5
    10.45    51.08    1984    53.8     0.0     6.1    60.0
    10.45    51.08    1985     2.6     2.7     0.6     6.0
    10.45    51.08    1986    25.3     0.0     2.6    27.9
    10.45    51.08    1987   113.1    10.3     6.9   130.3
    10.45    51.08    1988    21.9    87.8     4.2   113.8
    10.45    51.08    1989     6.4     0.0     0.3     6.7
    10.45    51.08    1990     2.7     0.0     0.4     3.1
    10.45    51.08    1991     1.4     0.0     0.0     1.4
    10.45    51.08    1992    49.4     0.0     1.2    50.6
    10.45    51.08    1993    48.6     0.0     2.1    50.8
    10.45    51.08    1994    55.1   185.1     5.5   245.7
    10.45    51.08    1995    99.7   254.9     8.7   363.3
    10.45    51.08    1996    31.9   152.7     2.0   186.6
    10.45    51.08    1997    24.9    95.0     4.7   124.5
    10.45    51.08    1998    45.9   105.3     1.8   153.0
    10.45    51.08    1999    14.2    58.9     2.7    75.8
    10.45    51.08    2000    10.9    92.5     1.9   105.4
    10.45    51.08    2001    22.6    16.0     5.0    43.6
    10.45    51.08    2002   124.5   124.6     4.1   253.1
    10.45    51.08    2003     6.9    38.0     0.7    45.6
    10.45    51.08    2004    54.8     0.0     0.8    55.6
    10.45    51.08    2005     2.0     0.0     0.7     2.7
    10.45    51.08    2006     3.4     0.0     0.1     3.5
    10.45    51.08    2007   109.2     0.0     0.2   109.4
    10.45    51.08    2008     8.5     2.6     0.7    11.8
    10.45    51.08    2009    36.3     0.0     1.4    37.7
    10.45    51.08    2010   113.5     0.0     3.6   117.1
    10.45    51.08    2011    63.6    20.8     1.0    85.4
    10.45    51.08    2012     3.9     0.0     0.1     4.0
