      Lon      Lat    Year     Veg    Repr    Soil    Fire     Est       NEE
    10.45    51.08    1951  -0.509   0.051   0.315   0.003   0.000  -0.14108
    10.45    51.08    1952  -0.474   0.047   0.329   0.017   0.000  -0.08148
    10.45    51.08    1953  -0.539   0.054   0.368   0.006   0.000  -0.11142
    10.45    51.08    1954  -0.459   0.046   0.299   0.002   0.000  -0.11221
    10.45    51.08    1955  -0.437   0.044   0.277   0.002   0.000  -0.11375
    10.45    51.08    1956  -0.457   0.046   0.270   0.002   0.000  -0.13893
    10.45    51.08    1957  -0.474   0.047   0.311   0.002   0.000  -0.11315
    10.45    51.08    1958  -0.454   0.045   0.299   0.002   0.000  -0.10675
    10.45    51.08    1959  -0.529   0.053   0.343   0.018   0.000  -0.11489
    10.45    51.08    1960  -0.457   0.046   0.278   0.002   0.000  -0.13166
    10.45    51.08    1961  -0.468   0.047   0.321   0.005   0.000  -0.09565
    10.45    51.08    1962  -0.461   0.046   0.278   0.006   0.000  -0.13129
    10.45    51.08    1963  -0.464   0.046   0.273   0.002   0.000  -0.14197
    10.45    51.08    1964  -0.485   0.048   0.309   0.003   0.000  -0.12477
    10.45    51.08    1965  -0.445   0.044   0.247   0.002   0.000  -0.15124
    10.45    51.08    1966  -0.484   0.048   0.268   0.002   0.000  -0.16564
    10.45    51.08    1967  -0.436   0.044   0.286   0.002   0.000  -0.10500
    10.45    51.08    1968  -0.450   0.045   0.274   0.002   0.000  -0.12926
    10.45    51.08    1969  -0.422   0.042   0.264   0.007   0.000  -0.10896
    10.45    51.08    1970  -0.413   0.041   0.251   0.002   0.000  -0.11856
    10.45    51.08    1971  -0.438   0.044   0.299   0.012   0.000  -0.08295
    10.45    51.08    1972  -0.415   0.042   0.223   0.002   0.000  -0.14866
    10.45    51.08    1973  -0.398   0.040   0.282   0.003   0.000  -0.07378
    10.45    51.08    1974  -0.432   0.043   0.243   0.002   0.000  -0.14416
    10.45    51.08    1975  -0.385   0.039   0.280   0.004   0.000  -0.06223
    10.45    51.08    1976  -0.409   0.041   0.284   0.011  -0.000  -0.07337
    10.45    51.08    1977  -0.395   0.039   0.241   0.002   0.000  -0.11150
    10.45    51.08    1978  -0.392   0.039   0.257   0.002   0.000  -0.09283
    10.45    51.08    1979  -0.368   0.037   0.262   0.002   0.000  -0.06688
    10.45    51.08    1980  -0.368   0.037   0.259   0.002   0.000  -0.06971
    10.45    51.08    1981  -0.421   0.042   0.248   0.002   0.000  -0.12824
    10.45    51.08    1982  -0.374   0.037   0.325   0.014   0.000   0.00275
    10.45    51.08    1983  -0.422   0.042   0.277   0.005   0.000  -0.09786
    10.45    51.08    1984  -0.342   0.034   0.205   0.002   0.000  -0.10108
    10.45    51.08    1985  -0.430   0.043   0.263   0.002   0.000  -0.12195
    10.45    51.08    1986  -0.396   0.040   0.241   0.002   0.000  -0.11427
    10.45    51.08    1987  -0.395   0.039   0.203   0.002   0.000  -0.15074
    10.45    51.08    1988  -0.423   0.042   0.283   0.004   0.000  -0.09395
    10.45    51.08    1989  -0.478   0.048   0.275   0.005   0.000  -0.15009
    10.45    51.08    1990  -0.504   0.050   0.258   0.007   0.000  -0.18744
    10.45    51.08    1991  -0.434   0.043   0.262   0.005  -0.000  -0.12459
    10.45    51.08    1992  -0.381   0.038   0.254   0.002   0.000  -0.08652
    10.45    51.08    1993  -0.453   0.045   0.225   0.002   0.000  -0.18024
    10.45    51.08    1994  -0.404   0.040   0.250   0.001   0.000  -0.11267
    10.45    51.08    1995  -0.389   0.039   0.229   0.001   0.000  -0.12033
    10.45    51.08    1996  -0.382   0.038   0.194   0.001   0.000  -0.14843
    10.45    51.08    1997  -0.420   0.042   0.255   0.002   0.000  -0.12093
    10.45    51.08    1998  -0.432   0.043   0.236   0.001   0.000  -0.15145
    10.45    51.08    1999  -0.449   0.045   0.247   0.001   0.000  -0.15553
    10.45    51.08    2000  -0.415   0.041   0.250   0.001   0.000  -0.12186
    10.45    51.08    2001  -0.430   0.043   0.233   0.002  -0.000  -0.15213
    10.45    51.08    2002  -0.385   0.039   0.245   0.002   0.000  -0.09946
    10.45    51.08    2003  -0.394   0.039   0.307   0.013   0.000  -0.03474
    10.45    51.08    2004  -0.495   0.049   0.265   0.003   0.000  -0.17747
    10.45    51.08    2005  -0.465   0.047   0.256   0.002   0.000  -0.16021
    10.45    51.08    2006  -0.421   0.042   0.266   0.002  -0.000  -0.11083
    10.45    51.08    2007  -0.471   0.047   0.246   0.002   0.000  -0.17587
    10.45    51.08    2008  -0.438   0.044   0.277   0.004   0.000  -0.11376
    10.45    51.08    2009  -0.445   0.044   0.255   0.002   0.000  -0.14309
    10.45    51.08    2010  -0.410   0.041   0.225   0.004   0.000  -0.13975
    10.45    51.08    2011  -0.498   0.050   0.276   0.009   0.000  -0.16275
    10.45    51.08    2012  -0.445   0.044   0.258   0.002   0.000  -0.14041
