      Lon      Lat    Year  FireRT
    10.45    51.08    1951  1000.0
    10.45    51.08    1952   149.6
    10.45    51.08    1953   387.7
    10.45    51.08    1954  1000.0
    10.45    51.08    1955  1000.0
    10.45    51.08    1956  1000.0
    10.45    51.08    1957  1000.0
    10.45    51.08    1958  1000.0
    10.45    51.08    1959   121.7
    10.45    51.08    1960   998.4
    10.45    51.08    1961   441.9
    10.45    51.08    1962   347.7
    10.45    51.08    1963  1000.0
    10.45    51.08    1964   688.7
    10.45    51.08    1965  1000.0
    10.45    51.08    1966  1000.0
    10.45    51.08    1967  1000.0
    10.45    51.08    1968  1000.0
    10.45    51.08    1969   262.7
    10.45    51.08    1970  1000.0
    10.45    51.08    1971   143.1
    10.45    51.08    1972  1000.0
    10.45    51.08    1973   640.2
    10.45    51.08    1974  1000.0
    10.45    51.08    1975   366.3
    10.45    51.08    1976   147.0
    10.45    51.08    1977  1000.0
    10.45    51.08    1978  1000.0
    10.45    51.08    1979  1000.0
    10.45    51.08    1980   952.0
    10.45    51.08    1981  1000.0
    10.45    51.08    1982   145.3
    10.45    51.08    1983   408.5
    10.45    51.08    1984  1000.0
    10.45    51.08    1985   814.2
    10.45    51.08    1986  1000.0
    10.45    51.08    1987  1000.0
    10.45    51.08    1988   468.6
    10.45    51.08    1989   341.2
    10.45    51.08    1990   224.1
    10.45    51.08    1991   353.9
    10.45    51.08    1992   680.3
    10.45    51.08    1993   641.9
    10.45    51.08    1994  1000.0
    10.45    51.08    1995  1000.0
    10.45    51.08    1996  1000.0
    10.45    51.08    1997   653.8
    10.45    51.08    1998  1000.0
    10.45    51.08    1999  1000.0
    10.45    51.08    2000  1000.0
    10.45    51.08    2001   542.3
    10.45    51.08    2002  1000.0
    10.45    51.08    2003   175.9
    10.45    51.08    2004   771.6
    10.45    51.08    2005   893.1
    10.45    51.08    2006  1000.0
    10.45    51.08    2007  1000.0
    10.45    51.08    2008   547.2
    10.45    51.08    2009  1000.0
    10.45    51.08    2010   439.6
    10.45    51.08    2011   214.5
    10.45    51.08    2012  1000.0
