      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.001   0.008   1.779  18.517  39.638  49.010  57.374  44.617  30.249  12.800   2.030   0.001
    10.45    51.08    1952   0.001   0.001   0.797  23.830  43.457  54.619  60.514  41.067  16.952   8.102   0.596   0.000
    10.45    51.08    1953   0.000   0.208   6.335  34.065  49.947  41.658  52.815  46.495  29.879  12.775   0.690   0.001
    10.45    51.08    1954   0.000   0.001   1.768  13.157  47.192  51.664  35.731  39.454  25.098  11.883   2.578   0.001
    10.45    51.08    1955   0.000   0.001   1.315  14.813  41.262  45.976  40.218  35.053  25.278  11.077   1.915   0.001
    10.45    51.08    1956   0.016   0.000   0.837   9.783  45.615  35.394  43.544  37.167  26.354  10.514   1.090   0.001
    10.45    51.08    1957   0.053   0.315   9.031  24.728  37.799  57.983  45.952  39.047  20.835  10.089   0.037   0.000
    10.45    51.08    1958   0.000   0.648   1.057  10.249  39.163  43.337  51.058  45.294  28.487  11.493   1.173   0.001
    10.45    51.08    1959   0.001   0.136   6.407  26.495  43.189  52.205  51.676  38.840  34.914  14.682   0.037   0.000
    10.45    51.08    1960   0.001   0.031   2.072  14.166  36.480  55.395  46.765  36.911  21.827   8.980   2.046   0.000
    10.45    51.08    1961   0.000   0.344   6.154  18.943  29.106  47.856  41.574  37.524  30.189  12.221   0.001   0.000
    10.45    51.08    1962   0.001   0.041   0.366  11.569  28.921  50.037  40.846  41.160  26.574  11.359   1.607   0.000
    10.45    51.08    1963   0.000   0.000   0.669  12.140  38.445  42.428  51.079  35.649  24.469   9.004   2.387   0.000
    10.45    51.08    1964   0.000   0.001   0.091  11.455  43.009  57.982  52.686  38.183  26.357   8.230   0.365   0.010
    10.45    51.08    1965   0.049   0.000   0.596  10.491  32.029  42.280  39.365  39.745  22.432  10.696   0.885   0.001
    10.45    51.08    1966   0.006   1.469   3.070  16.632  43.524  47.504  36.757  36.265  22.078  11.111   0.178   0.000
    10.45    51.08    1967   0.003   0.532   5.272  11.956  39.694  39.455  55.247  35.694  19.896  12.009   1.676   0.000
    10.45    51.08    1968   0.000   0.020   2.665  18.937  32.145  43.982  46.920  34.628  19.427   8.739   1.198   0.000
    10.45    51.08    1969   0.000   0.000   0.000   6.039  34.665  42.897  51.743  34.241  24.137  10.900   2.729   0.000
    10.45    51.08    1970   0.000   0.000   0.212   5.050  28.382  51.333  44.935  32.774  25.668   7.092   2.161   0.069
    10.45    51.08    1971   0.000   0.019   0.532  11.854  34.791  33.807  55.200  41.966  23.842  11.702   1.859   0.000
    10.45    51.08    1972   0.002   0.001   2.692  12.256  29.617  41.851  38.528  31.279  18.305   8.493   1.886   0.000
