      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.000   0.001   0.004   0.050   0.175   0.220   0.221   0.178   0.132   0.060   0.015   0.000
    10.45    51.08    1952   0.000   0.000   0.002   0.084   0.207   0.223   0.192   0.147   0.099   0.050   0.006   0.000
    10.45    51.08    1953   0.000   0.001   0.017   0.135   0.190   0.182   0.203   0.188   0.136   0.071   0.005   0.000
    10.45    51.08    1954   0.000   0.000   0.005   0.035   0.194   0.206   0.178   0.171   0.116   0.070   0.015   0.000
    10.45    51.08    1955   0.000   0.000   0.003   0.035   0.180   0.203   0.173   0.153   0.123   0.061   0.011   0.000
    10.45    51.08    1956   0.000   0.000   0.002   0.027   0.183   0.178   0.192   0.179   0.130   0.059   0.006   0.000
    10.45    51.08    1957   0.000   0.001   0.029   0.095   0.172   0.213   0.167   0.174   0.109   0.058   0.001   0.000
    10.45    51.08    1958   0.000   0.002   0.002   0.027   0.170   0.192   0.206   0.190   0.134   0.065   0.008   0.000
    10.45    51.08    1959   0.000   0.000   0.019   0.102   0.204   0.209   0.166   0.163   0.166   0.078   0.001   0.000
    10.45    51.08    1960   0.000   0.000   0.005   0.040   0.164   0.215   0.211   0.169   0.115   0.056   0.014   0.000
    10.45    51.08    1961   0.000   0.001   0.017   0.095   0.155   0.207   0.181   0.171   0.131   0.070   0.000   0.000
    10.45    51.08    1962   0.000   0.000   0.001   0.031   0.141   0.211   0.193   0.184   0.132   0.061   0.008   0.000
    10.45    51.08    1963   0.000   0.000   0.001   0.040   0.171   0.200   0.207   0.169   0.126   0.053   0.019   0.000
    10.45    51.08    1964   0.000   0.000   0.000   0.041   0.201   0.237   0.212   0.172   0.133   0.046   0.002   0.000
    10.45    51.08    1965   0.000   0.000   0.001   0.027   0.148   0.200   0.187   0.194   0.126   0.058   0.006   0.000
    10.45    51.08    1966   0.000   0.004   0.007   0.065   0.212   0.205   0.186   0.174   0.117   0.066   0.001   0.000
    10.45    51.08    1967   0.000   0.001   0.012   0.034   0.175   0.193   0.221   0.168   0.111   0.073   0.010   0.000
