      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.017   0.023   0.167   0.488   2.189   9.872   2.731   4.958   2.529   0.736   1.100   0.013
    10.45    51.08    1952   0.027   0.018   0.327   1.507   4.586   2.491   1.223   2.438   6.198   3.776   1.867   0.018
    10.45    51.08    1953   0.022   0.020   0.041   0.780   2.887   6.113   3.305   2.629   1.267   1.453   0.005   0.016
    10.45    51.08    1954   0.024   0.020   0.051   0.842   1.441   2.798   6.781   4.452   2.708   2.392   0.724   0.022
    10.45    51.08    1955   0.016   0.029   0.048   0.624   2.241   3.597   5.780   3.349   2.688   1.315   0.161   0.023
    10.45    51.08    1956   0.017   0.016   0.027   1.077   1.901   7.178   8.768   4.571   1.300   2.641   0.921   0.014
    10.45    51.08    1957   0.063   0.131   0.636   0.842   2.973   3.740   5.175   2.618   3.590   0.972   0.014   0.012
    10.45    51.08    1958   0.019   0.382   0.723   0.629   4.130   3.608   3.942   4.454   2.843   1.960   0.961   0.015
    10.45    51.08    1959   0.014   0.006   0.294   1.818   2.710   2.666   0.864   3.193   0.030   1.126   0.022   0.009
    10.45    51.08    1960   0.022   0.012   0.096   0.919   3.390   1.647   2.682   4.051   2.574   3.136   1.038   0.014
    10.45    51.08    1961   0.011   0.019   0.439   4.235   5.781   4.294   2.557   2.426   1.274   0.774   0.011   0.015
    10.45    51.08    1962   0.012   0.029   0.055   0.464   2.657   0.852   3.665   1.734   1.543   0.413   0.189   0.011
    10.45    51.08    1963   0.011   0.007   0.075   0.582   1.509   5.026   1.837   6.005   2.029   1.356   1.537   0.003
    10.45    51.08    1964   0.006   0.012   0.026   1.116   3.274   2.318   2.350   2.618   1.389   1.182   0.098   0.032
    10.45    51.08    1965   0.080   0.010   0.023   0.959   1.324   4.663   3.308   2.304   2.251   0.455   0.712   0.015
    10.45    51.08    1966   0.016   0.109   0.355   1.591   2.779   4.852   4.548   3.664   1.006   2.081   0.181   0.015
    10.45    51.08    1967   0.009   0.043   0.445   0.487   2.357   4.811   2.403   3.348   3.106   1.484   0.329   0.010
    10.45    51.08    1968   0.009   0.024   0.039   2.011   1.946   3.352   2.103   2.953   2.769   1.796   0.415   0.006
    10.45    51.08    1969   0.007   0.015   0.016   0.722   3.746   4.790   0.537   4.114   1.560   0.631   0.860   0.006
