      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.033   0.033   0.213   1.047   3.116   3.475   3.475   3.475   3.475   3.475   2.252   0.033
    10.45    51.08    1952   0.033   0.033   0.134   1.716   3.466   3.466   3.466   3.466   3.466   3.466   1.260   0.033
    10.45    51.08    1953   0.030   0.046   0.346   2.283   3.410   3.410   3.410   3.410   3.410   3.410   0.411   0.030
    10.45    51.08    1954   0.030   0.030   0.139   0.887   2.811   3.433   3.433   3.433   3.433   3.433   2.683   0.030
    10.45    51.08    1955   0.028   0.028   0.122   0.937   3.153   3.400   3.400   3.400   3.400   3.400   2.164   0.028
    10.45    51.08    1956   0.030   0.026   0.070   0.714   2.707   3.320   3.320   3.320   3.320   3.320   2.112   0.027
    10.45    51.08    1957   0.089   0.141   0.763   2.205   3.292   3.303   3.303   3.303   3.303   3.111   0.066   0.025
    10.45    51.08    1958   0.024   0.245   0.562   0.871   2.829   3.272   3.272   3.272   3.272   3.272   1.732   0.024
    10.45    51.08    1959   0.022   0.048   0.612   2.199   3.248   3.248   3.248   3.248   3.248   3.185   0.107   0.022
    10.45    51.08    1960   0.021   0.024   0.272   1.108   2.781   3.283   3.283   3.283   3.283   3.283   2.064   0.021
    10.45    51.08    1961   0.020   0.042   0.688   2.281   3.234   3.234   3.234   3.234   3.234   3.109   0.020   0.020
    10.45    51.08    1962   0.019   0.043   0.080   0.686   2.705   3.192   3.192   3.192   3.192   3.192   1.605   0.019
    10.45    51.08    1963   0.018   0.018   0.076   0.813   2.754   3.155   3.155   3.155   3.155   3.155   2.318   0.018
    10.45    51.08    1964   0.016   0.016   0.026   0.695   2.856   3.145   3.145   3.145   3.145   3.145   0.746   0.075
    10.45    51.08    1965   0.126   0.016   0.049   0.757   2.328   3.157   3.157   3.157   3.157   3.157   1.482   0.016
    10.45    51.08    1966   0.036   0.217   0.641   1.437   3.083   3.138   3.138   3.138   3.138   3.138   0.560   0.016
    10.45    51.08    1967   0.016   0.144   0.494   0.985   2.610   3.153   3.153   3.153   3.153   3.153   1.775   0.015
    10.45    51.08    1968   0.015   0.022   0.145   1.524   3.106   3.121   3.121   3.121   3.121   3.121   1.094   0.015
    10.45    51.08    1969   0.015   0.015   0.015   0.495   2.531   3.107   3.107   3.107   3.107   3.107   2.901   0.015
    10.45    51.08    1970   0.014   0.014   0.032   0.357   2.218   3.067   3.067   3.067   3.067   3.067   3.067   0.154
    10.45    51.08    1971   0.013   0.019   0.086   0.795   2.510   2.997   2.997   2.997   2.997   2.997   2.102   0.013
    10.45    51.08    1972   0.023   0.013   0.181   1.073   2.587   2.966   2.966   2.966   2.966   2.966   1.785   0.013
    10.45    51.08    1973   0.013   0.013   0.068   0.416   2.083   2.936   2.936   2.936   2.936   2.936   1.572   0.013
    10.45    51.08    1974   0.032   0.184   0.469   1.715   2.737   2.899   2.899   2.899   2.899   2.899   0.014   0.038
    10.45    51.08    1975   0.014   0.023   0.189   0.581   2.420   2.898   2.898   2.898   2.898   2.898   1.264   0.014
    10.45    51.08    1976   0.015   0.015   0.043   0.857   2.430   2.855   2.855   2.855   2.855   2.855   1.908   0.015
    10.45    51.08    1977   0.014   0.030   0.516   1.087   2.338   2.558   2.558   2.558   2.558   2.558   0.860   0.014
    10.45    51.08    1978   0.015   0.019   0.229   0.836   2.114   2.575   2.575   2.575   2.575   2.575   1.210   0.018
    10.45    51.08    1979   0.055   0.016   0.031   0.420   1.639   2.585   2.585   2.585   2.585   2.585   1.130   0.054
    10.45    51.08    1980   0.094   0.022   0.052   0.495   1.557   2.577   2.577   2.577   2.577   2.577   0.615   0.149
    10.45    51.08    1981   0.155   0.028   0.442   1.817   2.480   2.552   2.552   2.552   2.552   2.552   0.061   0.019
    10.45    51.08    1982   0.019   0.019   0.044   0.618   1.838   2.589   2.589   2.589   2.589   2.589   2.460   0.019
    10.45    51.08    1983   0.021   0.056   0.266   0.950   2.471   2.582   2.582   2.582   2.582   2.582   1.174   0.021
    10.45    51.08    1984   0.021   0.021   0.028   0.357   1.862   2.611   2.611   2.611   2.611   2.611   1.748   0.021
    10.45    51.08    1985   0.031   0.025   0.043   0.928   2.156   2.576   2.576   2.576   2.576   2.576   0.959   0.044
    10.45    51.08    1986   0.079   0.023   0.052   0.340   2.267   2.615   2.615   2.615   2.615   2.615   2.314   0.022
    10.45    51.08    1987   0.023   0.023   0.035   0.665   2.368   2.618   2.618   2.618   2.618   2.618   1.926   0.023
    10.45    51.08    1988   0.024   0.025   0.056   0.615   2.338   2.624   2.624   2.624   2.624   2.624   1.844   0.024
    10.45    51.08    1989   0.028   0.039   0.318   1.349   2.519   2.655   2.655   2.655   2.655   2.655   0.817   0.025
    10.45    51.08    1990   0.027   0.194   1.066   2.030   2.719   2.725   2.725   2.725   2.725   1.909   0.027   0.027
    10.45    51.08    1991   0.029   0.030   0.520   1.684   2.575   2.809   2.809   2.809   2.809   2.809   0.589   0.029
    10.45    51.08    1992   0.030   0.045   0.286   0.796   2.484   2.820   2.820   2.820   2.820   2.820   0.309   0.030
    10.45    51.08    1993   0.045   0.136   0.469   1.444   2.788   2.788   2.788   2.788   2.788   2.788   0.499   0.031
    10.45    51.08    1994   0.031   0.038   0.418   1.225   2.771   2.816   2.816   2.816   2.816   2.816   0.915   0.031
    10.45    51.08    1995   0.029   0.090   0.314   1.074   2.665   2.798   2.798   2.798   2.798   2.798   1.244   0.029
    10.45    51.08    1996   0.028   0.028   0.040   0.599   2.475   2.754   2.754   2.754   2.754   2.754   2.118   0.028
    10.45    51.08    1997   0.028   0.074   0.602   1.106   2.456   2.727   2.727   2.727   2.727   2.727   0.838   0.028
    10.45    51.08    1998   0.029   0.192   0.817   1.951   2.738   2.738   2.738   2.738   2.738   2.266   0.029   0.029
    10.45    51.08    1999   0.033   0.080   0.335   1.371   2.688   2.759   2.759   2.759   2.759   2.759   0.813   0.030
    10.45    51.08    2000   0.030   0.095   0.431   1.309   2.791   2.791   2.791   2.791   2.791   2.791   0.731   0.030
    10.45    51.08    2001   0.032   0.101   0.368   1.086   2.416   2.569   2.569   2.569   2.569   2.569   0.962   0.032
    10.45    51.08    2002   0.041   0.519   1.056   1.731   2.563   2.580   2.580   2.580   2.580   1.677   0.031   0.031
    10.45    51.08    2003   0.032   0.032   0.168   0.952   2.542   2.589   2.589   2.589   2.589   2.589   0.373   0.032
    10.45    51.08    2004   0.034   0.237   0.664   1.607   2.603   2.603   2.603   2.603   2.603   2.439   0.034   0.034
    10.45    51.08    2005   0.036   0.036   0.223   1.392   2.681   2.700   2.700   2.700   2.700   2.700   0.880   0.036
    10.45    51.08    2006   0.037   0.037   0.078   0.938   2.591   2.755   2.755   2.755   2.755   2.755   1.668   0.037
    10.45    51.08    2007   0.036   0.046   0.263   1.425   2.746   2.750   2.750   2.750   2.750   2.750   0.814   0.036
    10.45    51.08    2008   0.070   0.234   0.687   1.245   2.662   2.806   2.806   2.806   2.806   2.806   0.551   0.040
    10.45    51.08    2009   0.041   0.041   0.086   1.500   2.803   2.803   2.803   2.803   2.803   2.803   0.961   0.041
    10.45    51.08    2010   0.042   0.042   0.269   1.448   2.781   2.824   2.824   2.824   2.824   2.824   0.880   0.042
    10.45    51.08    2011   0.043   0.118   0.408   1.967   2.788   2.788   2.788   2.788   2.788   2.746   0.138   0.041
    10.45    51.08    2012   0.044   0.046   0.425   1.453   2.852   2.861   2.861   2.861   2.861   2.861   0.751   0.044
