      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951  -0.020  -0.016  -0.015  -0.002   0.058   0.087   0.065   0.042   0.019   0.008  -0.016  -0.016
    10.45    51.08    1952  -0.015  -0.007  -0.018   0.007   0.085   0.076   0.012  -0.007   0.026   0.007  -0.012  -0.008
    10.45    51.08    1953  -0.008  -0.010  -0.017   0.040   0.050   0.043   0.051   0.043   0.024  -0.002  -0.022  -0.020
    10.45    51.08    1954  -0.008  -0.004  -0.021  -0.006   0.069   0.044   0.054   0.044   0.014   0.008  -0.015  -0.019
    10.45    51.08    1955  -0.007  -0.009  -0.009  -0.007   0.063   0.065   0.032   0.033   0.021   0.003  -0.012  -0.015
    10.45    51.08    1956  -0.017  -0.001  -0.014  -0.010   0.063   0.057   0.057   0.057   0.029  -0.003  -0.014  -0.018
    10.45    51.08    1957  -0.011  -0.023  -0.013   0.029   0.068   0.055   0.012   0.051   0.024   0.006  -0.023  -0.011
    10.45    51.08    1958  -0.014  -0.019  -0.008  -0.005   0.051   0.062   0.056   0.043   0.019   0.002  -0.016  -0.016
    10.45    51.08    1959  -0.015  -0.008  -0.019   0.024   0.078   0.068  -0.005   0.025   0.052   0.016  -0.017  -0.012
    10.45    51.08    1960  -0.015  -0.009  -0.019  -0.009   0.059   0.063   0.064   0.042   0.026   0.005  -0.016  -0.013
    10.45    51.08    1961  -0.009  -0.020  -0.023   0.023   0.064   0.076   0.032   0.044   0.005  -0.011  -0.022  -0.012
    10.45    51.08    1962  -0.017  -0.012  -0.008  -0.016   0.050   0.068   0.062   0.041   0.036  -0.003  -0.011  -0.006
    10.45    51.08    1963  -0.002  -0.002  -0.015  -0.008   0.058   0.058   0.050   0.043   0.028   0.003  -0.014  -0.007
    10.45    51.08    1964  -0.005  -0.009  -0.010  -0.009   0.077   0.063   0.045   0.035   0.025  -0.002  -0.021  -0.013
    10.45    51.08    1965  -0.014  -0.006  -0.013  -0.016   0.053   0.071   0.051   0.063   0.035   0.000  -0.011  -0.015
    10.45    51.08    1966  -0.008  -0.015  -0.018   0.010   0.079   0.057   0.067   0.051   0.028  -0.006  -0.014  -0.014
    10.45    51.08    1967  -0.014  -0.018  -0.020  -0.005   0.056   0.073   0.054   0.030   0.022  -0.001  -0.015  -0.011
    10.45    51.08    1968  -0.009  -0.014  -0.015  -0.001   0.065   0.070   0.051   0.033   0.019  -0.001  -0.016  -0.007
    10.45    51.08    1969  -0.011  -0.008  -0.007  -0.017   0.055   0.077   0.039   0.005   0.038   0.006  -0.015  -0.004
    10.45    51.08    1970  -0.005  -0.007  -0.011  -0.017   0.045   0.062   0.052   0.043   0.033  -0.006  -0.015  -0.013
    10.45    51.08    1971  -0.009  -0.016  -0.013  -0.014   0.037   0.061   0.067   0.012   0.035   0.006  -0.012  -0.018
    10.45    51.08    1972  -0.008  -0.012  -0.021  -0.006   0.058   0.090   0.036   0.050   0.028   0.003  -0.013  -0.013
    10.45    51.08    1973  -0.009  -0.014  -0.019  -0.018   0.049   0.056   0.030   0.043   0.016   0.004  -0.013  -0.009
    10.45    51.08    1974  -0.021  -0.019  -0.012   0.013   0.070   0.082   0.069   0.032   0.026  -0.008  -0.021  -0.021
    10.45    51.08    1975  -0.026  -0.014  -0.020  -0.008   0.058   0.064   0.046   0.027   0.015  -0.010  -0.013  -0.013
    10.45    51.08    1976  -0.018  -0.008  -0.013  -0.013   0.059   0.067   0.008   0.057   0.013  -0.004  -0.014  -0.011
    10.45    51.08    1977  -0.010  -0.017  -0.020   0.004   0.078   0.041   0.054   0.033   0.017   0.002  -0.016  -0.012
    10.45    51.08    1978  -0.014  -0.007  -0.021  -0.007   0.047   0.045   0.062   0.034   0.021   0.004  -0.018  -0.011
    10.45    51.08    1979  -0.004  -0.004  -0.016  -0.016   0.030   0.037   0.054   0.039   0.019  -0.002  -0.012  -0.019
    10.45    51.08    1980  -0.006  -0.015  -0.017  -0.016   0.036   0.062   0.048   0.026   0.019   0.002  -0.018  -0.011
    10.45    51.08    1981  -0.008  -0.008  -0.012   0.013   0.062   0.053   0.034   0.038   0.026   0.002  -0.020  -0.007
    10.45    51.08    1982  -0.007  -0.009  -0.020  -0.013   0.039   0.032   0.027   0.021   0.011  -0.004  -0.013  -0.015
    10.45    51.08    1983  -0.023  -0.008  -0.019   0.008   0.061   0.063   0.030   0.031   0.026  -0.002  -0.012  -0.011
    10.45    51.08    1984  -0.018  -0.009  -0.013  -0.014   0.032   0.071   0.055   0.037   0.017   0.006  -0.015  -0.012
    10.45    51.08    1985  -0.004  -0.006  -0.015  -0.010   0.048   0.057   0.065   0.045   0.027  -0.011  -0.009  -0.018
    10.45    51.08    1986  -0.010  -0.003  -0.015  -0.013   0.047   0.057   0.038   0.030   0.038   0.010  -0.010  -0.015
    10.45    51.08    1987  -0.005  -0.006  -0.008  -0.007   0.057   0.069   0.050   0.048   0.016   0.004  -0.014  -0.012
    10.45    51.08    1988  -0.022  -0.015  -0.015  -0.012   0.064   0.049   0.066   0.038   0.019  -0.003  -0.014  -0.015
    10.45    51.08    1989  -0.019  -0.016  -0.021   0.002   0.097   0.080   0.047   0.036   0.017   0.007  -0.013  -0.015
    10.45    51.08    1990  -0.016  -0.023  -0.004   0.023   0.107   0.070   0.079   0.020   0.023   0.000  -0.023  -0.011
    10.45    51.08    1991  -0.019  -0.006  -0.023   0.015   0.055   0.081   0.034   0.036   0.025   0.001  -0.016  -0.011
    10.45    51.08    1992  -0.016  -0.015  -0.022  -0.004   0.077   0.043   0.050   0.016   0.038  -0.008  -0.020  -0.014
    10.45    51.08    1993  -0.018  -0.006  -0.012   0.018   0.065   0.069   0.061   0.051   0.027  -0.002  -0.011  -0.014
    10.45    51.08    1994  -0.020  -0.011  -0.019   0.008   0.077   0.073   0.022   0.022   0.036   0.002  -0.017  -0.019
    10.45    51.08    1995  -0.012  -0.021  -0.018   0.000   0.067   0.061   0.039   0.037   0.024   0.006  -0.015  -0.006
    10.45    51.08    1996  -0.004  -0.005  -0.012  -0.010   0.047   0.058   0.073   0.039   0.021   0.003  -0.013  -0.008
    10.45    51.08    1997  -0.006  -0.018  -0.018   0.002   0.060   0.059   0.051   0.030   0.037  -0.004  -0.014  -0.014
    10.45    51.08    1998  -0.022  -0.017  -0.015   0.025   0.083   0.063   0.051   0.032   0.025  -0.004  -0.014  -0.011
    10.45    51.08    1999  -0.021  -0.010  -0.019   0.011   0.079   0.084   0.048   0.042   0.020  -0.005  -0.013  -0.015
    10.45    51.08    2000  -0.013  -0.018  -0.018   0.010   0.069   0.046   0.049   0.047   0.025   0.008  -0.021  -0.020
    10.45    51.08    2001  -0.014  -0.018  -0.016   0.003   0.090   0.070   0.066   0.019   0.017   0.006  -0.015  -0.011
    10.45    51.08    2002  -0.011  -0.023  -0.007   0.022   0.064   0.058   0.030   0.024   0.021  -0.006  -0.021  -0.010
    10.45    51.08    2003  -0.012  -0.006  -0.020   0.001   0.058   0.061   0.026  -0.013   0.031  -0.005  -0.019  -0.014
    10.45    51.08    2004  -0.013  -0.018  -0.009   0.032   0.076   0.069   0.067   0.023   0.030   0.005  -0.023  -0.011
    10.45    51.08    2005  -0.019  -0.007  -0.012   0.017   0.062   0.053   0.042   0.050   0.032   0.016  -0.014  -0.012
    10.45    51.08    2006  -0.007  -0.008  -0.010  -0.004   0.074   0.067   0.010   0.034   0.036   0.004  -0.020  -0.022
    10.45    51.08    2007  -0.028  -0.019  -0.022   0.023   0.078   0.065   0.056   0.062   0.034   0.004  -0.014  -0.014
    10.45    51.08    2008  -0.023  -0.017  -0.014   0.010   0.084   0.061   0.047   0.022   0.017   0.006  -0.020  -0.012
    10.45    51.08    2009  -0.007  -0.011  -0.023   0.019   0.084   0.068   0.045   0.035   0.023  -0.006  -0.024  -0.013
    10.45    51.08    2010  -0.005  -0.007  -0.015   0.017   0.052   0.069   0.020   0.038   0.031   0.007  -0.018  -0.005
    10.45    51.08    2011  -0.015  -0.012  -0.014   0.043   0.080   0.049   0.062   0.029   0.033   0.002  -0.018  -0.019
    10.45    51.08    2012  -0.020  -0.007  -0.022   0.004   0.067   0.066   0.057   0.042   0.028   0.006  -0.019  -0.014
