      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951  -0.010  -0.008  -0.007   0.022   0.105   0.128   0.121   0.088   0.061   0.026  -0.006  -0.011
    10.45    51.08    1952  -0.008  -0.007  -0.009   0.039   0.125   0.130   0.092   0.059   0.048   0.018  -0.006  -0.007
    10.45    51.08    1953  -0.006  -0.007  -0.001   0.080   0.107   0.097   0.105   0.096   0.068   0.026  -0.011  -0.012
    10.45    51.08    1954  -0.006  -0.004  -0.010   0.013   0.115   0.112   0.096   0.085   0.051   0.026  -0.005  -0.013
    10.45    51.08    1955  -0.006  -0.005  -0.007   0.011   0.107   0.115   0.084   0.071   0.057   0.024  -0.005  -0.011
    10.45    51.08    1956  -0.009  -0.001  -0.010   0.006   0.106   0.100   0.100   0.097   0.065   0.020  -0.007  -0.012
    10.45    51.08    1957  -0.008  -0.011   0.006   0.054   0.104   0.115   0.073   0.090   0.052   0.021  -0.014  -0.008
    10.45    51.08    1958  -0.008  -0.010  -0.005   0.008   0.094   0.107   0.109   0.095   0.062   0.023  -0.009  -0.012
    10.45    51.08    1959  -0.009  -0.006  -0.002   0.055   0.123   0.117   0.068   0.075   0.091   0.037  -0.011  -0.010
    10.45    51.08    1960  -0.009  -0.007  -0.009   0.014   0.093   0.118   0.118   0.084   0.053   0.018  -0.007  -0.009
    10.45    51.08    1961  -0.007  -0.012  -0.003   0.047   0.091   0.115   0.094   0.087   0.054   0.023  -0.012  -0.009
    10.45    51.08    1962  -0.011  -0.007  -0.007   0.003   0.082   0.121   0.107   0.095   0.068   0.021  -0.005  -0.006
    10.45    51.08    1963  -0.002  -0.002  -0.011   0.012   0.099   0.111   0.106   0.083   0.060   0.018  -0.005  -0.005
    10.45    51.08    1964  -0.005  -0.007  -0.008   0.010   0.117   0.130   0.108   0.084   0.064   0.014  -0.014  -0.009
    10.45    51.08    1965  -0.010  -0.005  -0.010   0.004   0.084   0.111   0.099   0.105   0.063   0.021  -0.006  -0.012
    10.45    51.08    1966  -0.006  -0.009  -0.007   0.029   0.125   0.109   0.100   0.088   0.055   0.019  -0.010  -0.010
    10.45    51.08    1967  -0.010  -0.010  -0.006   0.011   0.099   0.108   0.113   0.079   0.048   0.022  -0.007  -0.009
    10.45    51.08    1968  -0.007  -0.008  -0.009   0.025   0.098   0.117   0.111   0.078   0.047   0.015  -0.009  -0.006
    10.45    51.08    1969  -0.009  -0.005  -0.007  -0.004   0.089   0.114   0.100   0.065   0.061   0.025  -0.004  -0.004
    10.45    51.08    1970  -0.005  -0.007  -0.009  -0.005   0.076   0.118   0.108   0.079   0.064   0.010  -0.007  -0.009
    10.45    51.08    1971  -0.007  -0.009  -0.009   0.008   0.080   0.101   0.124   0.074   0.068   0.026  -0.005  -0.014
    10.45    51.08    1972  -0.005  -0.009  -0.010   0.013   0.085   0.126   0.083   0.082   0.050   0.015  -0.005  -0.009
    10.45    51.08    1973  -0.007  -0.008  -0.011  -0.005   0.084   0.109   0.093   0.094   0.051   0.016  -0.008  -0.008
    10.45    51.08    1974  -0.013  -0.010  -0.003   0.037   0.096   0.114   0.104   0.076   0.059   0.002  -0.015  -0.016
    10.45    51.08    1975  -0.015  -0.008  -0.011   0.004   0.090   0.100   0.098   0.086   0.050   0.008  -0.007  -0.010
    10.45    51.08    1976  -0.011  -0.007  -0.009   0.006   0.097   0.109   0.080   0.099   0.044   0.015  -0.008  -0.008
    10.45    51.08    1977  -0.008  -0.010  -0.004   0.015   0.112   0.081   0.095   0.065   0.044   0.020  -0.005  -0.009
    10.45    51.08    1978  -0.008  -0.006  -0.010   0.011   0.076   0.101   0.102   0.079   0.046   0.020  -0.010  -0.009
    10.45    51.08    1979  -0.004  -0.004  -0.011  -0.002   0.060   0.098   0.093   0.085   0.054   0.019  -0.007  -0.013
