      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   3.846   7.475  17.228  57.795  82.178 110.473 115.329  94.908  63.601  28.899   8.600   3.395
    10.45    51.08    1952   3.675   6.190  16.305  63.643  92.578 110.498 126.158  96.896  44.894  24.430   7.364   2.737
    10.45    51.08    1953   3.273   6.960  32.653  72.186 105.382  94.448 111.422  97.466  62.656  29.793   6.453   3.516
    10.45    51.08    1954   3.338   5.968  20.313  45.633  99.844 109.628  84.543  87.688  56.677  29.880   9.564   3.425
    10.45    51.08    1955   3.873   6.323  16.636  47.913  89.800  99.748  92.631  78.265  56.952  27.417   7.297   3.366
    10.45    51.08    1956   4.284   4.065  19.328  39.588 101.627  86.408 105.155  85.125  57.936  28.694   7.092   3.423
    10.45    51.08    1957   4.340   8.794  30.455  58.860  86.080 129.237 107.869  86.177  50.867  26.036   5.951   3.192
    10.45    51.08    1958   4.244   9.639  15.480  37.608  93.352  98.497 114.409 102.970  65.630  29.690   7.310   3.511
    10.45    51.08    1959   4.571   7.848  26.787  64.773  96.357 116.400 129.261  88.982  73.986  35.254   5.840   3.247
    10.45    51.08    1960   3.957   7.205  17.868  48.507  89.698 122.905 104.737  86.659  52.703  26.664   9.721   3.274
    10.45    51.08    1961   3.677  10.954  27.700  52.805  75.303 113.458  98.405  86.959  69.244  31.084   5.494   3.243
    10.45    51.08    1962   4.678   7.370  16.648  46.998  72.076 111.525  96.477  93.377  61.865  28.627   7.465   2.973
    10.45    51.08    1963   2.725   5.407  18.614  46.926  92.341 106.061 120.262  92.693  60.508  26.209  11.082   3.003
    10.45    51.08    1964   3.871   8.471  14.587  49.691 105.015 137.596 126.410  92.920  64.071  24.594   5.978   3.461
    10.45    51.08    1965   4.601   6.395  17.882  44.888  83.553 106.676  97.864  95.552  56.989  29.091   6.554   3.560
    10.45    51.08    1966   3.684  10.387  21.856  49.965 104.962 119.595  93.935  90.668  54.489  31.374   5.985   3.485
    10.45    51.08    1967   4.609   9.964  27.319  44.811 101.551 100.175 132.008  89.276  53.060  32.550   8.514   3.326
    10.45    51.08    1968   3.932   7.848  26.585  65.489  80.536 108.216 113.864  86.825  51.765  26.370   7.947   2.746
    10.45    51.08    1969   4.430   6.897  12.755  42.542  91.267 109.045 123.452  95.234  60.382  28.868  10.625   2.402
    10.45    51.08    1970   3.617   6.976  17.407  33.697  79.732 126.059 110.486  87.588  63.261  23.919  10.005   3.558
    10.45    51.08    1971   4.676   7.932  16.897  51.521  91.913  89.094 135.327 109.905  60.866  33.705   8.777   3.927
    10.45    51.08    1972   3.873   8.104  28.511  44.277  82.220 109.577 104.369  86.296  49.823  27.227   9.417   4.072
    10.45    51.08    1973   4.403   8.652  22.621  35.587  91.149 107.188 109.582 106.510  62.328  27.459   8.905   3.639
    10.45    51.08    1974   5.263   8.820  26.214  59.592  80.964  98.171  96.812  92.867  62.968  20.174   6.490   4.371
    10.45    51.08    1975   5.827   9.018  21.666  46.723  88.344  94.089 117.956 115.289  61.970  23.778   7.744   3.513
    10.45    51.08    1976   4.479   7.981  19.088  50.509 102.087 122.029 134.989  98.939  48.862  27.434   8.944   3.633
    10.45    51.08    1977   4.992  10.356  26.972  45.538  94.368  86.422 104.714  76.393  52.494  29.424  10.352   4.052
    10.45    51.08    1978   4.938   7.909  25.126  49.134  79.633  98.897 101.836  88.458  49.490  28.605   8.423   3.640
    10.45    51.08    1979   3.940   7.183  20.426  40.188  93.650 110.691  91.188  88.610  61.113  29.940   8.892   4.500
    10.45    51.08    1980   4.097  10.234  17.225  42.573  93.635 102.876  85.607  98.201  60.914  27.643   6.569   3.870
    10.45    51.08    1981   4.830   7.579  29.310  56.351  91.590  99.166  93.420  88.150  59.032  27.355   7.591   3.124
    10.45    51.08    1982   4.255   9.145  24.490  54.339  94.928 114.439 119.749 102.585  72.980  27.141  11.885   3.810
    10.45    51.08    1983   5.845   7.931  23.130  53.516  79.450 111.855 135.630 100.708  62.742  29.739   9.110   3.632
    10.45    51.08    1984   5.008   7.848  19.824  52.209  68.389  92.628 100.273  91.304  48.531  29.663   9.780   4.146
    10.45    51.08    1985   3.877   7.960  17.769  52.755  93.706  92.671 122.906  93.791  60.673  29.981   7.309   4.577
    10.45    51.08    1986   4.802   5.420  21.136  36.278  99.834 110.583 111.840  96.903  52.114  32.517  11.029   4.476
    10.45    51.08    1987   3.360   7.521  17.560  58.291  78.506  86.490 112.694  83.393  59.820  29.200   8.478   3.824
    10.45    51.08    1988   5.793   8.769  17.493  54.825 103.127  94.357 115.881 104.491  56.235  27.523   8.718   4.145
    10.45    51.08    1989   6.285   9.837  31.932  45.002 118.662 112.771 112.439 100.648  59.553  31.626   9.923   4.332
    10.45    51.08    1990   5.618  14.963  35.765  54.008 115.648  96.092 115.139 109.135  47.578  33.130   7.286   3.881
    10.45    51.08    1991   4.945   8.731  28.012  55.208  70.968  98.274 132.970  98.344  70.526  32.233   7.758   3.616
    10.45    51.08    1992   4.390   8.805  23.170  51.848 113.803 103.188 118.617 101.497  58.392  21.680   7.777   3.845
    10.45    51.08    1993   5.272   7.312  25.956  66.578 108.055 104.276 105.592  95.113  48.819  25.402   5.363   3.921
    10.45    51.08    1994   5.111   8.143  25.912  51.712  96.275 113.758 139.932  98.981  56.052  26.180  10.037   4.417
    10.45    51.08    1995   4.897  10.624  23.228  49.689  91.319  89.664 133.909 112.766  48.883  31.731   7.469   2.934
    10.45    51.08    1996   3.615   7.984  16.394  58.004  70.402 113.133  99.813  89.969  40.207  26.005   9.173   3.235
    10.45    51.08    1997   4.063  10.644  27.412  51.341  93.500 110.855 101.429 106.567  67.781  26.757   7.547   3.653
    10.45    51.08    1998   5.541  11.868  26.573  56.048 103.549 108.300  96.095  97.024  49.194  22.297   6.012   3.999
    10.45    51.08    1999   5.649   8.726  23.736  53.903 103.177 104.267 115.345  94.178  74.057  24.674   7.719   3.958
    10.45    51.08    2000   4.907  10.551  23.432  62.463 109.704 117.447  78.421 102.585  54.210  29.008   8.903   4.485
    10.45    51.08    2001   5.005   9.372  18.292  44.841 110.056  92.353 123.815  98.695  43.505  33.564   8.691   3.329
    10.45    51.08    2002   5.822  13.072  28.846  53.220  87.829 109.843  97.403  92.126  57.710  23.746   7.267   3.545
    10.45    51.08    2003   5.033   8.242  28.788  64.063  96.311 138.185 115.502 125.963  63.374  23.292   8.880   4.418
    10.45    51.08    2004   4.876   9.251  28.301  65.052  85.156 102.415 106.114 106.998  67.713  32.355   6.851   3.944
    10.45    51.08    2005   5.443   7.616  25.854  62.654  99.066 118.849 115.972  83.875  72.069  34.783  10.682   3.835
    10.45    51.08    2006   4.387   7.545  18.720  52.464 101.489 123.369 154.697  76.522  76.583  32.565  11.022   4.826
    10.45    51.08    2007   5.826  10.368  30.997  82.393 107.768 117.355 112.386  97.048  53.915  25.856   7.589   3.801
    10.45    51.08    2008   6.081  11.959  25.892  47.490 104.416 119.454 115.883  92.338  51.469  28.583   6.823   3.461
    10.45    51.08    2009   4.437   7.755  18.744  75.319  95.292  88.039 111.149 105.703  60.725  23.041   9.275   3.641
    10.45    51.08    2010   3.390   7.506  26.010  63.659  68.756 119.612 135.708  80.774  51.164  27.597   8.213   2.666
    10.45    51.08    2011   5.043   9.202  32.847  75.999 110.613 111.347  98.194  87.909  66.667  33.689   8.825   4.245
    10.45    51.08    2012   5.070   7.510  35.527  48.801 105.860  93.115 107.509 105.476  61.565  29.740   7.916   3.820
