      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.010   0.009   0.011   0.028   0.070   0.092   0.100   0.090   0.070   0.034   0.021   0.011
    10.45    51.08    1952   0.008   0.007   0.011   0.045   0.082   0.093   0.100   0.088   0.051   0.032   0.012   0.007
    10.45    51.08    1953   0.006   0.008   0.018   0.055   0.083   0.085   0.099   0.092   0.069   0.044   0.016   0.012
    10.45    51.08    1954   0.006   0.004   0.014   0.023   0.079   0.094   0.082   0.086   0.066   0.044   0.020   0.013
    10.45    51.08    1955   0.006   0.006   0.010   0.024   0.073   0.087   0.089   0.082   0.066   0.037   0.016   0.011
    10.45    51.08    1956   0.009   0.001   0.012   0.020   0.077   0.078   0.092   0.081   0.065   0.039   0.013   0.012
    10.45    51.08    1957   0.009   0.013   0.024   0.041   0.068   0.098   0.094   0.083   0.057   0.038   0.015   0.008
    10.45    51.08    1958   0.008   0.012   0.008   0.019   0.076   0.085   0.098   0.095   0.072   0.042   0.017   0.012
    10.45    51.08    1959   0.009   0.007   0.020   0.047   0.082   0.092   0.098   0.088   0.075   0.041   0.012   0.010
    10.45    51.08    1960   0.009   0.007   0.014   0.026   0.072   0.096   0.093   0.085   0.061   0.038   0.021   0.009
    10.45    51.08    1961   0.007   0.013   0.020   0.048   0.064   0.092   0.087   0.084   0.077   0.047   0.012   0.009
    10.45    51.08    1962   0.011   0.007   0.008   0.028   0.059   0.090   0.086   0.089   0.065   0.040   0.013   0.006
    10.45    51.08    1963   0.002   0.002   0.012   0.028   0.072   0.089   0.101   0.086   0.066   0.035   0.023   0.005
    10.45    51.08    1964   0.005   0.007   0.008   0.030   0.084   0.106   0.104   0.088   0.069   0.032   0.016   0.009
    10.45    51.08    1965   0.010   0.005   0.011   0.022   0.064   0.089   0.088   0.089   0.063   0.037   0.012   0.012
    10.45    51.08    1966   0.006   0.013   0.014   0.036   0.086   0.096   0.087   0.086   0.062   0.047   0.011   0.010
    10.45    51.08    1967   0.010   0.012   0.018   0.023   0.076   0.085   0.109   0.089   0.064   0.051   0.016   0.009
    10.45    51.08    1968   0.007   0.008   0.016   0.038   0.069   0.093   0.097   0.086   0.062   0.041   0.017   0.006
    10.45    51.08    1969   0.009   0.005   0.007   0.022   0.073   0.088   0.104   0.087   0.066   0.043   0.023   0.004
    10.45    51.08    1970   0.005   0.007   0.009   0.019   0.061   0.099   0.094   0.086   0.069   0.035   0.023   0.010
    10.45    51.08    1971   0.008   0.009   0.010   0.027   0.072   0.080   0.106   0.096   0.063   0.042   0.017   0.014
    10.45    51.08    1972   0.005   0.009   0.017   0.026   0.066   0.090   0.092   0.083   0.052   0.029   0.018   0.010
    10.45    51.08    1973   0.008   0.008   0.014   0.016   0.067   0.090   0.094   0.097   0.068   0.033   0.016   0.008
    10.45    51.08    1974   0.013   0.011   0.018   0.036   0.066   0.082   0.086   0.087   0.067   0.023   0.015   0.016
    10.45    51.08    1975   0.015   0.008   0.014   0.023   0.069   0.080   0.099   0.101   0.071   0.032   0.014   0.010
    10.45    51.08    1976   0.011   0.007   0.010   0.024   0.074   0.093   0.103   0.089   0.058   0.040   0.017   0.008
    10.45    51.08    1977   0.008   0.010   0.019   0.022   0.069   0.072   0.083   0.070   0.052   0.038   0.019   0.009
    10.45    51.08    1978   0.008   0.006   0.015   0.022   0.057   0.078   0.082   0.077   0.051   0.035   0.014   0.009
    10.45    51.08    1979   0.004   0.004   0.012   0.018   0.056   0.087   0.078   0.078   0.060   0.034   0.013   0.014
    10.45    51.08    1980   0.005   0.010   0.011   0.017   0.049   0.081   0.074   0.085   0.062   0.033   0.013   0.009
    10.45    51.08    1981   0.006   0.006   0.021   0.034   0.069   0.081   0.080   0.078   0.061   0.033   0.015   0.005
    10.45    51.08    1982   0.007   0.006   0.013   0.021   0.061   0.086   0.095   0.090   0.074   0.038   0.023   0.010
    10.45    51.08    1983   0.013   0.005   0.015   0.031   0.063   0.084   0.101   0.088   0.064   0.038   0.015   0.009
    10.45    51.08    1984   0.009   0.007   0.010   0.020   0.049   0.076   0.081   0.083   0.053   0.041   0.017   0.009
    10.45    51.08    1985   0.004   0.005   0.011   0.027   0.070   0.073   0.094   0.083   0.062   0.038   0.010   0.014
    10.45    51.08    1986   0.008   0.002   0.012   0.018   0.076   0.080   0.090   0.085   0.052   0.042   0.021   0.011
    10.45    51.08    1987   0.004   0.006   0.007   0.029   0.058   0.072   0.091   0.077   0.064   0.036   0.017   0.010
    10.45    51.08    1988   0.013   0.009   0.011   0.024   0.080   0.079   0.095   0.092   0.062   0.039   0.015   0.012
    10.45    51.08    1989   0.011   0.010   0.020   0.030   0.087   0.088   0.094   0.090   0.066   0.044   0.015   0.013
    10.45    51.08    1990   0.011   0.017   0.027   0.035   0.094   0.083   0.098   0.096   0.055   0.043   0.016   0.009
    10.45    51.08    1991   0.011   0.006   0.022   0.035   0.056   0.085   0.107   0.094   0.076   0.041   0.015   0.009
    10.45    51.08    1992   0.010   0.011   0.016   0.028   0.089   0.090   0.101   0.099   0.066   0.028   0.016   0.011
    10.45    51.08    1993   0.014   0.006   0.016   0.047   0.092   0.089   0.090   0.090   0.057   0.034   0.009   0.012
    10.45    51.08    1994   0.013   0.008   0.021   0.034   0.083   0.094   0.114   0.096   0.064   0.032   0.023   0.015
    10.45    51.08    1995   0.009   0.014   0.014   0.031   0.073   0.077   0.106   0.102   0.058   0.049   0.014   0.006
    10.45    51.08    1996   0.005   0.006   0.009   0.032   0.059   0.089   0.088   0.088   0.047   0.037   0.020   0.006
    10.45    51.08    1997   0.005   0.013   0.019   0.025   0.075   0.089   0.091   0.100   0.072   0.035   0.015   0.011
    10.45    51.08    1998   0.014   0.015   0.018   0.044   0.087   0.093   0.088   0.091   0.059   0.032   0.011   0.010
    10.45    51.08    1999   0.014   0.008   0.017   0.037   0.085   0.091   0.101   0.091   0.081   0.037   0.016   0.012
    10.45    51.08    2000   0.010   0.013   0.018   0.042   0.093   0.093   0.079   0.099   0.065   0.045   0.021   0.015
    10.45    51.08    2001   0.010   0.012   0.015   0.028   0.089   0.081   0.104   0.099   0.054   0.052   0.017   0.009
    10.45    51.08    2002   0.010   0.016   0.019   0.034   0.075   0.089   0.084   0.089   0.061   0.030   0.016   0.008
    10.45    51.08    2003   0.009   0.004   0.017   0.032   0.081   0.102   0.096   0.101   0.066   0.026   0.018   0.010
    10.45    51.08    2004   0.008   0.012   0.017   0.043   0.069   0.084   0.091   0.097   0.069   0.042   0.014   0.009
    10.45    51.08    2005   0.012   0.006   0.015   0.040   0.076   0.090   0.099   0.083   0.076   0.048   0.020   0.009
    10.45    51.08    2006   0.005   0.007   0.011   0.031   0.083   0.092   0.114   0.080   0.083   0.051   0.026   0.016
    10.45    51.08    2007   0.017   0.013   0.020   0.051   0.090   0.098   0.098   0.093   0.061   0.037   0.015   0.011
    10.45    51.08    2008   0.016   0.013   0.017   0.031   0.090   0.100   0.102   0.096   0.060   0.040   0.018   0.010
    10.45    51.08    2009   0.006   0.008   0.016   0.054   0.086   0.083   0.101   0.104   0.071   0.034   0.024   0.010
    10.45    51.08    2010   0.005   0.007   0.020   0.041   0.062   0.098   0.113   0.086   0.062   0.037   0.020   0.004
    10.45    51.08    2011   0.011   0.009   0.019   0.063   0.093   0.096   0.094   0.092   0.077   0.044   0.015   0.015
    10.45    51.08    2012   0.012   0.007   0.025   0.036   0.092   0.088   0.101   0.105   0.073   0.042   0.019   0.012
