      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.010   0.007   0.008   0.023   0.046   0.041   0.056   0.046   0.042   0.019   0.010   0.006
    10.45    51.08    1952   0.007   0.001   0.009   0.031   0.040   0.054   0.080   0.066   0.022   0.011   0.006   0.001
    10.45    51.08    1953   0.002   0.003   0.016   0.040   0.057   0.054   0.053   0.053   0.044   0.028   0.011   0.007
    10.45    51.08    1954   0.002   0.000   0.011   0.018   0.047   0.068   0.042   0.040   0.036   0.018   0.010   0.006
    10.45    51.08    1955   0.002   0.004   0.002   0.018   0.044   0.050   0.052   0.038   0.036   0.020   0.007   0.004
    10.45    51.08    1956   0.008   0.000   0.005   0.016   0.043   0.043   0.043   0.041   0.036   0.023   0.006   0.006
    10.45    51.08    1957   0.003   0.011   0.019   0.025   0.037   0.060   0.062   0.040   0.028   0.015   0.009   0.003
    10.45    51.08    1958   0.006   0.009   0.002   0.012   0.043   0.045   0.053   0.052   0.044   0.021   0.007   0.004
    10.45    51.08    1959   0.007   0.002   0.018   0.031   0.045   0.049   0.073   0.050   0.039   0.021   0.006   0.003
    10.45    51.08    1960   0.006   0.002   0.010   0.023   0.033   0.055   0.054   0.042   0.028   0.013   0.009   0.004
    10.45    51.08    1961   0.002   0.007   0.020   0.025   0.026   0.039   0.062   0.044   0.049   0.034   0.010   0.003
    10.45    51.08    1962   0.006   0.005   0.001   0.019   0.032   0.053   0.045   0.054   0.032   0.024   0.007   0.001
    10.45    51.08    1963   0.000   0.000   0.005   0.020   0.040   0.053   0.056   0.040   0.032   0.016   0.009   0.002
    10.45    51.08    1964   0.000   0.002   0.002   0.019   0.040   0.068   0.062   0.049   0.039   0.016   0.007   0.004
    10.45    51.08    1965   0.004   0.001   0.003   0.020   0.031   0.040   0.048   0.042   0.028   0.021   0.005   0.003
    10.45    51.08    1966   0.002   0.006   0.011   0.019   0.047   0.052   0.033   0.038   0.027   0.025   0.004   0.003
    10.45    51.08    1967   0.004   0.008   0.014   0.016   0.043   0.034   0.059   0.049   0.025   0.023   0.008   0.002
    10.45    51.08    1968   0.002   0.005   0.006   0.026   0.032   0.046   0.059   0.045   0.028   0.016   0.007   0.001
    10.45    51.08    1969   0.002   0.002   0.000   0.012   0.034   0.037   0.061   0.060   0.024   0.019   0.011   0.001
    10.45    51.08    1970   0.000   0.000   0.002   0.012   0.030   0.056   0.056   0.036   0.031   0.016   0.008   0.004
    10.45    51.08    1971   0.001   0.007   0.004   0.022   0.043   0.040   0.056   0.062   0.032   0.020   0.007   0.004
    10.45    51.08    1972   0.002   0.003   0.011   0.019   0.027   0.036   0.047   0.032   0.023   0.012   0.008   0.003
    10.45    51.08    1973   0.002   0.005   0.008   0.013   0.035   0.053   0.062   0.050   0.035   0.012   0.005   0.001
    10.45    51.08    1974   0.008   0.009   0.009   0.024   0.026   0.033   0.035   0.044   0.034   0.011   0.006   0.005
    10.45    51.08    1975   0.012   0.006   0.009   0.012   0.033   0.036   0.052   0.059   0.035   0.018   0.005   0.003
    10.45    51.08    1976   0.007   0.001   0.004   0.019   0.038   0.042   0.071   0.042   0.031   0.019   0.006   0.003
