      Lon      Lat    Year       Jan       Feb       Mar       Apr       May       Jun       Jul       Aug       Sep       Oct       Nov       Dec
    10.45    51.08    1951     0.000     3.740    12.976     3.252     0.000    61.718     0.000     0.000     0.000     0.000    35.034     9.318
    10.45    51.08    1952    19.790    31.113    52.993    24.631     4.234     0.000     0.000     0.000    67.701    20.023    66.067    28.722
    10.45    51.08    1953    31.004    49.484     0.482     0.000     0.000     5.072     0.000     0.000     0.000     0.000     0.000     0.000
    10.45    51.08    1954    11.289     0.273     9.044    22.255     0.000     0.000     0.000     0.000     5.832    13.364    10.207    34.027
    10.45    51.08    1955    30.753    29.145    38.352    15.965     0.000     0.000     3.745    14.736     0.821     3.730    10.644    36.762
    10.45    51.08    1956    19.743     0.000    50.976    31.895     0.000    25.096    93.677    11.211     1.455    11.749    20.082    12.058
    10.45    51.08    1957    23.888    28.109    15.717     4.426     0.000     0.000     0.000     0.000     0.000     3.965    22.705    21.575
    10.45    51.08    1958    37.460    20.585    71.873    18.110     8.840    27.087    22.545     0.000     0.000     8.472    20.273    29.861
    10.45    51.08    1959    18.721     4.506     4.489     1.516     0.386     0.000     0.000     0.000     0.000     0.000     0.000     0.000
    10.45    51.08    1960     3.963     3.299    16.524     6.568    17.725     0.000     0.000     0.000     0.000    55.278    24.413    32.805
    10.45    51.08    1961    45.870    33.962    11.336    44.347    43.679    44.411     0.000     0.000     0.000     0.000     0.000     9.596
    10.45    51.08    1962    15.286    21.358    21.987    12.987     8.082     0.000     0.000     0.000     0.000     0.000     0.000     0.000
    10.45    51.08    1963     0.000     0.000    23.640     8.636     1.943     0.000     1.351     2.209     0.079    12.188    25.491     3.227
    10.45    51.08    1964     6.771    22.759    10.893    21.686    36.581     0.000     0.000     0.000     0.000     0.000     0.000     0.000
    10.45    51.08    1965     0.000     0.000    34.707    16.124     6.164    13.084     0.000     0.000     0.000     0.000     7.244    62.505
    10.45    51.08    1966    16.859    33.147    15.058    23.725     0.000     0.000    23.825    21.896     2.539    39.873    31.026    43.775
    10.45    51.08    1967    19.135    15.615    25.556     9.530     0.870     7.744     0.000     0.000     0.028     7.809    11.665    19.800
    10.45    51.08    1968    28.573    22.239    23.805     4.593     7.392     0.000     0.000     0.000     0.000    17.383    14.880     6.003
    10.45    51.08    1969    19.927    10.966    17.873    66.534    37.282    19.540     0.000     0.000     2.602     0.000     0.000     0.000
    10.45    51.08    1970     0.000    65.475    26.249    31.025    20.588     1.380     0.000    11.600     0.000    12.253    21.745    14.565
    10.45    51.08    1971    17.875    16.649     8.619     6.380     0.000     3.214     0.198     0.000     0.000     0.000    13.384     0.000
    10.45    51.08    1972     0.000     0.000     3.195    13.620     7.006     9.393    25.375    42.969     0.000     2.983    16.835     1.899
    10.45    51.08    1973    11.682    15.140    18.096    13.918     6.545     0.000     0.000     0.000     0.000     9.605     0.026    24.769
    10.45    51.08    1974    13.837    17.507    13.971     0.000     2.440     6.478    13.219     0.000     0.000    43.554    14.209    51.916
    10.45    51.08    1975     7.881    12.104    15.378    21.175     1.682     0.000     0.000     0.000     0.000     0.000     0.000     0.000
    10.45    51.08    1976    43.623    10.505     8.188     2.190     0.017     5.820     0.000     0.000     0.000     0.000     0.000     0.000
    10.45    51.08    1977     0.000     9.773    24.973    12.874     0.707     7.999     0.696    61.038     6.484     6.709    59.651    30.653
    10.45    51.08    1978    11.717     8.192    18.542     4.967     8.715     0.000     0.000     0.000     0.394    12.707     1.265    20.839
    10.45    51.08    1979     2.073     3.456   109.414    19.962     4.060     0.000     0.000     0.000     0.000     0.000    12.105    33.245
    10.45    51.08    1980    16.691    19.575    13.277    20.324     1.541     0.000     4.843     0.000     0.000     0.000     5.030    22.843
    10.45    51.08    1981    14.965    19.699    30.892     4.565    13.606     2.019     0.444    35.412     3.763    24.724    34.692    33.228
    10.45    51.08    1982    39.778     1.545    13.146     5.165     3.212     0.000     0.000     0.000     0.000     0.000     0.000     0.000
    10.45    51.08    1983     0.000     0.000    11.595    77.247    24.940     0.000     0.000     0.000     0.000     0.000     0.000     0.000
    10.45    51.08    1984     0.718    23.048     9.132    28.614    50.319    10.395     0.000     4.504    11.991    23.131    27.614     7.016
    10.45    51.08    1985    17.305     7.993    13.075     5.946     2.728     0.000     0.000     0.000     0.000     0.000     0.000     0.005
    10.45    51.08    1986    25.928     1.799    38.449    39.740     7.108    13.155     0.000     0.000     0.000    15.317     0.000    23.221
    10.45    51.08    1987    32.991    26.044    69.747     7.420     2.915    50.736     0.831    15.677    30.871     7.413    29.263    20.201
    10.45    51.08    1988    17.919    21.216    55.582    16.505     0.000     0.000     0.000     0.000     0.000     0.000     0.000    28.955
    10.45    51.08    1989    13.816    11.450    21.672    10.756     0.000     0.000     0.000     0.000     0.000     0.000     7.234    19.914
