      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.749   0.877   0.968   0.993   0.960   0.957   0.948   0.950   0.943   0.926   0.986   1.000
    10.45    51.08    1952   1.000   1.000   0.997   0.973   0.977   0.944   0.802   0.628   0.678   0.912   0.999   0.999
    10.45    51.08    1953   1.000   0.999   0.996   0.968   0.874   0.801   0.798   0.762   0.679   0.643   0.672   0.703
    10.45    51.08    1954   0.830   0.923   1.000   0.997   0.956   0.847   0.847   0.932   0.974   0.994   0.999   1.000
    10.45    51.08    1955   1.000   0.997   0.997   0.996   0.974   0.925   0.909   0.970   0.972   0.985   0.999   1.000
    10.45    51.08    1956   1.000   1.000   0.999   0.997   0.975   0.971   0.988   0.990   0.990   0.995   1.000   1.000
    10.45    51.08    1957   1.000   1.000   0.998   0.990   0.956   0.879   0.813   0.832   0.883   0.987   0.999   1.000
    10.45    51.08    1958   1.000   1.000   0.996   0.997   0.992   0.958   0.949   0.901   0.896   0.956   0.999   1.000
    10.45    51.08    1959   1.000   1.000   0.998   0.991   0.961   0.905   0.780   0.660   0.570   0.493   0.577   0.659
    10.45    51.08    1960   0.812   0.971   1.000   0.996   0.984   0.932   0.828   0.783   0.811   0.913   1.000   1.000
    10.45    51.08    1961   1.000   1.000   0.998   0.996   0.993   0.977   0.872   0.831   0.786   0.742   0.761   0.884
    10.45    51.08    1962   0.994   1.000   0.997   0.996   0.995   0.933   0.846   0.764   0.712   0.690   0.693   0.751
    10.45    51.08    1963   0.792   0.800   0.925   0.997   0.982   0.941   0.951   0.937   0.966   0.998   0.999   1.000
    10.45    51.08    1964   1.000   1.000   1.000   0.997   0.981   0.905   0.776   0.688   0.629   0.621   0.673   0.737
    10.45    51.08    1965   0.838   0.937   0.984   0.998   0.990   0.973   0.945   0.938   0.926   0.932   0.964   1.000
    10.45    51.08    1966   1.000   0.997   0.999   0.998   0.960   0.892   0.965   0.972   0.989   0.978   0.999   1.000
    10.45    51.08    1967   1.000   1.000   0.999   0.997   0.968   0.976   0.938   0.867   0.930   0.996   0.999   1.000
    10.45    51.08    1968   1.000   0.999   0.999   0.991   0.991   0.959   0.883   0.823   0.860   0.987   0.998   1.000
    10.45    51.08    1969   1.000   1.000   1.000   0.998   0.986   0.967   0.901   0.783   0.805   0.810   0.865   0.910
    10.45    51.08    1970   0.930   0.999   1.000   0.999   0.996   0.951   0.876   0.902   0.949   0.984   1.000   1.000
    10.45    51.08    1971   1.000   1.000   1.000   0.995   0.968   0.973   0.922   0.771   0.685   0.664   0.707   0.817
    10.45    51.08    1972   0.855   0.894   0.943   0.996   0.989   0.985   0.979   0.989   0.980   0.988   0.999   1.000
    10.45    51.08    1973   1.000   1.000   1.000   0.999   0.986   0.927   0.837   0.790   0.725   0.808   0.947   0.996
    10.45    51.08    1974   1.000   1.000   0.998   0.973   0.985   0.992   0.994   0.951   0.948   0.977   1.000   1.000
    10.45    51.08    1975   1.000   1.000   1.000   0.997   0.981   0.946   0.941   0.833   0.783   0.809   0.867   0.957
    10.45    51.08    1976   0.998   1.000   1.000   0.996   0.967   0.938   0.788   0.685   0.609   0.612   0.669   0.761
    10.45    51.08    1977   0.848   0.981   0.999   0.998   0.986   0.950   0.969   0.993   0.995   0.996   0.999   1.000
    10.45    51.08    1978   1.000   1.000   1.000   0.995   0.990   0.932   0.906   0.889   0.929   0.995   0.997   1.000
    10.45    51.08    1979   1.000   1.000   0.999   0.997   0.992   0.962   0.944   0.962   0.930   0.936   0.989   1.000
    10.45    51.08    1980   1.000   1.000   1.000   0.999   0.977   0.936   0.985   0.925   0.881   0.898   0.967   1.000
    10.45    51.08    1981   1.000   0.999   0.999   0.989   0.987   0.989   0.971   0.964   0.973   0.996   1.000   0.999
    10.45    51.08    1982   1.000   0.999   1.000   0.995   0.983   0.896   0.825   0.743   0.665   0.656   0.694   0.764
    10.45    51.08    1983   0.851   0.949   0.991   0.996   0.995   0.973   0.880   0.795   0.758   0.764   0.767   0.819
    10.45    51.08    1984   0.921   1.000   1.000   0.995   0.995   0.983   0.974   0.982   0.986   0.998   0.996   1.000
    10.45    51.08    1985   1.000   1.000   1.000   0.995   0.975   0.941   0.940   0.890   0.869   0.841   0.846   0.915
    10.45    51.08    1986   1.000   1.000   1.000   0.996   0.991   0.985   0.898   0.835   0.875   0.908   0.978   0.999
    10.45    51.08    1987   0.999   0.999   0.999   0.996   0.990   0.993   0.962   0.995   0.992   0.996   1.000   1.000
    10.45    51.08    1988   1.000   1.000   0.999   0.995   0.957   0.878   0.885   0.856   0.795   0.779   0.801   0.957
    10.45    51.08    1989   1.000   1.000   0.999   0.997   0.961   0.896   0.824   0.760   0.695   0.717   0.819   0.942
    10.45    51.08    1990   1.000   1.000   0.996   0.997   0.944   0.888   0.891   0.774   0.758   0.783   0.872   0.996
    10.45    51.08    1991   1.000   1.000   0.999   0.990   0.990   0.945   0.883   0.829   0.764   0.729   0.754   0.805
    10.45    51.08    1992   0.920   0.977   0.999   0.997   0.969   0.881   0.860   0.790   0.787   0.824   0.956   1.000
    10.45    51.08    1993   1.000   0.999   0.998   0.992   0.919   0.938   0.943   0.976   0.983   0.998   1.000   1.000
    10.45    51.08    1994   1.000   1.000   0.999   0.994   0.967   0.978   0.918   0.850   0.944   0.990   0.999   1.000
    10.45    51.08    1995   1.000   1.000   1.000   0.998   0.983   0.993   0.951   0.891   0.928   0.988   1.000   1.000
    10.45    51.08    1996   1.000   1.000   1.000   0.997   0.995   0.963   0.970   0.971   0.997   0.998   0.999   1.000
    10.45    51.08    1997   0.999   0.999   0.999   0.998   0.987   0.918   0.885   0.909   0.873   0.893   0.979   1.000
    10.45    51.08    1998   1.000   1.000   0.999   0.996   0.957   0.919   0.923   0.890   0.935   0.999   1.000   1.000
    10.45    51.08    1999   1.000   1.000   1.000   0.996   0.960   0.964   0.978   0.932   0.892   0.887   0.951   1.000
    10.45    51.08    2000   1.000   1.000   0.999   0.992   0.935   0.844   0.806   0.776   0.809   0.906   0.983   1.000
    10.45    51.08    2001   1.000   1.000   0.998   0.997   0.975   0.948   0.969   0.905   0.902   0.990   1.000   1.000
    10.45    51.08    2002   1.000   1.000   0.998   0.991   0.994   0.982   0.962   0.985   0.978   0.999   1.000   1.000
    10.45    51.08    2003   1.000   1.000   0.999   0.994   0.980   0.979   0.916   0.781   0.699   0.742   0.794   0.906
    10.45    51.08    2004   0.992   0.999   0.999   0.993   0.988   0.954   0.968   0.924   0.868   0.862   0.913   0.994
    10.45    51.08    2005   0.999   1.000   0.999   0.996   0.989   0.927   0.841   0.879   0.891   0.932   0.988   1.000
    10.45    51.08    2006   1.000   1.000   1.000   0.997   0.963   0.961   0.847   0.808   0.878   0.886   0.972   1.000
    10.45    51.08    2007   1.000   1.000   0.999   0.978   0.911   0.901   0.955   0.983   0.991   0.994   1.000   1.000
    10.45    51.08    2008   1.000   1.000   0.999   0.997   0.960   0.873   0.830   0.761   0.712   0.766   0.883   0.994
    10.45    51.08    2009   1.000   1.000   1.000   0.992   0.992   0.981   0.972   0.924   0.869   0.955   0.998   1.000
    10.45    51.08    2010   1.000   1.000   0.998   0.990   0.987   0.953   0.833   0.930   0.996   0.993   0.998   1.000
    10.45    51.08    2011   1.000   1.000   0.998   0.978   0.905   0.793   0.806   0.816   0.846   0.858   0.877   0.958
    10.45    51.08    2012   1.000   1.000   0.997   0.992   0.959   0.937   0.991   0.941   0.902   0.900   0.958   0.999
