      Lon      Lat    Year     dep     fix    fert    flux   leach     NEE
    10.45    51.08    1951  -11.23   -2.24   -0.00    1.24    0.24  -11.99
    10.45    51.08    1952  -11.23   -2.04   -0.00    2.76    0.83   -9.68
    10.45    51.08    1953  -11.23   -2.20   -0.00    1.74    0.26  -11.42
    10.45    51.08    1954  -11.23   -2.60   -0.00    1.23    0.44  -12.15
    10.45    51.08    1955  -11.23   -2.39   -0.00    1.13    0.63  -11.86
    10.45    51.08    1956  -11.23   -2.51   -0.00    1.09    0.63  -12.02
    10.45    51.08    1957  -11.23   -2.60   -0.00    1.28    0.55  -12.00
    10.45    51.08    1958  -11.23   -2.29   -0.00    1.24    0.77  -11.51
    10.45    51.08    1959  -11.23   -2.41   -0.00    2.95    0.14  -10.55
    10.45    51.08    1960  -14.10   -2.69   -0.00    1.17    0.41  -15.21
    10.45    51.08    1961  -14.10   -2.59   -0.00    1.50    0.57  -14.61
    10.45    51.08    1962  -14.10   -2.70   -0.00    1.58    0.37  -14.85
    10.45    51.08    1963  -14.10   -2.32   -0.00    1.14    0.34  -14.94
    10.45    51.08    1964  -14.10   -2.09   -0.00    1.38    0.34  -14.46
    10.45    51.08    1965  -14.10   -2.68   -0.00    1.01    0.52  -15.26
    10.45    51.08    1966  -14.10   -2.51   -0.00    1.08    0.75  -14.78
    10.45    51.08    1967  -14.10   -2.53   -0.00    1.19    0.58  -14.86
    10.45    51.08    1968  -14.10   -2.51   -0.00    1.15    0.46  -15.00
    10.45    51.08    1969  -14.10   -2.41   -0.00    1.69    0.58  -14.24
    10.45    51.08    1970  -16.97   -2.34   -0.00    1.07    0.77  -17.46
    10.45    51.08    1971  -16.97   -2.39   -0.00    2.37    0.27  -16.72
    10.45    51.08    1972  -16.97   -2.69   -0.00    0.90    0.27  -18.49
    10.45    51.08    1973  -16.97   -2.07   -0.00    1.33    0.45  -17.26
    10.45    51.08    1974  -16.97   -2.54   -0.00    0.97    0.70  -17.84
    10.45    51.08    1975  -16.97   -2.11   -0.00    1.49    0.30  -17.29
    10.45    51.08    1976  -16.97   -2.17   -0.00    2.21    0.31  -16.62
    10.45    51.08    1977  -16.97   -2.50   -0.00    0.87    0.64  -17.97
    10.45    51.08    1978  -16.97   -2.56   -0.00    0.95    0.41  -18.17
    10.45    51.08    1979  -16.97   -2.13   -0.00    1.02    0.63  -17.45
    10.45    51.08    1980  -17.99   -2.21   -0.00    1.00    0.51  -18.69
    10.45    51.08    1981  -17.99   -2.31   -0.00    0.94    0.69  -18.67
    10.45    51.08    1982  -17.99   -2.13   -0.00    2.41    0.25  -17.47
    10.45    51.08    1983  -17.99   -1.86   -0.00    1.32    0.28  -18.26
    10.45    51.08    1984  -17.99   -2.33   -0.00    0.79    0.67  -18.87
    10.45    51.08    1985  -17.99   -2.21   -0.00    1.06    0.23  -18.91
    10.45    51.08    1986  -17.99   -2.24   -0.00    0.99    0.57  -18.68
    10.45    51.08    1987  -17.99   -2.36   -0.00    0.81    0.82  -18.71
    10.45    51.08    1988  -17.99   -2.20   -0.00    1.32    0.56  -18.32
    10.45    51.08    1989  -17.99   -2.32   -0.00    1.43    0.34  -18.54
    10.45    51.08    1990  -19.66   -2.56   -0.00    1.61    0.35  -20.26
    10.45    51.08    1991  -19.66   -2.57   -0.00    1.37    0.18  -20.68
    10.45    51.08    1992  -19.66   -2.12   -0.00    1.11    0.40  -20.27
    10.45    51.08    1993  -19.66   -2.28   -0.00    0.99    0.63  -20.32
    10.45    51.08    1994  -19.66   -2.48   -0.00    1.03    0.67  -20.43
    10.45    51.08    1995  -19.66   -2.51   -0.00    0.93    0.64  -20.60
    10.45    51.08    1996  -19.66   -2.59   -0.00    0.81    0.62  -20.81
    10.45    51.08    1997  -19.66   -2.60   -0.00    1.14    0.58  -20.54
    10.45    51.08    1998  -19.66   -2.79   -0.00    0.99    0.71  -20.75
    10.45    51.08    1999  -19.66   -2.58   -0.00    1.01    0.46  -20.75
    10.45    51.08    2000  -21.34   -2.47   -0.00    1.05    0.58  -22.18
    10.45    51.08    2001  -21.34   -2.67   -0.00    1.09    0.74  -22.18
    10.45    51.08    2002  -21.34   -2.65   -0.00    0.91    0.98  -22.11
    10.45    51.08    2003  -21.34   -2.34   -0.00    2.11    0.22  -21.36
    10.45    51.08    2004  -21.34   -2.67   -0.00    1.02    0.31  -22.68
    10.45    51.08    2005  -21.34   -2.65   -0.00    1.00    0.41  -22.58
    10.45    51.08    2006  -21.34   -2.56   -0.00    1.01    0.39  -22.50
    10.45    51.08    2007  -21.34   -2.56   -0.00    0.91    0.73  -22.26
    10.45    51.08    2008  -21.34   -2.61   -0.00    1.25    0.46  -22.24
    10.45    51.08    2009  -21.34   -2.64   -0.00    0.98    0.69  -22.32
    10.45    51.08    2010  -20.03   -2.80   -0.00    1.14    0.62  -21.06
    10.45    51.08    2011  -20.03   -2.67   -0.00    1.74    0.26  -20.70
    10.45    51.08    2012  -20.03   -2.75   -0.00    1.01    0.40  -21.37
