      Lon      Lat    Year     VegN  LitterN    SoilN     Total
    10.45    51.08    1951   0.0415   0.0234   0.9897    1.0547
    10.45    51.08    1952   0.0426   0.0230   0.9878    1.0534
    10.45    51.08    1953   0.0436   0.0221   0.9865    1.0521
    10.45    51.08    1954   0.0450   0.0223   0.9854    1.0527
    10.45    51.08    1955   0.0461   0.0226   0.9850    1.0537
    10.45    51.08    1956   0.0467   0.0230   0.9852    1.0549
    10.45    51.08    1957   0.0478   0.0222   0.9842    1.0542
    10.45    51.08    1958   0.0488   0.0219   0.9831    1.0539
    10.45    51.08    1959   0.0499   0.0206   0.9812    1.0518
    10.45    51.08    1960   0.0515   0.0208   0.9803    1.0526
    10.45    51.08    1961   0.0523   0.0202   0.9795    1.0520
    10.45    51.08    1962   0.0535   0.0201   0.9783    1.0520
    10.45    51.08    1963   0.0539   0.0207   0.9776    1.0522
    10.45    51.08    1964   0.0552   0.0198   0.9759    1.0509
    10.45    51.08    1965   0.0563   0.0202   0.9758    1.0523
    10.45    51.08    1966   0.0578   0.0198   0.9755    1.0531
    10.45    51.08    1967   0.0592   0.0193   0.9744    1.0528
    10.45    51.08    1968   0.0603   0.0190   0.9734    1.0526
    10.45    51.08    1969   0.0615   0.0188   0.9724    1.0526
    10.45    51.08    1970   0.0625   0.0188   0.9717    1.0529
    10.45    51.08    1971   0.0631   0.0179   0.9703    1.0513
    10.45    51.08    1972   0.0636   0.0188   0.9706    1.0531
    10.45    51.08    1973   0.0647   0.0179   0.9689    1.0515
    10.45    51.08    1974   0.0656   0.0179   0.9687    1.0523
    10.45    51.08    1975   0.0668   0.0170   0.9672    1.0510
    10.45    51.08    1976   0.0677   0.0162   0.9653    1.0492
    10.45    51.08    1977   0.0614   0.0227   0.9664    1.0505
    10.45    51.08    1978   0.0627   0.0220   0.9662    1.0509
    10.45    51.08    1979   0.0638   0.0213   0.9654    1.0506
    10.45    51.08    1980   0.0647   0.0208   0.9648    1.0503
    10.45    51.08    1981   0.0659   0.0204   0.9645    1.0508
    10.45    51.08    1982   0.0669   0.0190   0.9622    1.0481
    10.45    51.08    1983   0.0680   0.0183   0.9610    1.0473
    10.45    51.08    1984   0.0692   0.0189   0.9613    1.0493
    10.45    51.08    1985   0.0701   0.0180   0.9605    1.0486
    10.45    51.08    1986   0.0715   0.0178   0.9594    1.0486
    10.45    51.08    1987   0.0726   0.0182   0.9595    1.0503
    10.45    51.08    1988   0.0738   0.0169   0.9581    1.0489
    10.45    51.08    1989   0.0752   0.0162   0.9565    1.0478
    10.45    51.08    1990   0.0770   0.0157   0.9552    1.0479
    10.45    51.08    1991   0.0788   0.0152   0.9538    1.0478
    10.45    51.08    1992   0.0800   0.0150   0.9526    1.0476
    10.45    51.08    1993   0.0811   0.0152   0.9523    1.0486
    10.45    51.08    1994   0.0825   0.0148   0.9513    1.0486
    10.45    51.08    1995   0.0836   0.0149   0.9509    1.0494
    10.45    51.08    1996   0.0845   0.0155   0.9511    1.0512
    10.45    51.08    1997   0.0852   0.0149   0.9502    1.0503
    10.45    51.08    1998   0.0864   0.0146   0.9494    1.0504
    10.45    51.08    1999   0.0878   0.0142   0.9484    1.0503
    10.45    51.08    2000   0.0892   0.0137   0.9471    1.0500
    10.45    51.08    2001   0.0904   0.0136   0.9463    1.0503
    10.45    51.08    2002   0.0828   0.0214   0.9470    1.0512
    10.45    51.08    2003   0.0839   0.0199   0.9458    1.0496
    10.45    51.08    2004   0.0852   0.0194   0.9454    1.0499
    10.45    51.08    2005   0.0870   0.0190   0.9448    1.0508
    10.45    51.08    2006   0.0887   0.0185   0.9441    1.0513
    10.45    51.08    2007   0.0899   0.0184   0.9443    1.0525
    10.45    51.08    2008   0.0914   0.0176   0.9431    1.0521
    10.45    51.08    2009   0.0924   0.0177   0.9427    1.0529
    10.45    51.08    2010   0.0937   0.0179   0.9429    1.0544
    10.45    51.08    2011   0.0944   0.0175   0.9422    1.0540
    10.45    51.08    2012   0.0960   0.0171   0.9416    1.0547
