      Lon      Lat    Year     dep     fix    fert   input    min    imm netmin  Total
    10.45    51.08    1951   11.23    2.24    0.00   13.47 138.96  40.39  98.57 112.04
    10.45    51.08    1952   11.23    2.04    0.00   13.27 147.17  32.11 115.06 128.33
    10.45    51.08    1953   11.23    2.20    0.00   13.43 162.61  48.71 113.90 127.32
    10.45    51.08    1954   11.23    2.60    0.00   13.83 133.73  34.51  99.22 113.06
    10.45    51.08    1955   11.23    2.39    0.00   13.62 120.52  31.02  89.50 103.12
    10.45    51.08    1956   11.23    2.51    0.00   13.74 117.15  32.29  84.86  98.60
    10.45    51.08    1957   11.23    2.60    0.00   13.83 142.90  38.34 104.56 118.39
    10.45    51.08    1958   11.23    2.29    0.00   13.52 135.81  34.90 100.91 114.43
    10.45    51.08    1959   11.23    2.41    0.00   13.64 159.61  44.13 115.48 129.11
    10.45    51.08    1960   14.10    2.69    0.00   16.79 127.95  33.85  94.11 110.90
    10.45    51.08    1961   14.10    2.59    0.00   16.69 146.51  45.33 101.18 117.86
    10.45    51.08    1962   14.10    2.70    0.00   16.80 129.35  33.16  96.19 112.99
    10.45    51.08    1963   14.10    2.32    0.00   16.42 122.65  30.64  92.01 108.43
    10.45    51.08    1964   14.10    2.09    0.00   16.18 141.29  33.46 107.83 124.01
    10.45    51.08    1965   14.10    2.68    0.00   16.78 110.48  31.11  79.37  96.15
    10.45    51.08    1966   14.10    2.51    0.00   16.61 120.80  34.18  86.62 103.23
    10.45    51.08    1967   14.10    2.53    0.00   16.63 135.01  36.58  98.42 115.05
    10.45    51.08    1968   14.10    2.51    0.00   16.61 127.87  33.23  94.64 111.26
    10.45    51.08    1969   14.10    2.41    0.00   16.51 122.38  28.85  93.53 110.04
    10.45    51.08    1970   16.97    2.34    0.00   19.30 114.98  28.29  86.69 105.99
    10.45    51.08    1971   16.97    2.39    0.00   19.36 141.66  38.04 103.63 122.98
    10.45    51.08    1972   16.97    2.69    0.00   19.66 102.12  31.55  70.56  90.23
    10.45    51.08    1973   16.97    2.07    0.00   19.04 136.66  33.83 102.83 121.87
    10.45    51.08    1974   16.97    2.54    0.00   19.51 114.51  36.29  78.22  97.73
    10.45    51.08    1975   16.97    2.11    0.00   19.08 138.06  38.33  99.73 118.80
    10.45    51.08    1976   16.97    2.17    0.00   19.14 139.67  38.36 101.31 120.45
    10.45    51.08    1977   16.97    2.50    0.00   19.47 102.65  39.61  63.04  82.51
    10.45    51.08    1978   16.97    2.56    0.00   19.53 112.17  39.21  72.97  92.50
    10.45    51.08    1979   16.97    2.13    0.00   19.10 115.40  35.16  80.24  99.34
    10.45    51.08    1980   17.99    2.21    0.00   20.20 115.71  37.79  77.92  98.12
    10.45    51.08    1981   17.99    2.31    0.00   20.30 109.21  36.01  73.20  93.50
    10.45    51.08    1982   17.99    2.13    0.00   20.13 150.92  45.79 105.14 125.27
    10.45    51.08    1983   17.99    1.86    0.00   19.85 126.47  42.00  84.47 104.32
    10.45    51.08    1984   17.99    2.33    0.00   20.33  90.99  31.52  59.47  79.80
    10.45    51.08    1985   17.99    2.21    0.00   20.20 120.75  37.94  82.81 103.02
    10.45    51.08    1986   17.99    2.24    0.00   20.24 111.11  31.03  80.08 100.32
    10.45    51.08    1987   17.99    2.36    0.00   20.35  90.46  28.30  62.16  82.51
    10.45    51.08    1988   17.99    2.20    0.00   20.20 135.03  41.35  93.68 113.88
    10.45    51.08    1989   17.99    2.32    0.00   20.32 133.73  41.59  92.15 112.47
    10.45    51.08    1990   19.66    2.56    0.00   22.22 124.39  39.39  85.00 107.22
    10.45    51.08    1991   19.66    2.57    0.00   22.23 127.14  38.16  88.98 111.21
    10.45    51.08    1992   19.66    2.12    0.00   21.78 121.49  35.68  85.81 107.59
    10.45    51.08    1993   19.66    2.28    0.00   21.94 103.07  30.56  72.50  94.44
    10.45    51.08    1994   19.66    2.48    0.00   22.14 120.04  33.49  86.55 108.69
    10.45    51.08    1995   19.66    2.51    0.00   22.16 108.61  32.57  76.05  98.21
    10.45    51.08    1996   19.66    2.59    0.00   22.24  88.80  24.85  63.94  86.19
    10.45    51.08    1997   19.66    2.60    0.00   22.26 124.18  35.54  88.64 110.90
    10.45    51.08    1998   19.66    2.79    0.00   22.44 116.15  33.71  82.44 104.88
    10.45    51.08    1999   19.66    2.58    0.00   22.23 122.08  36.72  85.36 107.60
    10.45    51.08    2000   21.34    2.47    0.00   23.81 124.26  35.00  89.26 113.07
    10.45    51.08    2001   21.34    2.67    0.00   24.01 113.94  33.32  80.62 104.63
    10.45    51.08    2002   21.34    2.65    0.00   24.00 106.44  37.81  68.63  92.63
    10.45    51.08    2003   21.34    2.34    0.00   23.68 135.39  42.32  93.06 116.75
    10.45    51.08    2004   21.34    2.67    0.00   24.02 115.32  39.91  75.42  99.43
    10.45    51.08    2005   21.34    2.65    0.00   23.99 112.73  35.48  77.24 101.23
    10.45    51.08    2006   21.34    2.56    0.00   23.91 115.80  34.94  80.86 104.76
    10.45    51.08    2007   21.34    2.56    0.00   23.90 108.31  37.43  70.88  94.79
    10.45    51.08    2008   21.34    2.61    0.00   23.95 127.38  37.47  89.92 113.87
    10.45    51.08    2009   21.34    2.64    0.00   23.98 112.83  34.79  78.05 102.03
    10.45    51.08    2010   20.03    2.80    0.00   22.83  99.14  28.44  70.70  93.53
    10.45    51.08    2011   20.03    2.67    0.00   22.70 123.54  37.67  85.87 108.57
    10.45    51.08    2012   20.03    2.75    0.00   22.78 118.28  36.49  81.79 104.57
