      Lon      Lat    Year    Surf   Drain    Base   Total
    10.45    51.08    1951    73.6    46.1     6.4   126.0
    10.45    51.08    1952   141.8   156.6    16.9   315.3
    10.45    51.08    1953    32.0    51.5     2.5    86.0
    10.45    51.08    1954    18.5    86.8     1.0   106.3
    10.45    51.08    1955    52.4   122.1    10.2   184.7
    10.45    51.08    1956   115.4   146.8    15.8   277.9
    10.45    51.08    1957    10.2   109.5     0.8   120.4
    10.45    51.08    1958    96.0   159.6     9.5   265.1
    10.45    51.08    1959     0.0    29.6     0.0    29.6
    10.45    51.08    1960    74.7    82.5     3.4   160.6
    10.45    51.08    1961    78.1   144.6    10.5   233.2
    10.45    51.08    1962     3.0    74.0     2.7    79.7
    10.45    51.08    1963     8.4    66.4     4.0    78.8
    10.45    51.08    1964    27.6    70.0     1.1    98.7
    10.45    51.08    1965    30.4   104.3     5.1   139.8
    10.45    51.08    1966    89.5   153.6     8.6   251.7
    10.45    51.08    1967     0.2   117.3     0.2   117.8
    10.45    51.08    1968    26.8    96.2     1.8   124.9
    10.45    51.08    1969    49.2   114.7    10.8   174.7
    10.45    51.08    1970    40.1   159.1     5.7   204.9
    10.45    51.08    1971    13.2    52.9     0.2    66.3
    10.45    51.08    1972    46.6    66.5    10.2   123.3
    10.45    51.08    1973    11.1    86.7     2.0    99.8
    10.45    51.08    1974    26.2   149.2     1.8   177.1
    10.45    51.08    1975     0.0    58.2     0.0    58.2
    10.45    51.08    1976     8.9    59.3     2.2    70.3
    10.45    51.08    1977    77.9   135.4     8.2   221.6
    10.45    51.08    1978     2.7    84.1     0.5    87.3
    10.45    51.08    1979    57.7   122.5     4.1   184.3
    10.45    51.08    1980     4.2    99.5     0.5   104.1
    10.45    51.08    1981    68.8   141.2     8.0   218.0
    10.45    51.08    1982    11.8    50.0     1.1    62.8
    10.45    51.08    1983    48.1    60.4     5.2   113.8
    10.45    51.08    1984    35.7   145.2    15.5   196.5
    10.45    51.08    1985     2.8    43.7     0.6    47.1
    10.45    51.08    1986    40.9   116.7     7.1   164.7
    10.45    51.08    1987    97.3   183.1    13.8   294.1
    10.45    51.08    1988    29.8   105.7     4.7   140.2
    10.45    51.08    1989    17.2    66.2     1.5    84.8
    10.45    51.08    1990     6.2    69.0     2.1    77.3
    10.45    51.08    1991    12.4    35.2     1.3    48.9
    10.45    51.08    1992    75.2    76.7     5.5   157.4
    10.45    51.08    1993    46.5   122.8     4.6   173.9
    10.45    51.08    1994    54.8   136.3     3.0   194.1
    10.45    51.08    1995    40.8   132.5     6.8   180.0
    10.45    51.08    1996    39.9   135.4     3.4   178.6
    10.45    51.08    1997    28.4   112.1     8.0   148.5
    10.45    51.08    1998    38.8   141.7     4.1   184.7
    10.45    51.08    1999    19.4    92.9     3.7   116.0
    10.45    51.08    2000    10.5   112.6     2.3   125.3
    10.45    51.08    2001    23.8   144.8     6.6   175.2
    10.45    51.08    2002   128.5   207.3     7.7   343.5
    10.45    51.08    2003     6.6    42.8     1.8    51.3
    10.45    51.08    2004    59.4    65.1     7.8   132.3
    10.45    51.08    2005     5.7    81.6     2.0    89.3
    10.45    51.08    2006    19.3    77.1     3.6    99.9
    10.45    51.08    2007   142.7   144.5     7.4   294.6
    10.45    51.08    2008    14.1    91.1     1.2   106.4
    10.45    51.08    2009    43.6   143.0     2.7   189.3
    10.45    51.08    2010   119.1   133.4    13.6   266.1
    10.45    51.08    2011    63.5    50.2     1.0   114.7
    10.45    51.08    2012    21.4    90.6     2.4   114.4
