      Lon      Lat    Year     Veg    Repr    Soil    Fire     Est       NEE
    10.45    51.08    1951  -0.448   0.045   0.431   0.008   0.000   0.03594
    10.45    51.08    1952  -0.418   0.042   0.441   0.046   0.000   0.11141
    10.45    51.08    1953  -0.478   0.048   0.499   0.012   0.000   0.08065
    10.45    51.08    1954  -0.420   0.042   0.397   0.007   0.000   0.02562
    10.45    51.08    1955  -0.403   0.040   0.361   0.007  -0.000   0.00529
    10.45    51.08    1956  -0.429   0.043   0.345   0.007  -0.000  -0.03408
    10.45    51.08    1957  -0.440   0.044   0.404   0.007   0.000   0.01485
    10.45    51.08    1958  -0.410   0.041   0.389   0.006   0.000   0.02608
    10.45    51.08    1959  -0.480   0.048   0.452   0.051   0.000   0.07079
    10.45    51.08    1960  -0.428   0.043   0.362   0.006   0.000  -0.01641
    10.45    51.08    1961  -0.444   0.044   0.417   0.015   0.000   0.03193
    10.45    51.08    1962  -0.443   0.044   0.361   0.018  -0.000  -0.02026
    10.45    51.08    1963  -0.435   0.044   0.347   0.006   0.000  -0.03886
    10.45    51.08    1964  -0.457   0.046   0.399   0.010   0.000  -0.00293
    10.45    51.08    1965  -0.438   0.044   0.316   0.005   0.000  -0.07249
    10.45    51.08    1966  -0.462   0.046   0.341   0.005  -0.000  -0.06974
    10.45    51.08    1967  -0.421   0.042   0.368   0.005   0.000  -0.00644
    10.45    51.08    1968  -0.436   0.044   0.352   0.005   0.000  -0.03576
    10.45    51.08    1969  -0.396   0.040   0.337   0.019   0.000  -0.00006
    10.45    51.08    1970  -0.391   0.039   0.320   0.005   0.000  -0.02718
    10.45    51.08    1971  -0.419   0.042   0.382   0.033   0.000   0.03745
    10.45    51.08    1972  -0.413   0.041   0.282   0.004   0.000  -0.08577
    10.45    51.08    1973  -0.391   0.039   0.362   0.009  -0.000   0.01947
    10.45    51.08    1974  -0.430   0.043   0.312   0.004   0.000  -0.07057
    10.45    51.08    1975  -0.377   0.038   0.362   0.013  -0.000   0.03597
    10.45    51.08    1976  -0.388   0.039   0.423   0.051   0.000   0.12513
    10.45    51.08    1977  -0.398   0.040   0.331   0.007   0.000  -0.02020
    10.45    51.08    1978  -0.400   0.040   0.358   0.007   0.000   0.00461
    10.45    51.08    1979  -0.377   0.038   0.369   0.007   0.000   0.03665
    10.45    51.08    1980  -0.384   0.038   0.368   0.011   0.000   0.03302
    10.45    51.08    1981  -0.423   0.042   0.353   0.006   0.000  -0.02098
    10.45    51.08    1982  -0.380   0.038   0.473   0.047   0.000   0.17798
    10.45    51.08    1983  -0.415   0.041   0.405   0.020   0.000   0.05225
    10.45    51.08    1984  -0.351   0.035   0.293   0.006   0.000  -0.01643
    10.45    51.08    1985  -0.422   0.042   0.415   0.009   0.000   0.04524
    10.45    51.08    1986  -0.391   0.039   0.378   0.006   0.000   0.03271
    10.45    51.08    1987  -0.396   0.040   0.308   0.006  -0.000  -0.04227
    10.45    51.08    1988  -0.426   0.043   0.435   0.015   0.000   0.06660
    10.45    51.08    1989  -0.469   0.047   0.429   0.020  -0.000   0.02685
    10.45    51.08    1990  -0.497   0.050   0.402   0.027   0.000  -0.01880
    10.45    51.08    1991  -0.427   0.043   0.402   0.019  -0.000   0.03569
    10.45    51.08    1992  -0.386   0.039   0.387   0.009   0.000   0.04894
    10.45    51.08    1993  -0.449   0.045   0.334   0.009   0.000  -0.06118
    10.45    51.08    1994  -0.396   0.040   0.373   0.005  -0.000   0.02226
    10.45    51.08    1995  -0.379   0.038   0.336   0.005   0.000  -0.00025
    10.45    51.08    1996  -0.377   0.038   0.279   0.005   0.000  -0.05514
    10.45    51.08    1997  -0.426   0.043   0.368   0.009   0.000  -0.00597
    10.45    51.08    1998  -0.435   0.043   0.343   0.005   0.000  -0.04371
    10.45    51.08    1999  -0.451   0.045   0.361   0.004  -0.000  -0.03978
    10.45    51.08    2000  -0.416   0.042   0.366   0.006   0.000  -0.00242
    10.45    51.08    2001  -0.425   0.042   0.337   0.010  -0.000  -0.03565
    10.45    51.08    2002  -0.389   0.039   0.307   0.004   0.000  -0.03873
    10.45    51.08    2003  -0.383   0.038   0.383   0.025   0.000   0.06321
    10.45    51.08    2004  -0.499   0.050   0.336   0.008   0.000  -0.10507
    10.45    51.08    2005  -0.466   0.047   0.326   0.006   0.000  -0.08839
    10.45    51.08    2006  -0.416   0.042   0.337   0.004   0.000  -0.03357
    10.45    51.08    2007  -0.466   0.047   0.308   0.004   0.000  -0.10800
    10.45    51.08    2008  -0.436   0.044   0.350   0.009   0.000  -0.03323
    10.45    51.08    2009  -0.442   0.044   0.321   0.003   0.000  -0.07400
    10.45    51.08    2010  -0.408   0.041   0.280   0.009   0.000  -0.07845
    10.45    51.08    2011  -0.496   0.050   0.343   0.016   0.000  -0.08694
    10.45    51.08    2012  -0.444   0.044   0.323   0.003   0.000  -0.07385
