      Lon      Lat    Year  FireRT
    10.45    51.08    1951  1000.0
    10.45    51.08    1952   161.9
    10.45    51.08    1953   602.2
    10.45    51.08    1954  1000.0
    10.45    51.08    1955  1000.0
    10.45    51.08    1956  1000.0
    10.45    51.08    1957  1000.0
    10.45    51.08    1958  1000.0
    10.45    51.08    1959   121.9
    10.45    51.08    1960   925.7
    10.45    51.08    1961   390.5
    10.45    51.08    1962   317.4
    10.45    51.08    1963  1000.0
    10.45    51.08    1964   535.0
    10.45    51.08    1965  1000.0
    10.45    51.08    1966  1000.0
    10.45    51.08    1967  1000.0
    10.45    51.08    1968  1000.0
    10.45    51.08    1969   246.0
    10.45    51.08    1970  1000.0
    10.45    51.08    1971   138.2
    10.45    51.08    1972  1000.0
    10.45    51.08    1973   467.2
    10.45    51.08    1974  1000.0
    10.45    51.08    1975   315.2
    10.45    51.08    1976   138.8
    10.45    51.08    1977  1000.0
    10.45    51.08    1978  1000.0
    10.45    51.08    1979  1000.0
    10.45    51.08    1980   583.7
    10.45    51.08    1981  1000.0
    10.45    51.08    1982   130.6
    10.45    51.08    1983   290.5
    10.45    51.08    1984  1000.0
    10.45    51.08    1985   706.4
    10.45    51.08    1986  1000.0
    10.45    51.08    1987  1000.0
    10.45    51.08    1988   401.2
    10.45    51.08    1989   293.7
    10.45    51.08    1990   211.2
    10.45    51.08    1991   297.9
    10.45    51.08    1992   598.8
    10.45    51.08    1993   584.2
    10.45    51.08    1994  1000.0
    10.45    51.08    1995  1000.0
    10.45    51.08    1996  1000.0
    10.45    51.08    1997   498.3
    10.45    51.08    1998  1000.0
    10.45    51.08    1999  1000.0
    10.45    51.08    2000   725.8
    10.45    51.08    2001   426.3
    10.45    51.08    2002  1000.0
    10.45    51.08    2003   160.1
    10.45    51.08    2004   476.1
    10.45    51.08    2005   649.8
    10.45    51.08    2006  1000.0
    10.45    51.08    2007  1000.0
    10.45    51.08    2008   377.9
    10.45    51.08    2009   986.1
    10.45    51.08    2010   366.7
    10.45    51.08    2011   196.1
    10.45    51.08    2012  1000.0
