      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.206   0.658   3.119  17.258  30.497  37.949  43.740  34.348  23.251  10.189   1.878   0.196
    10.45    51.08    1952   0.132   0.285   1.981  20.461  34.366  42.718  48.296  33.311  13.861   6.773   0.728   0.086
    10.45    51.08    1953   0.083   0.580   7.532  27.446  39.560  33.124  41.675  36.761  23.654  10.289   1.019   0.220
    10.45    51.08    1954   0.107   0.207   3.468  13.472  38.505  41.901  29.274  32.219  20.560   9.910   2.332   0.198
    10.45    51.08    1955   0.114   0.218   2.009  15.430  34.443  38.057  33.425  29.130  21.010   9.464   1.700   0.180
    10.45    51.08    1956   0.198   0.042   2.541  11.074  39.199  30.093  36.955  31.463  22.377   9.135   1.048   0.211
    10.45    51.08    1957   0.197   0.767   9.019  22.189  32.649  49.080  39.016  33.330  17.877   9.276   0.627   0.115
    10.45    51.08    1958   0.131   1.124   1.962  11.348  34.503  37.746  44.380  39.433  24.840  10.166   1.278   0.179
    10.45    51.08    1959   0.199   0.523   7.510  23.941  37.837  45.468  44.674  34.113  30.610  13.124   0.536   0.150
    10.45    51.08    1960   0.198   0.337   3.578  15.061  33.155  48.890  41.465  32.718  19.482   8.098   2.114   0.128
    10.45    51.08    1961   0.089   1.195   7.230  17.545  26.423  43.207  37.615  34.036  27.403  11.551   0.348   0.132
    10.45    51.08    1962   0.233   0.269   1.168  13.496  26.684  45.388  37.005  37.313  24.199  10.463   1.562   0.055
    10.45    51.08    1963   0.027   0.060   2.165  13.933  36.491  39.799  48.107  33.437  23.060   8.623   2.385   0.064
    10.45    51.08    1964   0.056   0.358   0.727  12.991  40.514  54.461  49.553  35.933  24.841   7.895   0.582   0.137
    10.45    51.08    1965   0.142   0.094   1.670  12.740  31.064  39.667  37.011  37.448  21.135  10.280   0.871   0.109
    10.45    51.08    1966   0.112   1.911   5.224  16.812  41.315  44.877  34.749  34.372  20.992  10.586   0.503   0.096
    10.45    51.08    1967   0.190   1.297   7.594  14.164  38.360  37.375  52.383  33.847  18.833  11.437   1.831   0.087
    10.45    51.08    1968   0.086   0.263   4.225  20.684  30.859  41.923  44.761  33.037  18.502   8.418   1.392   0.036
    10.45    51.08    1969   0.143   0.172   0.278   9.370  33.379  40.930  49.592  31.058  23.122  10.509   2.659   0.021
    10.45    51.08    1970   0.053   0.176   1.050   7.141  27.861  49.090  42.969  31.226  24.630   6.829   2.096   0.163
    10.45    51.08    1971   0.148   0.249   1.595  13.884  34.158  32.541  52.430  38.943  23.046  11.420   1.853   0.139
    10.45    51.08    1972   0.039   0.313   4.788  13.769  29.353  41.178  37.881  30.771  18.120   8.595   1.940   0.130
    10.45    51.08    1973   0.067   0.212   2.453   7.817  33.121  40.347  40.698  41.400  22.480   8.199   1.470   0.065
    10.45    51.08    1974   0.188   0.804   6.728  20.837  29.147  35.463  35.506  34.520  23.458   4.708   0.295   0.153
    10.45    51.08    1975   0.275   0.252   1.898  11.659  32.351  34.282  45.509  44.355  23.016   6.944   1.350   0.075
    10.45    51.08    1976   0.096   0.235   1.098  13.051  35.888  44.846  46.168  36.973  16.820   8.709   1.598   0.055
    10.45    51.08    1977   0.098   0.412   5.728  12.850  34.680  29.132  37.174  24.542  17.902   9.148   1.647   0.069
    10.45    51.08    1978   0.072   0.201   4.289  13.918  27.233  36.446  36.698  31.305  16.025   9.099   1.090   0.064
    10.45    51.08    1979   0.026   0.051   1.139   8.453  30.145  39.836  32.321  32.837  21.350   9.639   0.979   0.124
    10.45    51.08    1980   0.039   0.311   1.098   8.727  30.877  37.373  30.360  37.031  21.360   8.667   0.301   0.065
    10.45    51.08    1981   0.051   0.119   7.270  18.208  32.326  36.041  34.346  31.095  21.216   8.248   0.440   0.026
    10.45    51.08    1982   0.063   0.190   1.810  12.714  32.270  40.831  42.899  37.897  26.713   8.080   3.027   0.064
    10.45    51.08    1983   0.181   0.108   3.530  15.662  26.331  41.120  50.131  36.514  21.712   9.840   1.810   0.068
    10.45    51.08    1984   0.091   0.116   0.834   9.936  20.425  33.018  35.558  32.264  15.930   8.641   1.967   0.073
    10.45    51.08    1985   0.053   0.169   0.973  13.432  30.554  29.494  41.070  30.719  19.891   8.919   0.810   0.165
    10.45    51.08    1986   0.089   0.032   1.717   6.626  31.257  35.870  37.114  31.762  16.333   9.908   2.522   0.145
    10.45    51.08    1987   0.031   0.114   0.743  14.155  24.903  26.241  36.793  26.867  18.522   8.630   1.172   0.090
    10.45    51.08    1988   0.191   0.249   0.954  12.525  35.647  31.322  39.090  36.473  18.669   8.407   1.241   0.115
    10.45    51.08    1989   0.205   0.396   6.311  12.687  42.206  39.027  38.715  35.441  19.730   9.839   1.227   0.123
    10.45    51.08    1990   0.217   1.599  10.400  16.158  42.421  32.256  41.485  36.961  15.081  10.343   0.361   0.074
    10.45    51.08    1991   0.123   0.368   5.656  17.434  24.249  34.513  47.807  34.548  25.507  10.176   0.913   0.063
    10.45    51.08    1992   0.108   0.432   3.880  14.377  42.287  35.710  41.959  36.727  20.717   5.322   0.589   0.101
    10.45    51.08    1993   0.223   0.157   5.231  22.940  38.810  37.075  36.539  34.527  16.140   7.161   0.286   0.119
    10.45    51.08    1994   0.170   0.234   5.907  16.047  33.770  41.015  49.522  34.522  19.279   7.619   1.980   0.174
    10.45    51.08    1995   0.137   0.619   3.192  14.185  31.996  30.544  46.613  41.626  15.671  10.785   0.944   0.030
    10.45    51.08    1996   0.043   0.282   0.689  13.523  22.757  39.466  35.078  31.044  13.134   7.608   1.637   0.069
    10.45    51.08    1997   0.051   0.837   6.489  14.790  32.889  40.088  34.047  38.541  24.832   7.271   0.904   0.084
    10.45    51.08    1998   0.250   1.666   5.891  18.269  38.227  38.773  33.349  35.771  15.763   5.185   0.215   0.131
    10.45    51.08    1999   0.243   0.321   4.781  17.060  37.404  37.436  41.126  34.267  27.343   7.473   1.199   0.118
    10.45    51.08    2000   0.119   0.676   4.960  20.621  41.726  42.171  27.291  37.782  18.231   9.400   1.422   0.193
    10.45    51.08    2001   0.147   0.406   2.637  12.868  41.873  32.565  45.544  37.344  14.091  11.377   1.269   0.066
    10.45    51.08    2002   0.233   1.646   7.116  16.963  31.081  39.590  34.359  32.408  20.498   5.933   0.344   0.066
    10.45    51.08    2003   0.134   0.164   4.287  17.823  34.783  50.803  42.271  39.082  22.570   6.055   0.946   0.099
    10.45    51.08    2004   0.088   0.537   6.614  22.314  29.306  37.372  38.245  39.988  24.749  11.072   0.273   0.072
    10.45    51.08    2005   0.174   0.108   4.196  20.555  36.208  43.871  42.197  30.458  25.781  12.178   2.234   0.076
    10.45    51.08    2006   0.043   0.170   1.425  15.187  37.734  45.182  56.767  25.813  29.528  10.479   2.154   0.203
    10.45    51.08    2007   0.232   0.587   2.768  26.023  38.728  42.486  39.209  35.228  18.409   8.428   0.926   0.090
    10.45    51.08    2008   0.267   1.558   5.817  14.637  40.740  44.856  43.008  34.798  18.181   8.620   0.804   0.065
    10.45    51.08    2009   0.072   0.162   1.663  23.810  34.923  32.036  40.731  41.026  21.756   6.117   0.999   0.086
    10.45    51.08    2010   0.028   0.252   4.383  22.403  22.967  46.622  48.747  27.108  18.217   9.085   1.299   0.019
    10.45    51.08    2011   0.134   0.420   7.117  27.855  42.234  38.519  35.510  30.782  24.631  10.825   0.949   0.129
    10.45    51.08    2012   0.120   0.256   8.364  16.077  40.496  32.468  38.254  39.829  22.816   9.922   1.010   0.092
