      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.003   0.007   0.013   0.064   0.154   0.185   0.187   0.154   0.114   0.056   0.016   0.003
    10.45    51.08    1952   0.002   0.003   0.013   0.085   0.184   0.187   0.172   0.134   0.089   0.046   0.007   0.001
    10.45    51.08    1953   0.001   0.005   0.034   0.124   0.170   0.162   0.177   0.167   0.122   0.064   0.010   0.004
    10.45    51.08    1954   0.002   0.002   0.022   0.051   0.172   0.184   0.161   0.155   0.106   0.065   0.016   0.004
    10.45    51.08    1955   0.001   0.002   0.009   0.052   0.171   0.186   0.158   0.140   0.113   0.058   0.012   0.004
    10.45    51.08    1956   0.003   0.000   0.017   0.042   0.177   0.166   0.174   0.166   0.121   0.057   0.007   0.004
    10.45    51.08    1957   0.003   0.009   0.039   0.098   0.165   0.195   0.154   0.163   0.103   0.058   0.008   0.002
    10.45    51.08    1958   0.002   0.007   0.006   0.042   0.163   0.175   0.188   0.180   0.127   0.063   0.010   0.004
    10.45    51.08    1959   0.003   0.005   0.031   0.103   0.196   0.185   0.152   0.155   0.159   0.078   0.007   0.003
    10.45    51.08    1960   0.003   0.003   0.016   0.057   0.162   0.193   0.199   0.162   0.110   0.055   0.017   0.002
    10.45    51.08    1961   0.001   0.012   0.031   0.096   0.152   0.196   0.173   0.165   0.127   0.070   0.005   0.002
    10.45    51.08    1962   0.004   0.003   0.005   0.051   0.142   0.200   0.188   0.177   0.129   0.060   0.009   0.001
    10.45    51.08    1963   0.000   0.000   0.014   0.058   0.166   0.190   0.195   0.165   0.124   0.054   0.021   0.001
    10.45    51.08    1964   0.001   0.004   0.006   0.057   0.197   0.227   0.203   0.169   0.131   0.047   0.006   0.002
    10.45    51.08    1965   0.002   0.001   0.012   0.049   0.152   0.193   0.183   0.190   0.124   0.059   0.006   0.002
    10.45    51.08    1966   0.002   0.009   0.016   0.076   0.209   0.197   0.184   0.172   0.117   0.065   0.004   0.002
    10.45    51.08    1967   0.003   0.007   0.027   0.049   0.178   0.190   0.209   0.166   0.110   0.073   0.011   0.002
    10.45    51.08    1968   0.001   0.003   0.020   0.075   0.168   0.208   0.202   0.163   0.109   0.057   0.010   0.000
    10.45    51.08    1969   0.002   0.001   0.002   0.039   0.166   0.198   0.197   0.143   0.128   0.069   0.020   0.000
    10.45    51.08    1970   0.001   0.002   0.007   0.030   0.143   0.205   0.197   0.164   0.133   0.047   0.016   0.003
    10.45    51.08    1971   0.002   0.003   0.009   0.053   0.157   0.181   0.220   0.163   0.132   0.069   0.013   0.003
