      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.468   0.468   0.555   1.046   2.265   2.482   2.482   2.482   2.482   2.482   1.810   0.468
    10.45    51.08    1952   0.466   0.466   0.498   1.471   2.553   2.553   2.553   2.553   2.553   2.553   1.301   0.466
    10.45    51.08    1953   0.461   0.464   0.644   1.880   2.607   2.607   2.607   2.607   2.607   2.607   0.747   0.461
    10.45    51.08    1954   0.483   0.483   0.531   1.022   2.300   2.718   2.718   2.718   2.718   2.718   2.271   0.483
    10.45    51.08    1955   0.501   0.501   0.556   1.097   2.597   2.767   2.767   2.767   2.767   2.767   1.936   0.501
    10.45    51.08    1956   0.493   0.493   0.515   0.963   2.352   2.781   2.781   2.781   2.781   2.781   1.942   0.493
    10.45    51.08    1957   0.501   0.503   0.951   1.999   2.811   2.824   2.824   2.824   2.824   2.824   0.579   0.501
    10.45    51.08    1958   0.502   0.608   0.859   1.108   2.542   2.868   2.868   2.868   2.868   2.868   1.842   0.502
    10.45    51.08    1959   0.487   0.487   0.868   2.059   2.875   2.875   2.875   2.875   2.875   2.875   0.646   0.487
    10.45    51.08    1960   0.486   0.486   0.643   1.288   2.557   2.939   2.939   2.939   2.939   2.939   2.122   0.486
    10.45    51.08    1961   0.476   0.478   0.914   2.171   2.947   2.947   2.947   2.947   2.947   2.947   0.476   0.476
    10.45    51.08    1962   0.470   0.470   0.493   0.987   2.586   2.975   2.975   2.975   2.975   2.975   1.723   0.470
    10.45    51.08    1963   0.460   0.460   0.499   1.096   2.664   2.990   2.990   2.990   2.990   2.990   2.316   0.460
    10.45    51.08    1964   0.450   0.450   0.452   0.991   2.755   2.994   2.994   2.994   2.994   2.994   1.044   0.450
    10.45    51.08    1965   0.436   0.436   0.457   1.035   2.330   3.017   3.017   3.017   3.017   3.017   1.640   0.436
    10.45    51.08    1966   0.441   0.539   0.925   1.607   2.987   3.034   3.034   3.034   3.034   3.034   1.046   0.441
    10.45    51.08    1967   0.429   0.477   0.802   1.229   2.598   3.057   3.057   3.057   3.057   3.057   2.006   0.429
    10.45    51.08    1968   0.430   0.430   0.524   1.694   3.038   3.052   3.052   3.052   3.052   3.052   1.392   0.430
    10.45    51.08    1969   0.421   0.421   0.421   0.828   2.564   3.057   3.057   3.057   3.057   3.057   2.881   0.421
    10.45    51.08    1970   0.393   0.393   0.405   0.681   2.283   3.017   3.017   3.017   3.017   3.017   3.017   0.563
    10.45    51.08    1971   0.378   0.378   0.421   1.046   2.555   2.985   2.985   2.985   2.985   2.985   2.203   0.378
    10.45    51.08    1972   0.377   0.377   0.514   1.295   2.642   2.986   2.986   2.986   2.986   2.986   1.942   0.377
    10.45    51.08    1973   0.365   0.365   0.410   0.714   2.204   2.968   2.968   2.968   2.968   2.968   1.753   0.365
    10.45    51.08    1974   0.366   0.453   0.748   1.873   2.799   2.949   2.949   2.949   2.949   2.949   0.366   0.366
    10.45    51.08    1975   0.329   0.329   0.368   0.786   2.469   2.922   2.922   2.922   2.922   2.922   1.453   0.329
    10.45    51.08    1976   0.329   0.329   0.345   1.084   2.508   2.894   2.894   2.894   2.894   2.894   2.039   0.329
    10.45    51.08    1977   0.323   0.323   0.789   1.380   2.650   2.876   2.876   2.876   2.876   2.876   1.259   0.323
    10.45    51.08    1978   0.324   0.324   0.503   1.127   2.409   2.877   2.877   2.877   2.877   2.877   1.515   0.324
    10.45    51.08    1979   0.331   0.331   0.343   0.726   1.939   2.881   2.881   2.881   2.881   2.881   1.436   0.331
    10.45    51.08    1980   0.331   0.331   0.352   0.797   1.849   2.862   2.862   2.862   2.862   2.862   0.922   0.331
    10.45    51.08    1981   0.361   0.345   0.740   2.081   2.736   2.808   2.808   2.808   2.808   2.808   0.427   0.345
    10.45    51.08    1982   0.339   0.339   0.355   0.908   2.093   2.823   2.823   2.823   2.823   2.823   2.740   0.339
    10.45    51.08    1983   0.348   0.348   0.522   1.211   2.700   2.817   2.817   2.817   2.817   2.817   1.582   0.348
    10.45    51.08    1984   0.343   0.343   0.348   0.620   1.878   2.505   2.505   2.505   2.505   2.505   1.784   0.343
    10.45    51.08    1985   0.340   0.340   0.348   1.089   2.119   2.471   2.471   2.471   2.471   2.471   1.121   0.340
    10.45    51.08    1986   0.341   0.341   0.359   0.602   2.224   2.519   2.519   2.519   2.519   2.519   2.301   0.341
    10.45    51.08    1987   0.349   0.349   0.355   0.877   2.328   2.549   2.549   2.549   2.549   2.549   1.962   0.349
    10.45    51.08    1988   0.355   0.355   0.366   0.843   2.328   2.579   2.579   2.579   2.579   2.579   1.912   0.355
    10.45    51.08    1989   0.363   0.363   0.581   1.481   2.502   2.625   2.625   2.625   2.625   2.625   1.117   0.363
    10.45    51.08    1990   0.381   0.433   1.177   2.048   2.695   2.702   2.702   2.702   2.702   2.253   0.381   0.381
    10.45    51.08    1991   0.405   0.405   0.793   1.804   2.587   2.799   2.799   2.799   2.799   2.799   0.964   0.405
    10.45    51.08    1992   0.408   0.408   0.610   1.063   2.527   2.822   2.822   2.822   2.822   2.822   0.649   0.408
    10.45    51.08    1993   0.411   0.418   0.746   1.617   2.809   2.809   2.809   2.809   2.809   2.809   0.971   0.411
    10.45    51.08    1994   0.409   0.409   0.727   1.444   2.802   2.843   2.843   2.843   2.843   2.843   1.220   0.409
    10.45    51.08    1995   0.405   0.405   0.549   1.275   2.707   2.834   2.834   2.834   2.834   2.834   1.700   0.405
    10.45    51.08    1996   0.398   0.398   0.406   0.899   2.563   2.812   2.812   2.812   2.812   2.812   2.249   0.398
    10.45    51.08    1997   0.389   0.410   0.863   1.332   2.544   2.790   2.790   2.790   2.790   2.790   1.109   0.389
    10.45    51.08    1998   0.401   0.503   1.056   2.088   2.816   2.816   2.816   2.816   2.816   2.505   0.401   0.401
    10.45    51.08    1999   0.403   0.407   0.649   1.588   2.777   2.844   2.844   2.844   2.844   2.844   1.217   0.403
    10.45    51.08    2000   0.408   0.417   0.733   1.535   2.879   2.879   2.879   2.879   2.879   2.879   1.149   0.408
    10.45    51.08    2001   0.411   0.411   0.643   1.390   2.723   2.885   2.885   2.885   2.885   2.885   1.566   0.411
    10.45    51.08    2002   0.400   0.686   1.320   2.018   2.864   2.885   2.885   2.885   2.885   2.324   0.400   0.400
    10.45    51.08    2003   0.395   0.395   0.508   1.269   2.820   2.867   2.867   2.867   2.867   2.867   0.725   0.395
    10.45    51.08    2004   0.389   0.475   0.948   1.869   2.842   2.842   2.842   2.842   2.842   2.842   0.389   0.389
    10.45    51.08    2005   0.396   0.396   0.561   1.659   2.893   2.912   2.912   2.912   2.912   2.912   1.234   0.396
    10.45    51.08    2006   0.389   0.389   0.426   1.226   2.781   2.938   2.938   2.938   2.938   2.938   1.918   0.389
    10.45    51.08    2007   0.376   0.376   0.393   1.451   2.914   2.921   2.921   2.921   2.921   2.921   1.564   0.376
    10.45    51.08    2008   0.398   0.486   0.952   1.497   2.825   2.963   2.963   2.963   2.963   2.963   1.082   0.398
    10.45    51.08    2009   0.396   0.396   0.424   1.741   2.967   2.967   2.967   2.967   2.967   2.967   1.253   0.396
    10.45    51.08    2010   0.389   0.389   0.567   1.657   2.923   2.972   2.972   2.972   2.972   2.972   1.250   0.389
