      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951  -0.019  -0.012  -0.010   0.003   0.034   0.049   0.020   0.006  -0.013  -0.005  -0.020  -0.017
    10.45    51.08    1952  -0.015  -0.006  -0.011   0.003   0.059   0.035  -0.030  -0.043   0.008  -0.001  -0.014  -0.008
    10.45    51.08    1953  -0.008  -0.008  -0.007   0.025   0.022   0.013   0.012   0.005  -0.007  -0.021  -0.024  -0.022
    10.45    51.08    1954  -0.007  -0.003  -0.011   0.002   0.043   0.010   0.028   0.016  -0.010  -0.005  -0.019  -0.020
    10.45    51.08    1955  -0.007  -0.009  -0.005   0.002   0.047   0.040   0.004   0.009  -0.001  -0.008  -0.015  -0.015
    10.45    51.08    1956  -0.017  -0.001  -0.004  -0.002   0.049   0.037   0.030   0.033   0.008  -0.014  -0.016  -0.018
    10.45    51.08    1957  -0.010  -0.020  -0.011   0.024   0.053   0.024  -0.021   0.025   0.007  -0.001  -0.023  -0.012
    10.45    51.08    1958  -0.015  -0.018  -0.006   0.003   0.035   0.036   0.023   0.015  -0.006  -0.010  -0.018  -0.017
    10.45    51.08    1959  -0.016  -0.006  -0.016   0.016   0.059   0.033  -0.043  -0.003   0.028   0.005  -0.017  -0.013
    10.45    51.08    1960  -0.014  -0.008  -0.014  -0.002   0.048   0.029   0.035   0.019   0.009  -0.003  -0.018  -0.014
    10.45    51.08    1961  -0.009  -0.014  -0.019   0.016   0.054   0.055   0.006   0.022  -0.020  -0.026  -0.024  -0.013
    10.45    51.08    1962  -0.016  -0.012  -0.005  -0.007   0.042   0.043   0.042   0.014   0.019  -0.015  -0.015  -0.007
    10.45    51.08    1963  -0.003  -0.003  -0.008  -0.001   0.043   0.034   0.020   0.022   0.012  -0.004  -0.018  -0.008
    10.45    51.08    1964  -0.005  -0.008  -0.007  -0.004   0.062   0.033   0.016   0.012   0.006  -0.009  -0.022  -0.015
    10.45    51.08    1965  -0.015  -0.007  -0.007  -0.006   0.047   0.052   0.031   0.044   0.021  -0.008  -0.014  -0.016
    10.45    51.08    1966  -0.008  -0.014  -0.015   0.012   0.063   0.032   0.052   0.033   0.015  -0.019  -0.015  -0.015
    10.45    51.08    1967  -0.014  -0.017  -0.014   0.001   0.045   0.058   0.021   0.008   0.009  -0.013  -0.018  -0.012
    10.45    51.08    1968  -0.009  -0.014  -0.009   0.000   0.056   0.053   0.025   0.012   0.004  -0.009  -0.018  -0.008
    10.45    51.08    1969  -0.011  -0.008  -0.007  -0.006   0.046   0.061   0.012  -0.025   0.026  -0.003  -0.020  -0.005
    10.45    51.08    1970  -0.006  -0.006  -0.008  -0.010   0.041   0.034   0.027   0.027   0.019  -0.013  -0.019  -0.015
    10.45    51.08    1971  -0.008  -0.017  -0.010  -0.007   0.027   0.047   0.039  -0.019   0.022  -0.003  -0.015  -0.019
    10.45    51.08    1972  -0.009  -0.011  -0.013  -0.002   0.051   0.075   0.016   0.037   0.019  -0.001  -0.017  -0.013
    10.45    51.08    1973  -0.010  -0.014  -0.013  -0.012   0.042   0.037   0.004   0.022   0.000  -0.001  -0.015  -0.010
    10.45    51.08    1974  -0.022  -0.020  -0.010   0.011   0.063   0.071   0.056   0.014   0.011  -0.012  -0.021  -0.023
    10.45    51.08    1975  -0.027  -0.015  -0.017  -0.002   0.050   0.051   0.022   0.002  -0.002  -0.018  -0.015  -0.014
    10.45    51.08    1976  -0.019  -0.007  -0.010  -0.010   0.046   0.039  -0.042   0.030  -0.009  -0.020  -0.019  -0.014
    10.45    51.08    1977  -0.011  -0.018  -0.021   0.005   0.071   0.026   0.035   0.018   0.005  -0.008  -0.021  -0.014
    10.45    51.08    1978  -0.017  -0.007  -0.020  -0.004   0.040   0.023   0.045   0.013   0.008  -0.004  -0.021  -0.014
    10.45    51.08    1979  -0.005  -0.005  -0.013  -0.011   0.024   0.012   0.037   0.018   0.001  -0.013  -0.015  -0.023
    10.45    51.08    1980  -0.007  -0.017  -0.017  -0.012   0.038   0.043   0.033  -0.001  -0.001  -0.007  -0.021  -0.014
    10.45    51.08    1981  -0.010  -0.009  -0.011   0.009   0.054   0.035   0.010   0.019   0.011  -0.007  -0.023  -0.009
    10.45    51.08    1982  -0.008  -0.010  -0.015  -0.007   0.031   0.003  -0.005  -0.010  -0.014  -0.019  -0.021  -0.019
    10.45    51.08    1983  -0.026  -0.010  -0.019   0.010   0.052   0.043  -0.006   0.004   0.006  -0.015  -0.017  -0.013
    10.45    51.08    1984  -0.022  -0.011  -0.011  -0.006   0.029   0.059   0.036   0.017   0.004  -0.004  -0.018  -0.015
    10.45    51.08    1985  -0.004  -0.006  -0.012  -0.011   0.027   0.032   0.029   0.014   0.003  -0.032  -0.013  -0.021
    10.45    51.08    1986  -0.011  -0.003  -0.008  -0.008   0.028   0.031   0.001  -0.005   0.023  -0.003  -0.015  -0.017
    10.45    51.08    1987  -0.006  -0.006  -0.004  -0.002   0.047   0.054   0.021   0.028  -0.005  -0.006  -0.019  -0.013
    10.45    51.08    1988  -0.024  -0.016  -0.013  -0.005   0.044   0.023   0.039   0.004  -0.006  -0.020  -0.019  -0.016
    10.45    51.08    1989  -0.021  -0.015  -0.015  -0.002   0.074   0.053   0.011   0.003  -0.008  -0.007  -0.018  -0.016
    10.45    51.08    1990  -0.016  -0.023  -0.008   0.020   0.086   0.049   0.052  -0.021   0.005  -0.010  -0.026  -0.013
    10.45    51.08    1991  -0.021  -0.004  -0.021   0.012   0.047   0.062  -0.009   0.008  -0.002  -0.015  -0.019  -0.013
    10.45    51.08    1992  -0.018  -0.014  -0.017   0.003   0.057   0.016   0.022  -0.019   0.021  -0.017  -0.020  -0.016
    10.45    51.08    1993  -0.018  -0.006  -0.010   0.017   0.043   0.049   0.040   0.027   0.013  -0.012  -0.013  -0.015
    10.45    51.08    1994  -0.021  -0.011  -0.015   0.010   0.061   0.049  -0.016  -0.010   0.022  -0.005  -0.021  -0.021
    10.45    51.08    1995  -0.012  -0.021  -0.015   0.002   0.056   0.045   0.002   0.006   0.011  -0.006  -0.019  -0.007
    10.45    51.08    1996  -0.005  -0.004  -0.010  -0.004   0.036   0.034   0.053   0.019   0.011  -0.005  -0.018  -0.009
    10.45    51.08    1997  -0.006  -0.017  -0.016   0.008   0.046   0.036   0.030   0.003   0.017  -0.014  -0.016  -0.015
