      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951  -0.007  -0.004  -0.001   0.032   0.091   0.104   0.099   0.073   0.050   0.025  -0.004  -0.008
    10.45    51.08    1952  -0.007  -0.005  -0.001   0.040   0.109   0.104   0.079   0.052   0.041   0.016  -0.005  -0.006
    10.45    51.08    1953  -0.006  -0.004   0.011   0.072   0.093   0.082   0.086   0.082   0.058   0.022  -0.007  -0.010
    10.45    51.08    1954  -0.005  -0.003   0.002   0.024   0.099   0.096   0.084   0.073   0.043   0.022  -0.004  -0.011
    10.45    51.08    1955  -0.005  -0.004  -0.002   0.022   0.100   0.102   0.072   0.062   0.050   0.021  -0.005  -0.009
    10.45    51.08    1956  -0.008  -0.001   0.001   0.017   0.101   0.090   0.085   0.087   0.057   0.018  -0.007  -0.010
    10.45    51.08    1957  -0.007  -0.007   0.011   0.054   0.098   0.100   0.061   0.081   0.047   0.020  -0.010  -0.008
    10.45    51.08    1958  -0.008  -0.007  -0.004   0.017   0.087   0.092   0.092   0.085   0.055   0.020  -0.008  -0.010
    10.45    51.08    1959  -0.008  -0.004   0.005   0.054   0.115   0.096   0.054   0.066   0.083   0.035  -0.008  -0.009
    10.45    51.08    1960  -0.008  -0.005  -0.003   0.025   0.089   0.099   0.106   0.076   0.048   0.016  -0.006  -0.009
    10.45    51.08    1961  -0.007  -0.005   0.005   0.046   0.087   0.104   0.085   0.080   0.047   0.021  -0.010  -0.009
    10.45    51.08    1962  -0.010  -0.006  -0.004   0.016   0.081   0.109   0.100   0.086   0.063   0.018  -0.005  -0.006
    10.45    51.08    1963  -0.003  -0.003  -0.002   0.022   0.092   0.099   0.092   0.076   0.055   0.017  -0.005  -0.005
    10.45    51.08    1964  -0.005  -0.005  -0.005   0.020   0.111   0.118   0.096   0.077   0.059   0.013  -0.013  -0.009
    10.45    51.08    1965  -0.009  -0.006  -0.003   0.018   0.085   0.102   0.092   0.099   0.059   0.019  -0.007  -0.012
    10.45    51.08    1966  -0.006  -0.007  -0.002   0.035   0.120   0.098   0.094   0.083   0.051   0.016  -0.009  -0.010
    10.45    51.08    1967  -0.009  -0.007   0.003   0.020   0.098   0.102   0.097   0.073   0.043   0.018  -0.007  -0.009
    10.45    51.08    1968  -0.007  -0.007  -0.002   0.032   0.096   0.111   0.101   0.072   0.043   0.013  -0.009  -0.006
    10.45    51.08    1969  -0.008  -0.005  -0.006   0.009   0.088   0.107   0.089   0.052   0.058   0.023  -0.006  -0.004
    10.45    51.08    1970  -0.006  -0.006  -0.005   0.004   0.078   0.104   0.099   0.073   0.060   0.008  -0.008  -0.010
    10.45    51.08    1971  -0.007  -0.008  -0.005   0.019   0.080   0.098   0.110   0.062   0.065   0.024  -0.006  -0.013
    10.45    51.08    1972  -0.006  -0.007   0.000   0.021   0.084   0.120   0.075   0.078   0.048   0.015  -0.006  -0.009
    10.45    51.08    1973  -0.008  -0.008  -0.004   0.004   0.085   0.103   0.084   0.089   0.047   0.015  -0.008  -0.009
    10.45    51.08    1974  -0.012  -0.009   0.001   0.041   0.096   0.112   0.100   0.071   0.056   0.002  -0.014  -0.015
    10.45    51.08    1975  -0.013  -0.008  -0.006   0.012   0.091   0.097   0.090   0.079   0.046   0.007  -0.007  -0.010
    10.45    51.08    1976  -0.010  -0.006  -0.005   0.015   0.098   0.098   0.063   0.096   0.042   0.014  -0.008  -0.009
    10.45    51.08    1977  -0.009  -0.008  -0.001   0.021   0.117   0.080   0.093   0.062   0.042   0.018  -0.007  -0.010
    10.45    51.08    1978  -0.009  -0.005  -0.005   0.020   0.079   0.099   0.102   0.078   0.045   0.018  -0.011  -0.010
    10.45    51.08    1979  -0.005  -0.005  -0.006   0.007   0.065   0.097   0.092   0.084   0.052   0.017  -0.008  -0.014
    10.45    51.08    1980  -0.006  -0.009  -0.007   0.007   0.074   0.110   0.084   0.082   0.054   0.018  -0.013  -0.010
    10.45    51.08    1981  -0.007  -0.007   0.003   0.040   0.092   0.095   0.084   0.073   0.054   0.014  -0.013  -0.006
    10.45    51.08    1982  -0.007  -0.006  -0.004   0.019   0.078   0.092   0.083   0.074   0.051   0.015  -0.004  -0.011
    10.45    51.08    1983  -0.013  -0.005  -0.005   0.029   0.090   0.101   0.086   0.074   0.057   0.017  -0.006  -0.009
    10.45    51.08    1984  -0.010  -0.007  -0.006   0.010   0.059   0.102   0.089   0.072   0.039   0.019  -0.008  -0.010
