      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.011   0.011   0.013   0.032   0.064   0.081   0.088   0.081   0.064   0.032   0.020   0.012
    10.45    51.08    1952   0.009   0.008   0.014   0.046   0.075   0.083   0.093   0.083   0.047   0.030   0.012   0.008
    10.45    51.08    1953   0.007   0.009   0.023   0.052   0.077   0.079   0.091   0.085   0.064   0.042   0.018   0.014
    10.45    51.08    1954   0.007   0.005   0.020   0.028   0.073   0.088   0.078   0.082   0.063   0.043   0.020   0.015
    10.45    51.08    1955   0.007   0.007   0.012   0.030   0.070   0.083   0.085   0.079   0.064   0.037   0.017   0.013
    10.45    51.08    1956   0.011   0.001   0.016   0.026   0.076   0.076   0.089   0.079   0.064   0.039   0.014   0.014
    10.45    51.08    1957   0.010   0.016   0.028   0.043   0.067   0.095   0.093   0.082   0.057   0.039   0.018   0.010
    10.45    51.08    1958   0.010   0.015   0.009   0.025   0.076   0.083   0.096   0.095   0.072   0.043   0.018   0.014
    10.45    51.08    1959   0.010   0.009   0.025   0.049   0.081   0.089   0.098   0.089   0.075   0.042   0.015   0.012
    10.45    51.08    1960   0.011   0.009   0.018   0.032   0.073   0.094   0.093   0.086   0.062   0.039   0.024   0.011
    10.45    51.08    1961   0.008   0.017   0.026   0.050   0.065   0.092   0.088   0.086   0.079   0.049   0.015   0.011
    10.45    51.08    1962   0.014   0.009   0.010   0.035   0.061   0.090   0.088   0.091   0.066   0.042   0.014   0.007
    10.45    51.08    1963   0.003   0.003   0.017   0.035   0.074   0.090   0.103   0.089   0.069   0.037   0.026   0.006
    10.45    51.08    1964   0.006   0.009   0.011   0.037   0.086   0.109   0.107   0.092   0.072   0.034   0.019   0.011
    10.45    51.08    1965   0.012   0.006   0.015   0.030   0.068   0.091   0.091   0.092   0.066   0.040   0.013   0.014
    10.45    51.08    1966   0.008   0.016   0.018   0.041   0.089   0.098   0.090   0.090   0.065   0.050   0.013   0.012
    10.45    51.08    1967   0.012   0.015   0.024   0.029   0.080   0.088   0.111   0.093   0.067   0.055   0.019   0.011
    10.45    51.08    1968   0.009   0.010   0.021   0.043   0.072   0.096   0.101   0.091   0.066   0.044   0.019   0.007
    10.45    51.08    1969   0.011   0.007   0.009   0.029   0.077   0.091   0.108   0.090   0.070   0.046   0.026   0.005
    10.45    51.08    1970   0.006   0.008   0.012   0.025   0.066   0.101   0.098   0.091   0.072   0.038   0.025   0.012
    10.45    51.08    1971   0.009   0.011   0.014   0.034   0.077   0.084   0.110   0.101   0.067   0.045   0.019   0.016
    10.45    51.08    1972   0.006   0.011   0.023   0.031   0.070   0.094   0.097   0.088   0.056   0.032   0.020   0.012
    10.45    51.08    1973   0.009   0.010   0.019   0.022   0.072   0.094   0.099   0.103   0.073   0.036   0.018   0.010
    10.45    51.08    1974   0.016   0.014   0.022   0.041   0.070   0.087   0.092   0.093   0.072   0.026   0.019   0.019
    10.45    51.08    1975   0.018   0.011   0.018   0.029   0.074   0.085   0.105   0.108   0.076   0.036   0.017   0.012
    10.45    51.08    1976   0.013   0.008   0.013   0.030   0.078   0.095   0.106   0.094   0.062   0.043   0.019   0.010
    10.45    51.08    1977   0.011   0.014   0.025   0.028   0.078   0.081   0.094   0.080   0.059   0.044   0.023   0.012
    10.45    51.08    1978   0.010   0.008   0.021   0.029   0.065   0.087   0.092   0.087   0.059   0.041   0.018   0.012
    10.45    51.08    1979   0.005   0.005   0.016   0.026   0.065   0.098   0.087   0.088   0.068   0.040   0.016   0.017
    10.45    51.08    1980   0.006   0.013   0.015   0.025   0.059   0.090   0.082   0.095   0.070   0.038   0.016   0.011
    10.45    51.08    1981   0.007   0.008   0.027   0.041   0.077   0.091   0.090   0.088   0.069   0.039   0.019   0.007
    10.45    51.08    1982   0.008   0.008   0.019   0.030   0.070   0.095   0.105   0.100   0.083   0.044   0.027   0.013
    10.45    51.08    1983   0.016   0.006   0.020   0.039   0.070   0.093   0.112   0.098   0.071   0.043   0.018   0.011
    10.45    51.08    1984   0.012   0.008   0.013   0.029   0.056   0.083   0.088   0.092   0.059   0.046   0.020   0.011
    10.45    51.08    1985   0.004   0.006   0.013   0.031   0.071   0.074   0.094   0.084   0.063   0.039   0.011   0.016
    10.45    51.08    1986   0.009   0.002   0.015   0.023   0.077   0.080   0.091   0.086   0.053   0.043   0.022   0.012
    10.45    51.08    1987   0.005   0.007   0.009   0.035   0.060   0.073   0.092   0.078   0.066   0.038   0.018   0.012
    10.45    51.08    1988   0.015   0.011   0.014   0.031   0.083   0.081   0.098   0.095   0.064   0.041   0.016   0.014
    10.45    51.08    1989   0.013   0.012   0.026   0.033   0.089   0.090   0.097   0.093   0.068   0.046   0.018   0.014
    10.45    51.08    1990   0.013   0.021   0.030   0.038   0.096   0.084   0.100   0.098   0.057   0.047   0.019   0.010
    10.45    51.08    1991   0.013   0.007   0.027   0.038   0.059   0.088   0.109   0.098   0.080   0.044   0.017   0.011
    10.45    51.08    1992   0.012   0.013   0.021   0.035   0.091   0.093   0.105   0.104   0.069   0.030   0.019   0.012
    10.45    51.08    1993   0.016   0.007   0.020   0.052   0.096   0.093   0.094   0.094   0.060   0.037   0.011   0.014
    10.45    51.08    1994   0.015   0.009   0.026   0.039   0.087   0.096   0.118   0.101   0.068   0.034   0.026   0.018
    10.45    51.08    1995   0.011   0.017   0.018   0.036   0.077   0.080   0.110   0.107   0.061   0.052   0.017   0.007
    10.45    51.08    1996   0.005   0.007   0.011   0.039   0.062   0.092   0.091   0.093   0.050   0.040   0.022   0.008
    10.45    51.08    1997   0.006   0.016   0.025   0.031   0.079   0.092   0.096   0.106   0.076   0.038   0.017   0.013
    10.45    51.08    1998   0.016   0.018   0.022   0.048   0.091   0.098   0.092   0.097   0.063   0.036   0.013   0.012
    10.45    51.08    1999   0.016   0.010   0.022   0.042   0.089   0.096   0.106   0.097   0.087   0.040   0.018   0.014
    10.45    51.08    2000   0.011   0.016   0.023   0.049   0.098   0.098   0.084   0.105   0.070   0.049   0.024   0.017
    10.45    51.08    2001   0.012   0.014   0.018   0.033   0.094   0.086   0.110   0.106   0.058   0.056   0.020   0.011
    10.45    51.08    2002   0.013   0.020   0.024   0.040   0.084   0.100   0.096   0.101   0.069   0.037   0.021   0.011
    10.45    51.08    2003   0.011   0.006   0.025   0.040   0.090   0.113   0.108   0.112   0.074   0.031   0.023   0.013
    10.45    51.08    2004   0.010   0.015   0.022   0.050   0.076   0.093   0.101   0.108   0.077   0.048   0.019   0.011
    10.45    51.08    2005   0.015   0.008   0.021   0.048   0.083   0.099   0.109   0.091   0.084   0.054   0.024   0.012
    10.45    51.08    2006   0.007   0.008   0.014   0.039   0.091   0.101   0.126   0.088   0.091   0.057   0.030   0.019
    10.45    51.08    2007   0.021   0.017   0.027   0.056   0.098   0.107   0.107   0.101   0.067   0.041   0.018   0.013
    10.45    51.08    2008   0.019   0.017   0.022   0.037   0.097   0.108   0.111   0.104   0.066   0.045   0.022   0.012
    10.45    51.08    2009   0.008   0.010   0.021   0.063   0.092   0.089   0.110   0.113   0.078   0.039   0.029   0.013
    10.45    51.08    2010   0.006   0.009   0.025   0.048   0.067   0.105   0.124   0.094   0.067   0.041   0.024   0.005
    10.45    51.08    2011   0.014   0.012   0.025   0.069   0.099   0.103   0.101   0.101   0.084   0.049   0.019   0.018
    10.45    51.08    2012   0.015   0.008   0.033   0.042   0.099   0.095   0.109   0.114   0.079   0.046   0.022   0.015
