      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.012   0.008   0.009   0.028   0.057   0.054   0.078   0.067   0.064   0.029   0.015   0.009
    10.45    51.08    1952   0.008   0.001   0.010   0.037   0.050   0.069   0.110   0.095   0.034   0.017   0.009   0.002
    10.45    51.08    1953   0.002   0.004   0.018   0.047   0.071   0.069   0.075   0.077   0.065   0.043   0.017   0.012
    10.45    51.08    1954   0.002   0.000   0.013   0.022   0.056   0.086   0.056   0.057   0.053   0.027   0.015   0.009
    10.45    51.08    1955   0.002   0.004   0.003   0.021   0.053   0.062   0.068   0.052   0.051   0.029   0.010   0.006
    10.45    51.08    1956   0.009   0.000   0.005   0.019   0.052   0.053   0.055   0.054   0.049   0.032   0.009   0.008
    10.45    51.08    1957   0.003   0.013   0.022   0.030   0.045   0.076   0.082   0.055   0.040   0.021   0.013   0.004
    10.45    51.08    1958   0.007   0.010   0.003   0.014   0.052   0.056   0.069   0.070   0.060   0.030   0.010   0.006
    10.45    51.08    1959   0.008   0.002   0.021   0.037   0.055   0.063   0.097   0.070   0.055   0.031   0.009   0.004
    10.45    51.08    1960   0.007   0.003   0.012   0.027   0.041   0.070   0.071   0.057   0.039   0.019   0.012   0.006
    10.45    51.08    1961   0.002   0.009   0.024   0.029   0.033   0.049   0.079   0.058   0.067   0.047   0.014   0.004
    10.45    51.08    1962   0.007   0.006   0.001   0.023   0.039   0.066   0.058   0.073   0.044   0.033   0.010   0.001
    10.45    51.08    1963   0.000   0.000   0.006   0.023   0.049   0.065   0.072   0.053   0.043   0.021   0.013   0.002
    10.45    51.08    1964   0.000   0.002   0.002   0.023   0.049   0.085   0.081   0.065   0.053   0.023   0.009   0.006
    10.45    51.08    1965   0.005   0.001   0.004   0.024   0.038   0.050   0.061   0.055   0.038   0.028   0.007   0.005
    10.45    51.08    1966   0.003   0.007   0.014   0.023   0.057   0.066   0.042   0.049   0.036   0.034   0.005   0.004
    10.45    51.08    1967   0.005   0.010   0.017   0.020   0.053   0.043   0.076   0.065   0.034   0.032   0.011   0.003
    10.45    51.08    1968   0.002   0.007   0.007   0.031   0.040   0.059   0.076   0.060   0.038   0.021   0.009   0.001
    10.45    51.08    1969   0.003   0.003   0.001   0.015   0.042   0.046   0.077   0.078   0.032   0.026   0.015   0.001
