      Lon      Lat    Year       Jan       Feb       Mar       Apr       May       Jun       Jul       Aug       Sep       Oct       Nov       Dec
    10.45    51.08    1951     6.861    21.103    22.211     3.978     0.423    73.079     0.000     8.086     2.240     0.388    43.074     9.183
    10.45    51.08    1952    20.241    31.252    54.275    24.878    11.182     0.728     0.000     0.000    67.200    45.238    65.669    28.519
    10.45    51.08    1953    31.130    48.814     0.459     0.000     0.000     5.762     0.000     0.000     0.000     0.000     0.000     4.494
    10.45    51.08    1954    30.743    12.988     8.998    22.804     1.127     0.000     7.091    10.510    11.018    14.209    10.045    33.104
    10.45    51.08    1955    30.804    29.012    37.955    16.523     0.733     0.052    10.985    19.640     4.184     5.762    10.565    36.074
    10.45    51.08    1956    19.596     0.000    50.213    31.952     1.185    31.101    93.313    15.320     2.729    13.696    19.806    11.844
    10.45    51.08    1957    23.704    28.134    16.643     5.516     0.000     0.000     0.000     0.000    15.772     9.186    21.369    21.710
    10.45    51.08    1958    38.084    20.810    72.152    18.593    12.308    27.068    24.053     0.000     2.149    17.293    19.280    30.368
    10.45    51.08    1959    18.503     4.550     4.672     3.767     0.930     0.000     0.000     0.000     0.000     0.000     0.000     0.000
    10.45    51.08    1960    22.129     8.603    16.247     7.308    19.485     0.000     0.000     0.000     0.000    68.560    24.170    32.593
    10.45    51.08    1961    45.776    33.412    11.583    45.273    43.757    43.958     0.000     0.000     0.000     0.000     0.000    14.628
    10.45    51.08    1962    21.012    22.478    22.329    12.651    10.547     0.000     0.000     0.000     0.000     0.000     0.000     0.000
    10.45    51.08    1963     0.000     0.000    35.676     8.898     2.726     0.383     5.108     6.750     1.424    12.224    25.069     3.216
    10.45    51.08    1964     6.756    22.671    11.090    22.150    37.940     0.000     0.000     0.000     0.000     0.000     0.000     0.000
    10.45    51.08    1965     0.000     7.248    38.668    16.095     6.730    14.469     0.000     0.000     0.000     0.000    13.984    61.835
    10.45    51.08    1966    16.923    33.503    14.606    24.376     0.000     0.000    28.271    23.410     2.835    40.350    30.860    44.463
    10.45    51.08    1967    19.236    15.288    25.538     9.260     1.119    11.025     0.000     0.000     5.296     8.350    11.503    19.526
    10.45    51.08    1968    28.483    23.058    23.673     4.847     8.195     0.000     0.000     0.000     0.000    23.767    14.942     5.952
    10.45    51.08    1969    19.895    11.100    18.125    65.064    38.941    18.435     0.000     0.000     1.830     0.000     0.000     0.000
    10.45    51.08    1970     7.168    65.801    25.263    31.248    22.159     1.388     0.000    13.785     0.000    15.956    21.603    14.304
    10.45    51.08    1971    17.802    16.565     8.591     6.370     0.000     5.783     0.259     0.000     0.000     0.000    12.625     0.000
    10.45    51.08    1972     0.000     0.000     7.813    16.815     7.944    10.357    25.848    42.989     0.376     3.584    16.548     1.851
    10.45    51.08    1973    11.669    15.302    18.539    12.975     6.735     0.000     0.000     0.000     0.000     8.434     2.866    27.860
