      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.971   1.000   1.000   0.996   0.987   0.986   0.981   0.989   0.985   0.986   0.999   1.000
    10.45    51.08    1952   1.000   1.000   0.997   0.980   0.991   0.971   0.890   0.784   0.866   0.996   0.999   0.999
    10.45    51.08    1953   1.000   0.999   0.996   0.983   0.932   0.911   0.951   0.959   0.914   0.900   0.936   0.965
    10.45    51.08    1954   0.999   0.999   1.000   0.997   0.973   0.910   0.939   0.993   0.994   0.996   1.000   1.000
    10.45    51.08    1955   1.000   0.998   0.997   0.997   0.991   0.977   0.985   0.983   0.985   0.995   1.000   1.000
    10.45    51.08    1956   1.000   1.000   0.999   0.997   0.987   0.985   0.991   0.994   0.993   0.997   1.000   1.000
    10.45    51.08    1957   1.000   1.000   0.999   0.992   0.977   0.939   0.917   0.962   0.997   0.996   0.999   1.000
    10.45    51.08    1958   1.000   1.000   0.996   0.997   0.994   0.968   0.964   0.947   0.966   0.995   1.000   1.000
    10.45    51.08    1959   1.000   1.000   0.998   0.994   0.973   0.948   0.863   0.780   0.718   0.660   0.748   0.829
    10.45    51.08    1960   0.964   1.000   0.999   0.997   0.988   0.956   0.884   0.866   0.912   0.977   1.000   1.000
    10.45    51.08    1961   1.000   1.000   0.998   0.997   0.995   0.983   0.906   0.885   0.860   0.828   0.848   0.962
    10.45    51.08    1962   1.000   1.000   0.996   0.997   0.996   0.949   0.887   0.831   0.798   0.787   0.791   0.848
    10.45    51.08    1963   0.889   0.896   0.970   0.997   0.988   0.964   0.964   0.957   0.974   0.998   1.000   1.000
    10.45    51.08    1964   1.000   1.000   1.000   0.997   0.986   0.927   0.823   0.756   0.712   0.709   0.761   0.822
    10.45    51.08    1965   0.923   0.994   0.999   0.998   0.993   0.980   0.963   0.972   0.972   0.984   0.996   1.000
    10.45    51.08    1966   1.000   0.997   0.999   0.998   0.972   0.923   0.984   0.979   0.993   0.986   0.999   1.000
    10.45    51.08    1967   1.000   1.000   0.999   0.997   0.974   0.985   0.951   0.899   0.958   0.997   0.999   1.000
    10.45    51.08    1968   1.000   0.999   0.999   0.991   0.992   0.972   0.914   0.868   0.913   0.995   0.999   1.000
    10.45    51.08    1969   1.000   1.000   1.000   0.997   0.990   0.974   0.927   0.829   0.861   0.872   0.928   0.973
    10.45    51.08    1970   0.985   1.000   1.000   0.998   0.997   0.961   0.904   0.935   0.974   0.994   1.000   1.000
    10.45    51.08    1971   1.000   1.000   1.000   0.995   0.973   0.982   0.933   0.802   0.730   0.714   0.757   0.866
    10.45    51.08    1972   0.904   0.942   0.985   0.998   0.991   0.987   0.983   0.990   0.985   0.992   0.999   1.000
    10.45    51.08    1973   1.000   1.000   0.999   0.998   0.988   0.940   0.862   0.823   0.768   0.852   0.982   1.000
    10.45    51.08    1974   1.000   1.000   0.998   0.976   0.988   0.993   0.995   0.958   0.961   0.985   1.000   1.000
    10.45    51.08    1975   1.000   1.000   1.000   0.997   0.984   0.956   0.957   0.860   0.815   0.841   0.897   0.985
    10.45    51.08    1976   1.000   1.000   1.000   0.996   0.972   0.945   0.814   0.725   0.659   0.664   0.720   0.809
    10.45    51.08    1977   0.896   0.996   0.998   0.998   0.987   0.951   0.970   0.994   0.995   0.996   0.999   1.000
    10.45    51.08    1978   1.000   1.000   1.000   0.994   0.990   0.934   0.906   0.889   0.925   0.995   0.997   1.000
