      Lon      Lat    Year     dep     fix    fert    flux   leach     NEE
    10.45    51.08    1951  -11.23   -3.09   -0.00    1.13    0.52  -12.68
    10.45    51.08    1952  -11.23   -2.67   -0.00    3.76    0.97   -9.17
    10.45    51.08    1953  -11.23   -2.53   -0.00    1.53    0.29  -11.94
    10.45    51.08    1954  -11.23   -2.89   -0.00    1.15    0.68  -12.29
    10.45    51.08    1955  -11.23   -2.56   -0.00    1.08    0.69  -12.02
    10.45    51.08    1956  -11.23   -3.01   -0.00    1.05    0.72  -12.46
    10.45    51.08    1957  -11.23   -3.03   -0.00    1.22    0.64  -12.40
    10.45    51.08    1958  -11.23   -2.89   -0.00    1.21    0.84  -12.08
    10.45    51.08    1959  -11.23   -2.82   -0.00    4.32    0.14   -9.59
    10.45    51.08    1960  -14.10   -3.19   -0.00    1.19    0.59  -15.51
    10.45    51.08    1961  -14.10   -2.89   -0.00    1.84    0.63  -14.53
    10.45    51.08    1962  -14.10   -3.12   -0.00    2.03    0.38  -14.81
    10.45    51.08    1963  -14.10   -2.46   -0.00    1.17    0.43  -14.95
    10.45    51.08    1964  -14.10   -2.09   -0.00    1.64    0.33  -14.23
    10.45    51.08    1965  -14.10   -2.95   -0.00    1.06    0.61  -15.38
    10.45    51.08    1966  -14.10   -2.90   -0.00    1.14    0.78  -15.08
    10.45    51.08    1967  -14.10   -3.04   -0.00    1.26    0.60  -15.29
    10.45    51.08    1968  -14.10   -2.74   -0.00    1.21    0.49  -15.14
    10.45    51.08    1969  -14.10   -2.52   -0.00    2.27    0.56  -13.79
    10.45    51.08    1970  -16.97   -2.39   -0.00    1.14    0.84  -17.38
    10.45    51.08    1971  -16.97   -2.50   -0.00    3.38    0.27  -15.82
    10.45    51.08    1972  -16.97   -3.17   -0.00    0.99    0.32  -18.82
    10.45    51.08    1973  -16.97   -2.61   -0.00    1.69    0.46  -17.42
    10.45    51.08    1974  -16.97   -2.99   -0.00    1.07    0.72  -18.17
    10.45    51.08    1975  -16.97   -2.48   -0.00    1.96    0.29  -17.20
    10.45    51.08    1976  -16.97   -2.43   -0.00    3.68    0.32  -15.40
    10.45    51.08    1977  -16.97   -2.73   -0.00    0.99    0.66  -18.05
    10.45    51.08    1978  -16.97   -2.95   -0.00    1.12    0.39  -18.41
    10.45    51.08    1979  -16.97   -2.40   -0.00    1.19    0.61  -17.57
    10.45    51.08    1980  -17.99   -2.66   -0.00    1.41    0.49  -18.76
    10.45    51.08    1981  -17.99   -2.30   -0.00    1.08    0.69  -18.52
    10.45    51.08    1982  -17.99   -2.21   -0.00    3.65    0.24  -16.32
    10.45    51.08    1983  -17.99   -2.12   -0.00    1.99    0.26  -17.87
    10.45    51.08    1984  -17.99   -2.75   -0.00    0.93    0.66  -19.15
    10.45    51.08    1985  -17.99   -2.23   -0.00    1.29    0.28  -18.66
    10.45    51.08    1986  -17.99   -2.41   -0.00    1.12    0.61  -18.67
    10.45    51.08    1987  -17.99   -2.45   -0.00    0.93    0.86  -18.65
    10.45    51.08    1988  -17.99   -2.58   -0.00    1.73    0.59  -18.25
    10.45    51.08    1989  -17.99   -2.61   -0.00    2.00    0.38  -18.22
    10.45    51.08    1990  -19.66   -2.67   -0.00    2.34    0.39  -19.60
    10.45    51.08    1991  -19.66   -2.72   -0.00    1.92    0.18  -20.27
    10.45    51.08    1992  -19.66   -2.37   -0.00    1.36    0.49  -20.17
    10.45    51.08    1993  -19.66   -2.22   -0.00    1.23    0.66  -19.99
    10.45    51.08    1994  -19.66   -2.46   -0.00    1.15    0.70  -20.26
    10.45    51.08    1995  -19.66   -2.54   -0.00    1.04    0.67  -20.48
    10.45    51.08    1996  -19.66   -2.59   -0.00    0.91    0.65  -20.69
    10.45    51.08    1997  -19.66   -2.64   -0.00    1.45    0.61  -20.24
    10.45    51.08    1998  -19.66   -2.91   -0.00    1.11    0.74  -20.72
    10.45    51.08    1999  -19.66   -2.66   -0.00    1.13    0.49  -20.71
    10.45    51.08    2000  -21.34   -2.64   -0.00    1.28    0.60  -22.10
    10.45    51.08    2001  -21.34   -2.60   -0.00    1.44    0.75  -21.75
    10.45    51.08    2002  -21.34   -2.58   -0.00    0.99    0.96  -21.96
    10.45    51.08    2003  -21.34   -2.21   -0.00    2.57    0.21  -20.77
    10.45    51.08    2004  -21.34   -2.71   -0.00    1.33    0.32  -22.40
    10.45    51.08    2005  -21.34   -2.58   -0.00    1.23    0.42  -22.27
    10.45    51.08    2006  -21.34   -2.33   -0.00    1.12    0.42  -22.13
    10.45    51.08    2007  -21.34   -2.65   -0.00    1.01    0.76  -22.23
    10.45    51.08    2008  -21.34   -2.81   -0.00    1.59    0.47  -22.09
    10.45    51.08    2009  -21.34   -2.37   -0.00    1.08    0.70  -21.93
    10.45    51.08    2010  -20.03   -2.62   -0.00    1.37    0.64  -20.63
    10.45    51.08    2011  -20.03   -2.47   -0.00    2.03    0.28  -20.19
    10.45    51.08    2012  -20.03   -2.62   -0.00    1.11    0.41  -21.13
