      Lon      Lat    Year      NH3       NO      NO2      N2O       N2    NSoil    Total
    10.45    51.08    1951    0.118    0.152    0.038    0.018    0.175    0.624    1.125
    10.45    51.08    1952    0.710    0.912    0.229    0.105    1.054    0.751    3.762
    10.45    51.08    1953    0.185    0.238    0.060    0.027    0.275    0.750    1.534
    10.45    51.08    1954    0.109    0.140    0.035    0.016    0.162    0.685    1.149
    10.45    51.08    1955    0.108    0.139    0.035    0.016    0.160    0.619    1.077
    10.45    51.08    1956    0.107    0.137    0.034    0.016    0.158    0.602    1.053
    10.45    51.08    1957    0.104    0.133    0.033    0.015    0.154    0.776    1.216
    10.45    51.08    1958    0.102    0.131    0.033    0.015    0.151    0.777    1.208
    10.45    51.08    1959    0.806    1.035    0.260    0.120    1.195    0.908    4.323
    10.45    51.08    1960    0.104    0.134    0.034    0.015    0.154    0.751    1.192
    10.45    51.08    1961    0.240    0.308    0.077    0.036    0.356    0.820    1.837
    10.45    51.08    1962    0.291    0.373    0.094    0.043    0.431    0.798    2.030
    10.45    51.08    1963    0.091    0.117    0.029    0.013    0.135    0.787    1.172
    10.45    51.08    1964    0.166    0.212    0.053    0.025    0.245    0.936    1.637
    10.45    51.08    1965    0.088    0.113    0.028    0.013    0.130    0.688    1.061
    10.45    51.08    1966    0.087    0.111    0.028    0.013    0.129    0.770    1.137
    10.45    51.08    1967    0.085    0.109    0.027    0.013    0.126    0.897    1.256
    10.45    51.08    1968    0.083    0.107    0.027    0.012    0.124    0.859    1.212
    10.45    51.08    1969    0.334    0.429    0.107    0.050    0.495    0.858    2.273
    10.45    51.08    1970    0.081    0.104    0.026    0.012    0.120    0.800    1.143
    10.45    51.08    1971    0.568    0.729    0.183    0.084    0.842    0.971    3.377
    10.45    51.08    1972    0.078    0.100    0.025    0.012    0.116    0.662    0.993
    10.45    51.08    1973    0.163    0.209    0.053    0.024    0.242    1.001    1.692
    10.45    51.08    1974    0.075    0.097    0.024    0.011    0.112    0.750    1.069
    10.45    51.08    1975    0.232    0.298    0.075    0.034    0.344    0.978    1.960
    10.45    51.08    1976    0.642    0.824    0.207    0.095    0.952    0.957    3.677
    10.45    51.08    1977    0.088    0.113    0.028    0.013    0.131    0.619    0.993
    10.45    51.08    1978    0.087    0.111    0.028    0.013    0.129    0.750    1.117
    10.45    51.08    1979    0.085    0.109    0.027    0.013    0.126    0.826    1.186
    10.45    51.08    1980    0.143    0.184    0.046    0.021    0.212    0.807    1.413
    10.45    51.08    1981    0.082    0.105    0.026    0.012    0.122    0.737    1.085
    10.45    51.08    1982    0.608    0.781    0.196    0.090    0.902    1.074    3.651
    10.45    51.08    1983    0.265    0.340    0.085    0.039    0.393    0.865    1.988
    10.45    51.08    1984    0.077    0.099    0.025    0.011    0.114    0.603    0.929
    10.45    51.08    1985    0.124    0.159    0.040    0.018    0.184    0.764    1.289
    10.45    51.08    1986    0.086    0.110    0.028    0.013    0.127    0.762    1.124
    10.45    51.08    1987    0.085    0.109    0.027    0.013    0.126    0.572    0.931
    10.45    51.08    1988    0.203    0.260    0.065    0.030    0.301    0.876    1.735
    10.45    51.08    1989    0.267    0.343    0.086    0.040    0.397    0.872    2.005
    10.45    51.08    1990    0.363    0.466    0.117    0.054    0.538    0.802    2.338
    10.45    51.08    1991    0.250    0.321    0.080    0.037    0.371    0.859    1.917
    10.45    51.08    1992    0.121    0.156    0.039    0.018    0.180    0.849    1.363
    10.45    51.08    1993    0.123    0.158    0.040    0.018    0.182    0.708    1.229
    10.45    51.08    1994    0.070    0.090    0.023    0.010    0.104    0.858    1.155
    10.45    51.08    1995    0.069    0.089    0.022    0.010    0.103    0.752    1.045
    10.45    51.08    1996    0.069    0.089    0.022    0.010    0.103    0.620    0.914
    10.45    51.08    1997    0.134    0.173    0.043    0.020    0.199    0.876    1.445
    10.45    51.08    1998    0.066    0.084    0.021    0.010    0.097    0.828    1.106
    10.45    51.08    1999    0.064    0.082    0.021    0.009    0.095    0.855    1.126
    10.45    51.08    2000    0.086    0.110    0.028    0.013    0.128    0.918    1.283
    10.45    51.08    2001    0.144    0.185    0.046    0.021    0.214    0.828    1.439
    10.45    51.08    2002    0.061    0.078    0.020    0.009    0.090    0.736    0.994
    10.45    51.08    2003    0.367    0.471    0.118    0.054    0.544    1.018    2.571
    10.45    51.08    2004    0.121    0.155    0.039    0.018    0.179    0.817    1.328
    10.45    51.08    2005    0.087    0.112    0.028    0.013    0.129    0.859    1.228
    10.45    51.08    2006    0.056    0.071    0.018    0.008    0.082    0.888    1.124
    10.45    51.08    2007    0.055    0.071    0.018    0.008    0.082    0.775    1.008
    10.45    51.08    2008    0.142    0.182    0.046    0.021    0.210    0.988    1.588
    10.45    51.08    2009    0.054    0.069    0.017    0.008    0.079    0.852    1.079
    10.45    51.08    2010    0.144    0.185    0.046    0.021    0.214    0.762    1.373
    10.45    51.08    2011    0.261    0.336    0.084    0.039    0.388    0.920    2.028
    10.45    51.08    2012    0.050    0.065    0.016    0.007    0.075    0.892    1.105
