      Lon      Lat    Year     VegN  LitterN    SoilN     Total
    10.45    51.08    1951   0.0584   0.0533   0.9995    1.1111
    10.45    51.08    1952   0.0599   0.0514   0.9998    1.1110
    10.45    51.08    1953   0.0606   0.0497   1.0009    1.1112
    10.45    51.08    1954   0.0623   0.0487   1.0016    1.1126
    10.45    51.08    1955   0.0636   0.0481   1.0027    1.1143
    10.45    51.08    1956   0.0646   0.0475   1.0042    1.1163
    10.45    51.08    1957   0.0657   0.0461   1.0048    1.1167
    10.45    51.08    1958   0.0670   0.0450   1.0052    1.1172
    10.45    51.08    1959   0.0680   0.0430   1.0051    1.1160
    10.45    51.08    1960   0.0696   0.0424   1.0054    1.1174
    10.45    51.08    1961   0.0707   0.0409   1.0059    1.1175
    10.45    51.08    1962   0.0717   0.0403   1.0060    1.1181
    10.45    51.08    1963   0.0730   0.0398   1.0060    1.1188
    10.45    51.08    1964   0.0740   0.0385   1.0055    1.1180
    10.45    51.08    1965   0.0751   0.0384   1.0062    1.1197
    10.45    51.08    1966   0.0763   0.0378   1.0067    1.1208
    10.45    51.08    1967   0.0776   0.0368   1.0064    1.1208
    10.45    51.08    1968   0.0785   0.0361   1.0062    1.1209
    10.45    51.08    1969   0.0796   0.0354   1.0059    1.1210
    10.45    51.08    1970   0.0804   0.0351   1.0059    1.1214
    10.45    51.08    1971   0.0810   0.0336   1.0053    1.1199
    10.45    51.08    1972   0.0820   0.0338   1.0060    1.1219
    10.45    51.08    1973   0.0827   0.0328   1.0049    1.1204
    10.45    51.08    1974   0.0835   0.0324   1.0053    1.1212
    10.45    51.08    1975   0.0845   0.0312   1.0043    1.1200
    10.45    51.08    1976   0.0760   0.0386   1.0039    1.1184
    10.45    51.08    1977   0.0769   0.0386   1.0050    1.1205
    10.45    51.08    1978   0.0778   0.0379   1.0056    1.1213
    10.45    51.08    1979   0.0787   0.0371   1.0055    1.1213
    10.45    51.08    1980   0.0795   0.0363   1.0056    1.1213
    10.45    51.08    1981   0.0802   0.0357   1.0061    1.1221
    10.45    51.08    1982   0.0806   0.0341   1.0047    1.1193
    10.45    51.08    1983   0.0814   0.0330   1.0043    1.1187
    10.45    51.08    1984   0.0825   0.0333   1.0052    1.1210
    10.45    51.08    1985   0.0749   0.0388   1.0065    1.1202
    10.45    51.08    1986   0.0761   0.0378   1.0063    1.1202
    10.45    51.08    1987   0.0772   0.0375   1.0072    1.1219
    10.45    51.08    1988   0.0783   0.0355   1.0069    1.1207
    10.45    51.08    1989   0.0796   0.0340   1.0062    1.1198
    10.45    51.08    1990   0.0811   0.0329   1.0060    1.1200
    10.45    51.08    1991   0.0829   0.0318   1.0052    1.1199
    10.45    51.08    1992   0.0841   0.0310   1.0047    1.1198
    10.45    51.08    1993   0.0849   0.0307   1.0050    1.1206
    10.45    51.08    1994   0.0862   0.0299   1.0045    1.1205
    10.45    51.08    1995   0.0871   0.0295   1.0046    1.1212
    10.45    51.08    1996   0.0879   0.0298   1.0053    1.1230
    10.45    51.08    1997   0.0886   0.0286   1.0048    1.1220
    10.45    51.08    1998   0.0898   0.0279   1.0043    1.1220
    10.45    51.08    1999   0.0910   0.0271   1.0038    1.1218
    10.45    51.08    2000   0.0923   0.0262   1.0027    1.1212
    10.45    51.08    2001   0.0933   0.0257   1.0022    1.1212
    10.45    51.08    2002   0.0944   0.0256   1.0022    1.1222
    10.45    51.08    2003   0.0951   0.0243   1.0006    1.1201
    10.45    51.08    2004   0.0959   0.0239   1.0002    1.1200
    10.45    51.08    2005   0.0975   0.0234   0.9993    1.1202
    10.45    51.08    2006   0.0989   0.0229   0.9983    1.1200
    10.45    51.08    2007   0.0999   0.0227   0.9982    1.1208
    10.45    51.08    2008   0.1012   0.0218   0.9967    1.1197
    10.45    51.08    2009   0.1023   0.0215   0.9960    1.1198
    10.45    51.08    2010   0.1034   0.0217   0.9959    1.1210
    10.45    51.08    2011   0.1042   0.0208   0.9949    1.1200
    10.45    51.08    2012   0.1057   0.0204   0.9940    1.1201
