      Lon      Lat    Year     dep     fix    fert   input    min    imm netmin  Total
    10.45    51.08    1951   11.23    3.09    0.00   14.32 127.81  68.89  58.92  73.24
    10.45    51.08    1952   11.23    2.67    0.00   13.90 133.92  60.91  73.01  86.91
    10.45    51.08    1953   11.23    2.53    0.00   13.76 149.90  77.03  72.87  86.63
    10.45    51.08    1954   11.23    2.89    0.00   14.12 122.56  56.12  66.44  80.56
    10.45    51.08    1955   11.23    2.56    0.00   13.79 111.71  51.42  60.30  74.09
    10.45    51.08    1956   11.23    3.01    0.00   14.24 109.29  51.29  57.99  72.23
    10.45    51.08    1957   11.23    3.03    0.00   14.26 134.87  59.03  75.84  90.10
    10.45    51.08    1958   11.23    2.89    0.00   14.12 130.59  55.05  75.53  89.66
    10.45    51.08    1959   11.23    2.82    0.00   14.05 155.31  66.36  88.94 103.00
    10.45    51.08    1960   14.10    3.19    0.00   17.29 125.07  52.18  72.89  90.18
    10.45    51.08    1961   14.10    2.89    0.00   16.99 145.28  65.20  80.08  97.07
    10.45    51.08    1962   14.10    3.12    0.00   17.22 128.84  51.11  77.73  94.94
    10.45    51.08    1963   14.10    2.46    0.00   16.56 123.13  45.63  77.51  94.06
    10.45    51.08    1964   14.10    2.09    0.00   16.19 142.84  50.44  92.40 108.59
    10.45    51.08    1965   14.10    2.95    0.00   17.05 112.77  45.49  67.28  84.33
    10.45    51.08    1966   14.10    2.90    0.00   17.00 124.25  49.07  75.18  92.17
    10.45    51.08    1967   14.10    3.04    0.00   17.14 140.29  52.62  87.67 104.81
    10.45    51.08    1968   14.10    2.74    0.00   16.84 133.19  48.47  84.71 101.56
    10.45    51.08    1969   14.10    2.52    0.00   16.62 127.35  42.75  84.60 101.22
    10.45    51.08    1970   16.97    2.39    0.00   19.36 120.47  41.58  78.89  98.24
    10.45    51.08    1971   16.97    2.50    0.00   19.46 149.05  53.83  95.22 114.69
    10.45    51.08    1972   16.97    3.17    0.00   20.13 108.18  43.38  64.79  84.93
    10.45    51.08    1973   16.97    2.61    0.00   19.58 146.42  48.51  97.91 117.49
    10.45    51.08    1974   16.97    2.99    0.00   19.96 123.44  50.14  73.30  93.26
    10.45    51.08    1975   16.97    2.48    0.00   19.45 149.50  53.57  95.94 115.38
    10.45    51.08    1976   16.97    2.43    0.00   19.40 153.37  59.57  93.80 113.20
    10.45    51.08    1977   16.97    2.73    0.00   19.70 111.03  51.04  59.98  79.68
    10.45    51.08    1978   16.97    2.95    0.00   19.92 125.36  52.28  73.08  93.00
    10.45    51.08    1979   16.97    2.40    0.00   19.37 129.75  48.37  81.39 100.75
    10.45    51.08    1980   17.99    2.66    0.00   20.66 131.14  52.20  78.94  99.59
    10.45    51.08    1981   17.99    2.30    0.00   20.29 123.62  50.79  72.84  93.13
    10.45    51.08    1982   17.99    2.21    0.00   20.20 171.79  66.18 105.61 125.82
    10.45    51.08    1983   17.99    2.12    0.00   20.12 145.37  61.23  84.14 104.26
    10.45    51.08    1984   17.99    2.75    0.00   20.74 104.24  46.09  58.15  78.90
    10.45    51.08    1985   17.99    2.23    0.00   20.22 140.98  66.12  74.86  95.08
    10.45    51.08    1986   17.99    2.41    0.00   20.40 128.85  54.07  74.79  95.19
    10.45    51.08    1987   17.99    2.45    0.00   20.45 103.33  47.05  56.28  76.73
    10.45    51.08    1988   17.99    2.58    0.00   20.57 153.71  68.05  85.66 106.23
    10.45    51.08    1989   17.99    2.61    0.00   20.61 153.26  68.16  85.09 105.70
    10.45    51.08    1990   19.66    2.67    0.00   22.33 143.22  65.02  78.21 100.53
    10.45    51.08    1991   19.66    2.72    0.00   22.37 146.23  61.88  84.35 106.72
    10.45    51.08    1992   19.66    2.37    0.00   22.02 140.42  58.44  81.98 104.00
    10.45    51.08    1993   19.66    2.22    0.00   21.87 118.79  49.71  69.08  90.96
    10.45    51.08    1994   19.66    2.46    0.00   22.12 138.80  55.25  83.55 105.66
    10.45    51.08    1995   19.66    2.54    0.00   22.19 125.41  52.71  72.70  94.89
    10.45    51.08    1996   19.66    2.59    0.00   22.25 102.00  41.00  61.00  83.25
    10.45    51.08    1997   19.66    2.64    0.00   22.30 142.82  56.79  86.03 108.33
    10.45    51.08    1998   19.66    2.91    0.00   22.56 134.93  53.53  81.40 103.96
    10.45    51.08    1999   19.66    2.66    0.00   22.32 142.40  58.74  83.67 105.99
    10.45    51.08    2000   21.34    2.64    0.00   23.98 146.17  56.48  89.69 113.67
    10.45    51.08    2001   21.34    2.60    0.00   23.94 133.78  53.07  80.71 104.65
    10.45    51.08    2002   21.34    2.58    0.00   23.92 121.58  49.51  72.07  95.99
    10.45    51.08    2003   21.34    2.21    0.00   23.56 156.70  56.69 100.02 123.57
    10.45    51.08    2004   21.34    2.71    0.00   24.05 136.21  56.23  79.98 104.03
    10.45    51.08    2005   21.34    2.58    0.00   23.93 133.94  49.31  84.63 108.55
    10.45    51.08    2006   21.34    2.33    0.00   23.68 136.75  48.97  87.78 111.45
    10.45    51.08    2007   21.34    2.65    0.00   23.99 127.16  52.44  74.73  98.72
    10.45    51.08    2008   21.34    2.81    0.00   24.15 149.97  53.18  96.80 120.95
    10.45    51.08    2009   21.34    2.37    0.00   23.71 132.97  49.44  83.52 107.23
    10.45    51.08    2010   20.03    2.62    0.00   22.64 115.41  40.10  75.31  97.95
    10.45    51.08    2011   20.03    2.47    0.00   22.50 144.02  53.54  90.49 112.98
    10.45    51.08    2012   20.03    2.62    0.00   22.65 139.07  51.60  87.48 110.13
