      Lon      Lat    Year    Surf   Drain    Base   Total
    10.45    51.08    1951    73.5   110.6     6.6   190.6
    10.45    51.08    1952   141.2   190.8    17.2   349.2
    10.45    51.08    1953    31.9    55.8     2.9    90.7
    10.45    51.08    1954    18.4   143.4     0.8   162.6
    10.45    51.08    1955    49.1   144.0     9.2   202.3
    10.45    51.08    1956   110.8   164.8    15.2   290.8
    10.45    51.08    1957     9.1   132.4     0.5   142.0
    10.45    51.08    1958    94.7   178.2     9.3   282.2
    10.45    51.08    1959     0.0    32.4     0.0    32.4
    10.45    51.08    1960    73.4   122.1     3.6   199.1
    10.45    51.08    1961    74.0   153.7    10.7   238.4
    10.45    51.08    1962     4.7    81.4     3.0    89.0
    10.45    51.08    1963     7.6    90.9     3.0   101.5
    10.45    51.08    1964    27.2    72.3     1.2   100.6
    10.45    51.08    1965    29.4   125.1     4.5   159.0
    10.45    51.08    1966    87.1   163.7     8.8   259.6
    10.45    51.08    1967     0.4   125.6     0.2   126.1
    10.45    51.08    1968    26.7   104.5     1.7   132.9
    10.45    51.08    1969    46.5   115.5    11.3   173.4
    10.45    51.08    1970    37.8   173.9     7.0   218.7
    10.45    51.08    1971    12.5    55.4     0.2    68.0
    10.45    51.08    1972    45.7    78.9     9.6   134.1
    10.45    51.08    1973    10.8    91.2     2.4   104.4
    10.45    51.08    1974    26.7   153.4     1.9   182.0
    10.45    51.08    1975     0.0    59.5     0.0    59.5
    10.45    51.08    1976     8.0    64.3     2.1    74.5
    10.45    51.08    1977    76.1   141.5     7.8   225.4
    10.45    51.08    1978     1.9    82.1     0.5    84.4
    10.45    51.08    1979    57.7   120.1     4.1   181.8
    10.45    51.08    1980     3.6    96.7     0.4   100.7
    10.45    51.08    1981    67.5   142.2     7.0   216.7
    10.45    51.08    1982    12.0    49.3     1.0    62.3
    10.45    51.08    1983    47.8    60.1     5.1   113.0
    10.45    51.08    1984    35.3   148.0    14.9   198.2
    10.45    51.08    1985     3.3    54.2     0.6    58.1
    10.45    51.08    1986    41.5   126.8     6.8   175.1
    10.45    51.08    1987    94.5   190.7    13.6   298.7
    10.45    51.08    1988    30.3   115.6     4.4   150.2
    10.45    51.08    1989    17.4    77.0     1.5    95.8
    10.45    51.08    1990     6.1    79.4     2.1    87.5
    10.45    51.08    1991    11.4    36.6     1.4    49.4
    10.45    51.08    1992    74.3    96.1     5.4   175.8
    10.45    51.08    1993    45.2   131.0     4.6   180.8
    10.45    51.08    1994    55.2   145.6     2.6   203.4
    10.45    51.08    1995    38.6   142.1     6.1   186.8
    10.45    51.08    1996    37.1   142.3     3.4   182.8
    10.45    51.08    1997    27.1   120.1     8.4   155.7
    10.45    51.08    1998    37.5   149.5     3.5   190.5
    10.45    51.08    1999    17.6   102.5     3.7   123.7
    10.45    51.08    2000    11.8   119.9     2.5   134.2
    10.45    51.08    2001    23.9   153.2     5.3   182.5
    10.45    51.08    2002   126.5   209.5     7.2   343.3
    10.45    51.08    2003     7.2    44.5     0.8    52.6
    10.45    51.08    2004    57.7    72.4     7.1   137.2
    10.45    51.08    2005     6.9    85.7     2.0    94.7
    10.45    51.08    2006    18.0    85.1     2.5   105.6
    10.45    51.08    2007   138.2   154.5     6.5   299.2
    10.45    51.08    2008    14.1    97.2     1.1   112.5
    10.45    51.08    2009    43.6   148.9     2.6   195.0
    10.45    51.08    2010   113.5   141.4    13.3   268.2
    10.45    51.08    2011    63.2    55.9     0.9   120.0
    10.45    51.08    2012    21.2    97.3     1.0   119.6
