      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   5.981  12.666  21.910  18.324   5.547  32.985  17.539  21.629   9.809   3.372   5.429   6.210
    10.45    51.08    1952   4.381   3.348  27.182  30.524  23.845  13.202   3.285   1.630  13.789  10.715   6.999   3.940
    10.45    51.08    1953   0.148   5.289  22.825   8.428   4.768  14.190  22.043  10.254   2.411   1.741   3.955   2.738
    10.45    51.08    1954   4.406   9.927  20.314  23.987  10.373   5.236  18.721  19.778  10.061   8.221   3.867   5.139
    10.45    51.08    1955   0.731   6.069  10.185  28.341  10.633  10.751  21.920  25.910  11.470   4.971   4.393   5.674
    10.45    51.08    1956   6.471   0.000  21.979  28.063  19.006  24.742  34.846  19.872   8.621   5.436   4.199   4.109
    10.45    51.08    1957   6.907  12.375  19.925  12.966   9.455  14.014  19.161  18.393   8.682  10.204   9.475   4.906
    10.45    51.08    1958   7.597  11.001   9.240  25.798  21.282  23.483  24.148  16.333   7.463   7.428   5.625   5.900
    10.45    51.08    1959   7.773   9.731  14.602  14.536  12.166  17.810   2.273  13.190   3.563   0.467   7.045   4.431
    10.45    51.08    1960   4.825  11.347  17.383  15.775  22.760  15.176   5.428  12.833  14.199  11.103   6.592   2.191
    10.45    51.08    1961   1.417  15.386  15.554  23.413  27.329  31.192   5.278   8.428   4.357   0.937   2.582   4.261
    10.45    51.08    1962   7.496  11.982   9.493  26.976  14.236   5.680  10.375   5.115   5.447   1.593   0.539   1.862
    10.45    51.08    1963   0.000   0.000  19.992  27.292  12.448  13.443  20.175  22.890   8.797   6.894   5.097   4.655
    10.45    51.08    1964   3.539  12.268  14.784  26.635  27.776  15.000   7.706   8.051   3.939   2.522   3.634   3.236
    10.45    51.08    1965   5.962   0.000  14.392  23.266  22.789  24.883  14.526  13.774   8.229   3.053   1.231   5.474
    10.45    51.08    1966   4.405  10.010  18.177  23.639  15.357  18.736  38.485  22.248  14.341   5.337   7.782   5.723
    10.45    51.08    1967   6.608  11.283  21.269  20.040  14.414  30.463  19.095  13.265  16.855   9.492   4.310   4.322
    10.45    51.08    1968   4.614  11.791  25.894  17.783  18.909  14.448   8.613   8.820  11.716  11.160   6.310   3.202
    10.45    51.08    1969   5.369   3.169   0.000  32.828  35.002  35.115  12.808   5.762  18.889   5.082   2.956   1.488
    10.45    51.08    1970   0.000   2.553  14.226  35.367  27.902  12.742  10.364  29.445  12.259   6.772   5.266   4.736
    10.45    51.08    1971   3.329   8.980  14.109  17.686  15.688  17.260   6.779   1.192   2.069   3.880   3.725   5.598
    10.45    51.08    1972   3.795   7.973  26.734  18.737  21.458  29.093  24.094  35.140  10.498   4.059   4.192   5.339
    10.45    51.08    1973   5.350   9.852  22.950  19.400  19.020   8.556   7.082   7.453   8.436   9.599   7.156   5.568
    10.45    51.08    1974   7.084  10.400  21.192  13.003  14.800  20.603  27.525  13.641   8.662   5.486   9.027   6.762
    10.45    51.08    1975   8.079  11.183  21.704  30.931  23.068  17.519  18.368   4.713   6.706   3.818   3.421   2.893
    10.45    51.08    1976   6.803  10.125  14.980  15.761   9.988  24.091   2.013   2.685   1.012   3.924   2.958   3.429
    10.45    51.08    1977   4.245  10.087  21.855  20.785  12.962  20.298  29.194  29.520  17.252   8.794   8.873   5.741
    10.45    51.08    1978   6.140   5.540  18.884  15.598  18.725   7.969  14.114  15.136  10.879  12.002   4.623   3.746
    10.45    51.08    1979   0.000   0.000  18.068  32.339  24.672  14.506  21.149  11.948   6.876   4.112   5.924   6.316
    10.45    51.08    1980   5.250  11.258  12.150  21.855  22.542  12.919  15.562   5.250   4.992   6.203   4.490   4.003
    10.45    51.08    1981   2.667   8.717  25.550  17.294  34.975  29.063  10.079  25.454  10.460  14.515   9.748   1.952
    10.45    51.08    1982   5.968  11.358  17.304  14.938  19.839   6.168   8.736   7.054   0.701   3.925   2.328   2.174
    10.45    51.08    1983   3.892   5.882  14.804  40.393  27.708  22.186   7.359  15.338   9.532   4.339   1.520   1.792
    10.45    51.08    1984   3.856   9.394  18.066  35.959  32.675  31.986  21.221  26.899  17.327  13.444   6.602   5.836
    10.45    51.08    1985   2.473  10.298  15.387  21.108  10.689  16.012  16.636  13.454   8.545   1.939   0.638   3.668
    10.45    51.08    1986   6.856   3.741  22.052  32.754  32.718  29.975   9.256  12.648  15.333  10.500   6.255   3.833
    10.45    51.08    1987   1.808   4.341   7.432  27.283  21.316  43.756  25.919  29.464  18.211  11.698   4.562   5.508
