      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.000   0.000   0.077   0.322   1.505   7.935   1.894   3.568   1.961   0.707   0.882   0.000
    10.45    51.08    1952   0.000   0.000   0.132   1.016   3.256   1.636   0.803   1.836   4.983   2.767   1.708   0.000
    10.45    51.08    1953   0.000   0.000   0.025   0.539   2.213   4.415   2.287   1.903   0.901   1.267   0.000   0.000
    10.45    51.08    1954   0.000   0.000   0.023   0.558   1.029   2.095   5.141   3.421   2.003   2.072   0.589   0.000
    10.45    51.08    1955   0.000   0.000   0.013   0.397   1.533   2.536   4.539   2.406   1.958   1.090   0.104   0.000
    10.45    51.08    1956   0.000   0.000   0.000   0.730   1.353   5.627   7.229   3.263   0.929   2.113   0.779   0.000
    10.45    51.08    1957   0.003   0.026   0.429   0.599   2.589   2.902   4.067   1.955   3.004   0.830   0.000   0.000
    10.45    51.08    1958   0.000   0.234   0.535   0.461   3.508   3.417   3.287   3.570   2.382   1.851   0.972   0.000
    10.45    51.08    1959   0.000   0.000   0.178   1.249   1.828   1.855   0.566   2.410   0.020   1.004   0.008   0.000
    10.45    51.08    1960   0.000   0.000   0.049   0.647   2.673   1.165   1.908   2.978   2.243   2.751   0.886   0.000
    10.45    51.08    1961   0.000   0.000   0.300   3.576   4.841   3.636   1.933   1.915   0.957   0.593   0.000   0.000
    10.45    51.08    1962   0.000   0.001   0.018   0.351   2.128   0.668   3.032   1.360   1.390   0.332   0.164   0.000
    10.45    51.08    1963   0.000   0.000   0.041   0.471   1.292   4.629   1.579   5.424   1.787   1.296   1.636   0.000
    10.45    51.08    1964   0.000   0.000   0.006   0.970   3.039   2.074   2.250   2.694   1.285   1.134   0.081   0.002
    10.45    51.08    1965   0.005   0.000   0.009   0.838   1.194   4.816   3.173   2.213   2.218   0.407   0.771   0.000
    10.45    51.08    1966   0.001   0.030   0.251   1.186   2.224   3.901   4.188   3.378   0.786   1.887   0.280   0.001
    10.45    51.08    1967   0.000   0.017   0.328   0.383   2.069   4.147   1.956   2.931   2.787   1.424   0.296   0.000
    10.45    51.08    1968   0.001   0.002   0.018   2.040   1.727   2.991   1.850   2.730   2.689   1.730   0.429   0.000
    10.45    51.08    1969   0.001   0.001   0.001   0.633   3.517   4.951   0.482   3.943   1.675   0.667   0.863   0.000
    10.45    51.08    1970   0.000   0.002   0.005   0.298   3.056   2.496   2.033   6.003   0.951   2.646   1.312   0.129
    10.45    51.08    1971   0.000   0.001   0.026   0.942   1.924   3.703   0.632   1.961   1.388   1.229   0.692   0.001
    10.45    51.08    1972   0.000   0.000   0.091   0.626   3.144   3.856   4.750   5.151   1.304   0.985   0.635   0.000
    10.45    51.08    1973   0.001   0.001   0.001   0.227   1.698   2.370   3.018   1.413   2.474   1.946   0.516   0.001
    10.45    51.08    1974   0.001   0.098   0.248   0.564   3.052   4.833   3.577   2.969   1.442   2.849   0.001   0.002
    10.45    51.08    1975   0.000   0.001   0.052   0.326   2.379   4.055   1.567   2.417   1.591   1.563   0.206   0.000
    10.45    51.08    1976   0.002   0.000   0.008   0.379   1.922   3.052   1.539   1.870   1.904   1.217   0.773   0.001
    10.45    51.08    1977   0.001   0.002   0.648   0.570   1.597   4.957   3.725   5.896   1.858   1.666   1.216   0.001
    10.45    51.08    1978   0.001   0.001   0.084   0.288   2.922   1.342   3.020   3.537   3.512   1.133   0.000   0.002
    10.45    51.08    1979   0.002   0.001   0.046   0.412   1.628   3.734   3.342   1.235   2.569   0.398   1.283   0.002
    10.45    51.08    1980   0.002   0.001   0.013   0.697   1.186   3.289   2.922   0.951   2.555   1.110   0.176   0.003
    10.45    51.08    1981   0.018   0.001   0.382   0.922   3.566   2.596   1.517   3.607   1.577   1.491   0.002   0.001
    10.45    51.08    1982   0.001   0.000   0.006   0.305   1.123   2.010   2.454   0.794   0.502   1.698   0.609   0.001
    10.45    51.08    1983   0.002   0.001   0.176   1.791   4.595   1.252   1.416   2.084   2.511   0.212   0.099   0.001
    10.45    51.08    1984   0.002   0.002   0.000   0.134   5.032   2.533   2.820   3.039   2.550   2.575   0.096   0.001
    10.45    51.08    1985   0.001   0.001   0.009   0.374   1.829   3.210   2.428   2.484   1.057   0.177   0.505   0.002
    10.45    51.08    1986   0.002   0.001   0.024   0.420   3.955   2.543   2.475   2.991   2.133   1.015   0.312   0.001
    10.45    51.08    1987   0.002   0.002   0.005   0.150   2.897   6.123   3.553   3.511   3.321   0.880   1.312   0.001
    10.45    51.08    1988   0.001   0.002   0.022   0.279   1.225   2.630   3.508   1.025   1.239   0.755   0.780   0.002
    10.45    51.08    1989   0.001   0.001   0.157   1.607   1.693   3.010   2.542   1.300   2.046   1.414   0.857   0.001
    10.45    51.08    1990   0.001   0.162   0.554   2.086   0.734   4.183   1.215   2.237   2.637   0.512   0.003   0.001
    10.45    51.08    1991   0.001   0.001   0.276   0.528   1.650   3.416   1.144   3.025   1.014   0.866   0.319   0.001
    10.45    51.08    1992   0.001   0.001   0.583   0.316   1.308   3.947   3.590   1.835   1.270   2.045   0.201   0.001
    10.45    51.08    1993   0.002   0.004   0.107   0.412   3.707   3.406   4.136   2.400   2.731   1.677   0.186   0.002
    10.45    51.08    1994   0.002   0.002   0.389   1.315   4.594   2.568   4.485   4.646   2.442   1.118   0.387   0.001
    10.45    51.08    1995   0.002   0.003   0.087   1.137   3.381   4.255   4.876   2.227   3.484   0.619   0.652   0.001
    10.45    51.08    1996   0.000   0.002   0.007   0.620   4.383   3.733   3.912   4.299   1.740   1.958   1.232   0.001
    10.45    51.08    1997   0.001   0.054   0.787   0.826   2.564   1.665   6.110   2.501   0.682   1.884   0.203   0.001
    10.45    51.08    1998   0.001   0.075   0.511   2.128   2.154   3.321   3.899   1.510   3.688   3.270   0.003   0.000
    10.45    51.08    1999   0.001   0.002   0.245   0.778   3.356   4.078   3.500   2.660   1.321   0.779   0.485   0.001
