      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.011   0.007   0.008   0.025   0.051   0.047   0.067   0.056   0.054   0.025   0.013   0.008
    10.45    51.08    1952   0.008   0.001   0.010   0.035   0.046   0.064   0.103   0.090   0.032   0.016   0.009   0.002
    10.45    51.08    1953   0.002   0.003   0.017   0.045   0.067   0.066   0.068   0.072   0.062   0.041   0.016   0.011
    10.45    51.08    1954   0.002   0.000   0.012   0.020   0.053   0.082   0.053   0.052   0.048   0.025   0.014   0.008
    10.45    51.08    1955   0.002   0.004   0.003   0.020   0.053   0.062   0.068   0.052   0.051   0.030   0.010   0.006
    10.45    51.08    1956   0.009   0.000   0.005   0.019   0.051   0.053   0.055   0.054   0.049   0.033   0.009   0.009
    10.45    51.08    1957   0.003   0.013   0.022   0.030   0.045   0.076   0.082   0.055   0.040   0.022   0.013   0.005
    10.45    51.08    1958   0.007   0.010   0.003   0.014   0.050   0.055   0.068   0.071   0.062   0.031   0.011   0.007
    10.45    51.08    1959   0.008   0.002   0.023   0.040   0.061   0.071   0.115   0.084   0.068   0.039   0.011   0.005
    10.45    51.08    1960   0.007   0.003   0.013   0.030   0.045   0.080   0.084   0.070   0.048   0.024   0.015   0.007
    10.45    51.08    1961   0.003   0.009   0.026   0.032   0.035   0.055   0.093   0.070   0.083   0.060   0.017   0.006
    10.45    51.08    1962   0.007   0.006   0.001   0.025   0.043   0.074   0.067   0.087   0.054   0.041   0.012   0.002
    10.45    51.08    1963   0.000   0.000   0.006   0.025   0.053   0.073   0.082   0.062   0.052   0.025   0.016   0.003
    10.45    51.08    1964   0.000   0.003   0.003   0.025   0.052   0.094   0.095   0.079   0.066   0.028   0.012   0.007
    10.45    51.08    1965   0.006   0.001   0.004   0.026   0.042   0.055   0.069   0.063   0.045   0.033   0.009   0.006
    10.45    51.08    1966   0.003   0.008   0.016   0.028   0.070   0.084   0.056   0.068   0.052   0.050   0.008   0.007
    10.45    51.08    1967   0.006   0.012   0.021   0.024   0.065   0.056   0.102   0.092   0.049   0.047   0.017   0.004
    10.45    51.08    1968   0.002   0.008   0.008   0.038   0.049   0.074   0.103   0.084   0.055   0.031   0.014   0.002
    10.45    51.08    1969   0.003   0.004   0.001   0.018   0.051   0.057   0.100   0.108   0.045   0.037   0.021   0.001
    10.45    51.08    1970   0.000   0.000   0.003   0.017   0.045   0.087   0.094   0.063   0.058   0.030   0.015   0.008
    10.45    51.08    1971   0.002   0.011   0.006   0.031   0.065   0.063   0.094   0.113   0.062   0.039   0.013   0.008
    10.45    51.08    1972   0.003   0.005   0.016   0.029   0.041   0.056   0.077   0.055   0.041   0.023   0.015   0.006
    10.45    51.08    1973   0.003   0.008   0.011   0.019   0.053   0.083   0.106   0.091   0.066   0.023   0.010   0.002
    10.45    51.08    1974   0.012   0.012   0.014   0.037   0.041   0.052   0.057   0.077   0.062   0.020   0.011   0.010
    10.45    51.08    1975   0.017   0.009   0.014   0.017   0.050   0.058   0.088   0.105   0.066   0.035   0.011   0.006
    10.45    51.08    1976   0.010   0.001   0.006   0.029   0.060   0.067   0.122   0.078   0.059   0.039   0.012   0.006
    10.45    51.08    1977   0.002   0.010   0.021   0.016   0.049   0.059   0.062   0.048   0.041   0.028   0.016   0.004
    10.45    51.08    1978   0.008   0.002   0.016   0.025   0.042   0.082   0.061   0.070   0.040   0.025   0.012   0.004
    10.45    51.08    1979   0.000   0.000   0.008   0.019   0.044   0.091   0.059   0.071   0.055   0.033   0.008   0.009
    10.45    51.08    1980   0.002   0.008   0.011   0.020   0.039   0.071   0.055   0.091   0.060   0.027   0.009   0.004
    10.45    51.08    1981   0.004   0.003   0.015   0.035   0.044   0.068   0.086   0.065   0.054   0.026   0.012   0.003
    10.45    51.08    1982   0.001   0.004   0.012   0.028   0.054   0.104   0.105   0.104   0.083   0.043   0.022   0.009
    10.45    51.08    1983   0.015   0.005   0.015   0.022   0.044   0.068   0.112   0.086   0.062   0.040   0.014   0.004
    10.45    51.08    1984   0.013   0.004   0.006   0.019   0.035   0.050   0.063   0.066   0.044   0.029   0.013   0.006
    10.45    51.08    1985   0.000   0.002   0.008   0.032   0.060   0.065   0.080   0.075   0.055   0.050   0.009   0.009
    10.45    51.08    1986   0.004   0.001   0.006   0.015   0.060   0.059   0.094   0.084   0.033   0.031   0.014   0.008
    10.45    51.08    1987   0.002   0.001   0.001   0.028   0.040   0.039   0.077   0.052   0.054   0.027   0.013   0.004
    10.45    51.08    1988   0.014   0.010   0.008   0.025   0.067   0.075   0.069   0.088   0.060   0.043   0.013   0.006
    10.45    51.08    1989   0.012   0.009   0.020   0.029   0.055   0.065   0.087   0.085   0.060   0.033   0.014   0.005
    10.45    51.08    1990   0.008   0.017   0.024   0.024   0.064   0.049   0.070   0.092   0.044   0.035   0.014   0.004
    10.45    51.08    1991   0.011   0.001   0.024   0.028   0.033   0.058   0.100   0.068   0.067   0.040   0.012   0.004
    10.45    51.08    1992   0.009   0.007   0.016   0.022   0.062   0.075   0.069   0.088   0.042   0.023   0.010   0.006
    10.45    51.08    1993   0.008   0.001   0.011   0.032   0.078   0.056   0.053   0.064   0.036   0.025   0.005   0.004
    10.45    51.08    1994   0.010   0.005   0.015   0.022   0.055   0.057   0.088   0.083   0.036   0.020   0.015   0.008
    10.45    51.08    1995   0.004   0.013   0.013   0.023   0.044   0.043   0.077   0.083   0.035   0.029   0.011   0.001
    10.45    51.08    1996   0.000   0.000   0.004   0.024   0.038   0.066   0.050   0.059   0.030   0.023   0.012   0.003
    10.45    51.08    1997   0.000   0.009   0.019   0.019   0.053   0.074   0.063   0.076   0.054   0.028   0.008   0.004
    10.45    51.08    1998   0.013   0.008   0.017   0.029   0.055   0.064   0.059   0.078   0.031   0.017   0.007   0.002
    10.45    51.08    1999   0.012   0.004   0.014   0.030   0.056   0.059   0.069   0.075   0.073   0.036   0.012   0.007
    10.45    51.08    2000   0.006   0.010   0.015   0.031   0.083   0.082   0.059   0.076   0.044   0.030   0.018   0.012
    10.45    51.08    2001   0.006   0.011   0.011   0.019   0.055   0.056   0.068   0.100   0.047   0.038   0.013   0.004
    10.45    51.08    2002   0.002   0.019   0.014   0.021   0.048   0.064   0.066   0.067   0.052   0.019   0.011   0.004
    10.45    51.08    2003   0.004   0.002   0.013   0.028   0.066   0.078   0.091   0.111   0.050   0.021   0.011   0.006
    10.45    51.08    2004   0.007   0.010   0.011   0.028   0.036   0.061   0.060   0.094   0.059   0.032   0.015   0.004
    10.45    51.08    2005   0.011   0.001   0.007   0.032   0.047   0.075   0.080   0.051   0.051   0.028   0.018   0.005
    10.45    51.08    2006   0.002   0.002   0.002   0.026   0.058   0.057   0.096   0.060   0.053   0.035   0.018   0.013
    10.45    51.08    2007   0.017   0.010   0.020   0.038   0.060   0.062   0.058   0.050   0.037   0.021   0.009   0.005
    10.45    51.08    2008   0.011   0.012   0.016   0.018   0.058   0.076   0.071   0.087   0.047   0.023   0.010   0.004
    10.45    51.08    2009   0.001   0.004   0.013   0.040   0.047   0.051   0.070   0.082   0.052   0.022   0.012   0.006
    10.45    51.08    2010   0.000   0.001   0.012   0.032   0.035   0.068   0.088   0.046   0.035   0.018   0.012   0.000
    10.45    51.08    2011   0.006   0.005   0.012   0.045   0.067   0.077   0.055   0.059   0.046   0.030   0.011   0.008
    10.45    51.08    2012   0.011   0.001   0.023   0.029   0.062   0.049   0.057   0.070   0.052   0.027   0.010   0.004
