      Lon      Lat    Year       Jan       Feb       Mar       Apr       May       Jun       Jul       Aug       Sep       Oct       Nov       Dec
    10.45    51.08    1951     0.000     3.204     5.317     2.672     0.000    63.166     0.000     0.000     0.000     0.000    28.712     9.526
    10.45    51.08    1952    19.580    31.098    53.129    24.635     4.011     0.000     0.000     0.000    69.004    16.518    66.366    28.722
    10.45    51.08    1953    30.992    49.532     0.524     0.000     0.000     6.050     0.000     0.000     0.000     0.000     0.000     0.000
    10.45    51.08    1954    11.170     0.000     0.059    21.508     0.000     0.000     0.000     0.000     0.000    10.060    10.295    34.926
    10.45    51.08    1955    30.644    29.144    38.414    15.611     0.000     0.000     5.275    12.029     0.000     2.896    10.599    37.261
    10.45    51.08    1956    19.754     0.000    50.994    31.616     0.000    23.497    95.955    10.325     1.137    11.221    20.240    12.134
    10.45    51.08    1957    24.246    28.232    15.598     3.329     0.000     0.000     0.000     0.000     0.000     1.147    17.845    21.564
    10.45    51.08    1958    37.418    20.635    74.248    17.187     6.774    27.749    22.242     0.000     0.000     2.617    20.878    29.912
    10.45    51.08    1959    18.729     4.514     4.727     1.219     0.333     0.000     0.000     0.000     0.000     0.000     0.000     0.000
    10.45    51.08    1960     4.024     2.237    16.558     6.005    17.366     0.000     0.000     0.000     0.000    53.073    24.460    33.003
    10.45    51.08    1961    45.869    33.988    11.294    44.629    44.358    45.402     0.000     0.000     0.000     0.000     0.000     9.572
    10.45    51.08    1962     8.255    21.319    22.007    12.848     6.179     0.000     0.000     0.000     0.000     0.000     0.000     0.000
    10.45    51.08    1963     0.000     0.000    13.018     7.867     1.796     0.000     1.543     0.148     0.000     0.734    25.592     3.248
    10.45    51.08    1964     6.788    22.801    10.911    20.927    35.233     0.000     0.000     0.000     0.000     0.000     0.000     0.000
    10.45    51.08    1965     0.000     0.000    17.232    14.854     5.569     9.665     0.000     0.000     0.000     0.000     0.000    59.380
    10.45    51.08    1966    16.858    33.264    15.052    23.675     0.000     0.000    23.502    21.969     2.494    40.311    31.047    43.779
    10.45    51.08    1967    19.123    15.680    25.527     9.126     0.544     6.141     0.000     0.000     0.000     5.502    11.688    19.919
    10.45    51.08    1968    28.787    22.211    23.838     3.683     6.889     0.000     0.000     0.000     0.000    13.428    14.674     6.026
    10.45    51.08    1969    19.989    10.987    17.937    66.272    37.269    19.166     0.000     0.000     2.780     0.000     0.000     0.000
    10.45    51.08    1970     0.000    60.078    26.262    30.892    19.644     1.377     0.000    11.789     0.000     6.839    21.769    14.522
    10.45    51.08    1971    17.901    16.665     8.657     5.853     0.000     0.182     0.000     0.000     0.000     0.000    12.981     0.000
    10.45    51.08    1972     0.000     0.000     3.152     5.080     5.198     7.611    23.586    42.256     0.000     1.015    16.663     1.900
