      Lon      Lat    Year     dep     fix    fert    flux   leach     NEE
    10.45    51.08    1951  -11.23   -2.39   -0.00    0.77    0.17  -12.68
    10.45    51.08    1952  -11.23   -2.24   -0.00    0.88    0.81  -11.78
    10.45    51.08    1953  -11.23   -2.36   -0.00    0.88    0.26  -12.45
    10.45    51.08    1954  -11.23   -2.78   -0.00    0.78    0.35  -12.88
    10.45    51.08    1955  -11.23   -2.65   -0.00    0.68    0.61  -12.58
    10.45    51.08    1956  -11.23   -2.77   -0.00    0.65    0.65  -12.70
    10.45    51.08    1957  -11.23   -2.80   -0.00    0.82    0.51  -12.70
    10.45    51.08    1958  -11.23   -2.50   -0.00    0.82    0.74  -12.17
    10.45    51.08    1959  -11.23   -2.36   -0.00    0.86    0.14  -12.60
    10.45    51.08    1960  -14.10   -2.85   -0.00    0.68    0.39  -15.88
    10.45    51.08    1961  -14.10   -2.84   -0.00    0.78    0.61  -15.55
    10.45    51.08    1962  -14.10   -2.69   -0.00    0.76    0.33  -15.70
    10.45    51.08    1963  -14.10   -2.60   -0.00    0.75    0.22  -15.73
    10.45    51.08    1964  -14.10   -2.25   -0.00    0.93    0.34  -15.08
    10.45    51.08    1965  -14.10   -2.71   -0.00    0.69    0.37  -15.76
    10.45    51.08    1966  -14.10   -2.48   -0.00    0.69    0.76  -15.13
    10.45    51.08    1967  -14.10   -2.56   -0.00    0.79    0.56  -15.31
    10.45    51.08    1968  -14.10   -2.78   -0.00    0.78    0.44  -15.65
    10.45    51.08    1969  -14.10   -2.49   -0.00    0.81    0.58  -15.20
    10.45    51.08    1970  -16.97   -2.33   -0.00    0.77    0.72  -17.81
    10.45    51.08    1971  -16.97   -2.41   -0.00    0.95    0.26  -18.18
    10.45    51.08    1972  -16.97   -2.73   -0.00    0.66    0.20  -18.84
    10.45    51.08    1973  -16.97   -2.00   -0.00    1.02    0.38  -17.57
    10.45    51.08    1974  -16.97   -2.54   -0.00    0.77    0.65  -18.08
    10.45    51.08    1975  -16.97   -2.03   -0.00    1.01    0.30  -17.70
    10.45    51.08    1976  -16.97   -2.04   -0.00    1.04    0.25  -17.71
    10.45    51.08    1977  -16.97   -2.66   -0.00    0.72    0.52  -18.40
    10.45    51.08    1978  -16.97   -2.48   -0.00    0.85    0.34  -18.26
    10.45    51.08    1979  -16.97   -2.16   -0.00    0.93    0.56  -17.63
    10.45    51.08    1980  -17.99   -2.23   -0.00    0.92    0.45  -18.85
    10.45    51.08    1981  -17.99   -2.06   -0.00    0.83    0.67  -18.55
    10.45    51.08    1982  -17.99   -1.84   -0.00    1.16    0.24  -18.44
    10.45    51.08    1983  -17.99   -1.66   -0.00    0.94    0.23  -18.48
    10.45    51.08    1984  -17.99   -2.34   -0.00    0.68    0.63  -19.03
    10.45    51.08    1985  -17.99   -2.08   -0.00    0.92    0.23  -18.93
    10.45    51.08    1986  -17.99   -1.91   -0.00    0.92    0.55  -18.43
    10.45    51.08    1987  -17.99   -2.19   -0.00    0.73    0.80  -18.66
    10.45    51.08    1988  -17.99   -1.87   -0.00    1.06    0.56  -18.24
    10.45    51.08    1989  -17.99   -2.06   -0.00    1.06    0.35  -18.65
    10.45    51.08    1990  -19.66   -2.18   -0.00    1.00    0.35  -20.49
    10.45    51.08    1991  -19.66   -2.25   -0.00    1.04    0.18  -20.68
    10.45    51.08    1992  -19.66   -1.58   -0.00    1.03    0.45  -19.76
    10.45    51.08    1993  -19.66   -1.79   -0.00    0.88    0.64  -19.92
    10.45    51.08    1994  -19.66   -1.80   -0.00    1.04    0.70  -19.72
    10.45    51.08    1995  -19.66   -1.92   -0.00    0.92    0.66  -20.00
    10.45    51.08    1996  -19.66   -2.27   -0.00    0.78    0.63  -20.51
    10.45    51.08    1997  -19.66   -2.13   -0.00    1.05    0.61  -20.12
    10.45    51.08    1998  -19.66   -2.27   -0.00    1.00    0.75  -20.18
    10.45    51.08    1999  -19.66   -2.09   -0.00    0.99    0.51  -20.24
    10.45    51.08    2000  -21.34   -1.95   -0.00    1.03    0.67  -21.59
    10.45    51.08    2001  -21.34   -2.03   -0.00    0.95    0.80  -21.62
    10.45    51.08    2002  -21.34   -2.18   -0.00    0.85    0.98  -21.69
    10.45    51.08    2003  -21.34   -1.64   -0.00    1.13    0.25  -21.60
    10.45    51.08    2004  -21.34   -2.20   -0.00    0.95    0.37  -22.23
    10.45    51.08    2005  -21.34   -2.09   -0.00    0.97    0.49  -21.97
    10.45    51.08    2006  -21.34   -1.87   -0.00    1.01    0.47  -21.74
    10.45    51.08    2007  -21.34   -1.85   -0.00    0.91    0.78  -21.50
    10.45    51.08    2008  -21.34   -2.01   -0.00    1.11    0.56  -21.68
    10.45    51.08    2009  -21.34   -1.89   -0.00    0.99    0.74  -21.50
    10.45    51.08    2010  -20.03   -2.10   -0.00    0.91    0.66  -20.56
    10.45    51.08    2011  -20.03   -2.01   -0.00    1.07    0.36  -20.61
    10.45    51.08    2012  -20.03   -2.10   -0.00    1.02    0.45  -20.66
