      Lon      Lat    Year      NH3       NO      NO2      N2O       N2    NSoil    Total
    10.45    51.08    1951    0.000    0.000    0.000    0.000    0.000    0.771    0.771
    10.45    51.08    1952    0.000    0.000    0.000    0.000    0.000    0.882    0.882
    10.45    51.08    1953    0.000    0.000    0.000    0.000    0.000    0.885    0.885
    10.45    51.08    1954    0.000    0.000    0.000    0.000    0.000    0.782    0.782
    10.45    51.08    1955    0.000    0.000    0.000    0.000    0.000    0.680    0.680
    10.45    51.08    1956    0.000    0.000    0.000    0.000    0.000    0.653    0.653
    10.45    51.08    1957    0.000    0.000    0.000    0.000    0.000    0.821    0.821
    10.45    51.08    1958    0.000    0.000    0.000    0.000    0.000    0.822    0.822
    10.45    51.08    1959    0.000    0.000    0.000    0.000    0.000    0.861    0.861
    10.45    51.08    1960    0.000    0.000    0.000    0.000    0.000    0.683    0.683
    10.45    51.08    1961    0.000    0.000    0.000    0.000    0.000    0.784    0.784
    10.45    51.08    1962    0.000    0.000    0.000    0.000    0.000    0.759    0.759
    10.45    51.08    1963    0.000    0.000    0.000    0.000    0.000    0.749    0.749
    10.45    51.08    1964    0.000    0.000    0.000    0.000    0.000    0.934    0.934
    10.45    51.08    1965    0.000    0.000    0.000    0.000    0.000    0.693    0.693
    10.45    51.08    1966    0.000    0.000    0.000    0.000    0.000    0.687    0.687
    10.45    51.08    1967    0.000    0.000    0.000    0.000    0.000    0.790    0.790
    10.45    51.08    1968    0.000    0.000    0.000    0.000    0.000    0.784    0.784
    10.45    51.08    1969    0.000    0.000    0.000    0.000    0.000    0.812    0.812
    10.45    51.08    1970    0.000    0.000    0.000    0.000    0.000    0.773    0.773
    10.45    51.08    1971    0.000    0.000    0.000    0.000    0.000    0.946    0.946
    10.45    51.08    1972    0.000    0.000    0.000    0.000    0.000    0.662    0.662
    10.45    51.08    1973    0.000    0.000    0.000    0.000    0.000    1.016    1.016
    10.45    51.08    1974    0.000    0.000    0.000    0.000    0.000    0.773    0.773
    10.45    51.08    1975    0.000    0.000    0.000    0.000    0.000    1.007    1.007
    10.45    51.08    1976    0.000    0.000    0.000    0.000    0.000    1.044    1.044
    10.45    51.08    1977    0.000    0.000    0.000    0.000    0.000    0.717    0.717
    10.45    51.08    1978    0.000    0.000    0.000    0.000    0.000    0.851    0.851
    10.45    51.08    1979    0.000    0.000    0.000    0.000    0.000    0.931    0.931
    10.45    51.08    1980    0.000    0.000    0.000    0.000    0.000    0.921    0.921
    10.45    51.08    1981    0.000    0.000    0.000    0.000    0.000    0.827    0.827
    10.45    51.08    1982    0.000    0.000    0.000    0.000    0.000    1.156    1.156
    10.45    51.08    1983    0.000    0.000    0.000    0.000    0.000    0.943    0.943
    10.45    51.08    1984    0.000    0.000    0.000    0.000    0.000    0.678    0.678
    10.45    51.08    1985    0.000    0.000    0.000    0.000    0.000    0.919    0.919
    10.45    51.08    1986    0.000    0.000    0.000    0.000    0.000    0.925    0.925
    10.45    51.08    1987    0.000    0.000    0.000    0.000    0.000    0.725    0.725
    10.45    51.08    1988    0.000    0.000    0.000    0.000    0.000    1.062    1.062
    10.45    51.08    1989    0.000    0.000    0.000    0.000    0.000    1.057    1.057
    10.45    51.08    1990    0.000    0.000    0.000    0.000    0.000    0.998    0.998
    10.45    51.08    1991    0.000    0.000    0.000    0.000    0.000    1.042    1.042
    10.45    51.08    1992    0.000    0.000    0.000    0.000    0.000    1.025    1.025
    10.45    51.08    1993    0.000    0.000    0.000    0.000    0.000    0.878    0.878
    10.45    51.08    1994    0.000    0.000    0.000    0.000    0.000    1.038    1.038
    10.45    51.08    1995    0.000    0.000    0.000    0.000    0.000    0.918    0.918
    10.45    51.08    1996    0.000    0.000    0.000    0.000    0.000    0.783    0.783
    10.45    51.08    1997    0.000    0.000    0.000    0.000    0.000    1.053    1.053
    10.45    51.08    1998    0.000    0.000    0.000    0.000    0.000    0.995    0.995
    10.45    51.08    1999    0.000    0.000    0.000    0.000    0.000    0.989    0.989
    10.45    51.08    2000    0.000    0.000    0.000    0.000    0.000    1.030    1.030
    10.45    51.08    2001    0.000    0.000    0.000    0.000    0.000    0.948    0.948
    10.45    51.08    2002    0.000    0.000    0.000    0.000    0.000    0.850    0.850
    10.45    51.08    2003    0.000    0.000    0.000    0.000    0.000    1.128    1.128
    10.45    51.08    2004    0.000    0.000    0.000    0.000    0.000    0.950    0.950
    10.45    51.08    2005    0.000    0.000    0.000    0.000    0.000    0.972    0.972
    10.45    51.08    2006    0.000    0.000    0.000    0.000    0.000    1.007    1.007
    10.45    51.08    2007    0.000    0.000    0.000    0.000    0.000    0.909    0.909
    10.45    51.08    2008    0.000    0.000    0.000    0.000    0.000    1.106    1.106
    10.45    51.08    2009    0.000    0.000    0.000    0.000    0.000    0.989    0.989
    10.45    51.08    2010    0.000    0.000    0.000    0.000    0.000    0.907    0.907
    10.45    51.08    2011    0.000    0.000    0.000    0.000    0.000    1.070    1.070
    10.45    51.08    2012    0.000    0.000    0.000    0.000    0.000    1.020    1.020
