      Lon      Lat    Year     VegN  LitterN    SoilN     Total
    10.45    51.08    1951   0.0812   0.0455   1.2499    1.3766
    10.45    51.08    1952   0.0753   0.0508   1.2500    1.3762
    10.45    51.08    1953   0.0772   0.0485   1.2502    1.3759
    10.45    51.08    1954   0.0793   0.0476   1.2503    1.3772
    10.45    51.08    1955   0.0727   0.0542   1.2517    1.3786
    10.45    51.08    1956   0.0735   0.0538   1.2529    1.3802
    10.45    51.08    1957   0.0745   0.0526   1.2533    1.3804
    10.45    51.08    1958   0.0765   0.0513   1.2533    1.3811
    10.45    51.08    1959   0.0604   0.0644   1.2552    1.3799
    10.45    51.08    1960   0.0629   0.0629   1.2559    1.3817
    10.45    51.08    1961   0.0649   0.0607   1.2568    1.3825
    10.45    51.08    1962   0.0662   0.0597   1.2575    1.3834
    10.45    51.08    1963   0.0680   0.0588   1.2580    1.3848
    10.45    51.08    1964   0.0697   0.0572   1.2578    1.3847
    10.45    51.08    1965   0.0713   0.0567   1.2588    1.3868
    10.45    51.08    1966   0.0526   0.0734   1.2619    1.3878
    10.45    51.08    1967   0.0552   0.0707   1.2628    1.3888
    10.45    51.08    1968   0.0569   0.0691   1.2637    1.3897
    10.45    51.08    1969   0.0588   0.0675   1.2643    1.3907
    10.45    51.08    1970   0.0601   0.0667   1.2652    1.3919
    10.45    51.08    1971   0.0617   0.0643   1.2656    1.3915
    10.45    51.08    1972   0.0633   0.0639   1.2670    1.3942
    10.45    51.08    1973   0.0649   0.0617   1.2667    1.3934
    10.45    51.08    1974   0.0662   0.0608   1.2679    1.3949
    10.45    51.08    1975   0.0670   0.0595   1.2679    1.3943
    10.45    51.08    1976   0.0682   0.0575   1.2675    1.3931
    10.45    51.08    1977   0.0692   0.0576   1.2686    1.3953
    10.45    51.08    1978   0.0699   0.0569   1.2692    1.3960
    10.45    51.08    1979   0.0711   0.0557   1.2691    1.3959
    10.45    51.08    1980   0.0721   0.0545   1.2690    1.3956
    10.45    51.08    1981   0.0599   0.0652   1.2706    1.3957
    10.45    51.08    1982   0.0614   0.0618   1.2697    1.3929
    10.45    51.08    1983   0.0619   0.0606   1.2697    1.3923
    10.45    51.08    1984   0.0631   0.0608   1.2708    1.3946
    10.45    51.08    1985   0.0639   0.0589   1.2711    1.3939
    10.45    51.08    1986   0.0655   0.0577   1.2707    1.3939
    10.45    51.08    1987   0.0670   0.0574   1.2714    1.3958
    10.45    51.08    1988   0.0683   0.0550   1.2710    1.3942
    10.45    51.08    1989   0.0697   0.0531   1.2702    1.3929
    10.45    51.08    1990   0.0715   0.0516   1.2696    1.3928
    10.45    51.08    1991   0.0732   0.0504   1.2688    1.3924
    10.45    51.08    1992   0.0743   0.0495   1.2681    1.3919
    10.45    51.08    1993   0.0753   0.0490   1.2682    1.3925
    10.45    51.08    1994   0.0763   0.0481   1.2675    1.3919
    10.45    51.08    1995   0.0774   0.0474   1.2674    1.3923
    10.45    51.08    1996   0.0785   0.0476   1.2678    1.3938
    10.45    51.08    1997   0.0794   0.0459   1.2673    1.3925
    10.45    51.08    1998   0.0806   0.0449   1.2666    1.3921
    10.45    51.08    1999   0.0661   0.0577   1.2673    1.3911
    10.45    51.08    2000   0.0677   0.0558   1.2667    1.3902
    10.45    51.08    2001   0.0686   0.0548   1.2665    1.3900
    10.45    51.08    2002   0.0700   0.0540   1.2669    1.3908
    10.45    51.08    2003   0.0710   0.0518   1.2659    1.3886
    10.45    51.08    2004   0.0723   0.0506   1.2656    1.3885
    10.45    51.08    2005   0.0736   0.0499   1.2652    1.3887
    10.45    51.08    2006   0.0753   0.0486   1.2646    1.3885
    10.45    51.08    2007   0.0768   0.0478   1.2647    1.3893
    10.45    51.08    2008   0.0778   0.0467   1.2636    1.3881
    10.45    51.08    2009   0.0790   0.0458   1.2631    1.3879
    10.45    51.08    2010   0.0802   0.0455   1.2631    1.3887
    10.45    51.08    2011   0.0813   0.0439   1.2623    1.3875
    10.45    51.08    2012   0.0829   0.0429   1.2616    1.3874
