      Lon      Lat    Year    Surf   Drain    Base   Total
    10.45    51.08    1951    75.7    30.6     6.3   112.6
    10.45    51.08    1952   144.2   151.5    17.3   313.1
    10.45    51.08    1953    33.1    51.6     2.4    87.1
    10.45    51.08    1954    18.9    68.2     1.0    88.0
    10.45    51.08    1955    55.6   114.0    12.3   181.9
    10.45    51.08    1956   120.4   141.1    15.4   276.9
    10.45    51.08    1957    11.7    99.3     0.9   112.0
    10.45    51.08    1958   101.6   148.7     9.4   259.7
    10.45    51.08    1959     0.0    29.5     0.0    29.5
    10.45    51.08    1960    76.7    76.7     3.3   156.7
    10.45    51.08    1961    81.8   142.1    11.1   235.1
    10.45    51.08    1962     3.0    65.0     2.6    70.6
    10.45    51.08    1963     8.3    41.0     4.6    53.9
    10.45    51.08    1964    28.0    67.8     0.9    96.7
    10.45    51.08    1965    30.5    71.3     4.9   106.7
    10.45    51.08    1966    92.2   151.5     8.3   252.0
    10.45    51.08    1967     0.2   112.8     0.2   113.2
    10.45    51.08    1968    27.4    90.3     1.8   119.5
    10.45    51.08    1969    50.6   113.3    10.5   174.4
    10.45    51.08    1970    40.7   147.0     5.5   193.2
    10.45    51.08    1971    12.8    49.3     0.2    62.2
    10.45    51.08    1972    47.6    48.6    10.2   106.5
    10.45    51.08    1973    11.0    73.1     2.0    86.1
    10.45    51.08    1974    25.9   136.9     1.8   164.6
    10.45    51.08    1975     0.0    57.5     0.0    57.5
    10.45    51.08    1976     8.0    47.4     2.1    57.5
    10.45    51.08    1977    77.5   110.6     7.4   195.5
    10.45    51.08    1978     2.3    69.4     0.5    72.1
    10.45    51.08    1979    57.4   109.2     3.8   170.3
    10.45    51.08    1980     3.9    85.6     0.5    89.9
    10.45    51.08    1981    68.4   135.8     7.9   212.0
    10.45    51.08    1982    11.8    49.4     1.1    62.2
    10.45    51.08    1983    47.4    53.1     5.2   105.7
    10.45    51.08    1984    34.5   139.6    15.3   189.5
    10.45    51.08    1985     2.7    43.2     0.6    46.6
    10.45    51.08    1986    40.6   113.4     7.1   161.1
    10.45    51.08    1987    96.2   181.0    13.7   290.9
    10.45    51.08    1988    29.8   105.4     4.8   140.0
    10.45    51.08    1989    17.3    67.2     1.5    86.1
    10.45    51.08    1990     6.9    70.0     2.2    79.1
    10.45    51.08    1991    13.9    35.5     1.3    50.7
    10.45    51.08    1992    75.4    86.2     5.6   167.2
    10.45    51.08    1993    46.9   126.4     4.7   178.0
    10.45    51.08    1994    53.8   141.9     3.1   198.8
    10.45    51.08    1995    40.1   138.3     6.6   185.0
    10.45    51.08    1996    38.6   138.4     3.5   180.5
    10.45    51.08    1997    28.6   118.4     7.8   154.8
    10.45    51.08    1998    37.6   147.7     4.1   189.4
    10.45    51.08    1999    19.9   108.4     3.9   132.2
    10.45    51.08    2000    10.4   129.7     2.0   142.1
    10.45    51.08    2001    23.5   162.1     6.2   191.8
    10.45    51.08    2002   127.1   212.8     7.8   347.7
    10.45    51.08    2003     6.6    53.8     1.7    62.1
    10.45    51.08    2004    59.3    81.8     8.1   149.2
    10.45    51.08    2005     5.6    97.7     1.9   105.2
    10.45    51.08    2006    20.9    94.1     2.9   117.9
    10.45    51.08    2007   140.9   159.6     8.5   309.0
    10.45    51.08    2008    13.5   111.1     1.3   125.9
    10.45    51.08    2009    42.8   159.1     2.9   204.8
    10.45    51.08    2010   116.6   147.5    14.3   278.4
    10.45    51.08    2011    63.6    69.3     1.0   133.9
    10.45    51.08    2012    21.7   109.4     1.3   132.4
