      Lon      Lat    Year     Veg    Repr    Soil    Fire     Est       NEE
    10.45    51.08    1951  -0.523   0.052   0.413   0.015   0.000  -0.04305
    10.45    51.08    1952  -0.481   0.048   0.422   0.036  -0.000   0.02489
    10.45    51.08    1953  -0.514   0.051   0.481   0.027   0.000   0.04479
    10.45    51.08    1954  -0.459   0.046   0.399   0.022  -0.000   0.00836
    10.45    51.08    1955  -0.465   0.047   0.365   0.013   0.000  -0.04051
    10.45    51.08    1956  -0.483   0.048   0.351   0.005   0.000  -0.07787
    10.45    51.08    1957  -0.512   0.051   0.423   0.015   0.000  -0.02277
    10.45    51.08    1958  -0.486   0.049   0.399   0.009  -0.000  -0.02931
    10.45    51.08    1959  -0.465   0.046   0.507   0.049  -0.000   0.13758
    10.45    51.08    1960  -0.490   0.049   0.410   0.022  -0.008  -0.01789
    10.45    51.08    1961  -0.506   0.051   0.467   0.025  -0.000   0.03631
    10.45    51.08    1962  -0.448   0.045   0.400   0.034   0.000   0.03188
    10.45    51.08    1963  -0.487   0.049   0.393   0.017   0.000  -0.02787
    10.45    51.08    1964  -0.465   0.047   0.436   0.022   0.000   0.03905
    10.45    51.08    1965  -0.494   0.049   0.348   0.011   0.000  -0.08589
    10.45    51.08    1966  -0.532   0.053   0.380   0.008   0.000  -0.09009
    10.45    51.08    1967  -0.496   0.050   0.416   0.012   0.000  -0.01785
    10.45    51.08    1968  -0.420   0.042   0.456   0.021   0.000   0.09928
    10.45    51.08    1969  -0.404   0.040   0.420   0.020  -0.089  -0.01326
    10.45    51.08    1970  -0.483   0.048   0.415   0.033  -0.003   0.01073
    10.45    51.08    1971  -0.463   0.046   0.522   0.053  -0.001   0.15746
    10.45    51.08    1972  -0.518   0.052   0.379   0.007  -0.000  -0.07960
    10.45    51.08    1973  -0.457   0.046   0.491   0.041   0.000   0.12144
    10.45    51.08    1974  -0.560   0.056   0.415   0.007  -0.000  -0.08253
    10.45    51.08    1975  -0.500   0.050   0.487   0.027  -0.000   0.06325
    10.45    51.08    1976  -0.424   0.042   0.493   0.046   0.000   0.15744
    10.45    51.08    1977  -0.407   0.041   0.411   0.017   0.000   0.06184
    10.45    51.08    1978  -0.405   0.040   0.427   0.027  -0.090  -0.00087
    10.45    51.08    1979  -0.470   0.047   0.460   0.040  -0.001   0.07537
    10.45    51.08    1980  -0.465   0.047   0.467   0.044  -0.000   0.09220
    10.45    51.08    1981  -0.525   0.053   0.450   0.016  -0.000  -0.00633
    10.45    51.08    1982  -0.413   0.041   0.597   0.053   0.000   0.27765
    10.45    51.08    1983  -0.529   0.053   0.509   0.042  -0.005   0.07039
    10.45    51.08    1984  -0.475   0.047   0.374   0.007   0.000  -0.04628
    10.45    51.08    1985  -0.548   0.055   0.505   0.058   0.000   0.07002
    10.45    51.08    1986  -0.540   0.054   0.451   0.033   0.000  -0.00242
    10.45    51.08    1987  -0.539   0.054   0.368   0.007   0.000  -0.11078
    10.45    51.08    1988  -0.481   0.048   0.528   1.470   0.000   1.56483
    10.45    51.08    1989  -0.398   0.040   0.528   0.031   0.000   0.20075
    10.45    51.08    1990  -0.470   0.047   0.462   0.031  -0.081  -0.01109
    10.45    51.08    1991  -0.425   0.042   0.452   0.039  -0.009   0.10066
    10.45    51.08    1992  -0.458   0.046   0.477   0.030  -0.000   0.09538
    10.45    51.08    1993  -0.559   0.056   0.391   0.018  -0.000  -0.09397
    10.45    51.08    1994  -0.551   0.055   0.447   0.012  -0.000  -0.03704
    10.45    51.08    1995  -0.539   0.054   0.393   0.007  -0.000  -0.08480
    10.45    51.08    1996  -0.514   0.051   0.324   0.005   0.000  -0.13342
    10.45    51.08    1997  -0.552   0.055   0.438   0.026   0.000  -0.03243
    10.45    51.08    1998  -0.532   0.053   0.422   0.022   0.000  -0.03535
    10.45    51.08    1999  -0.593   0.059   0.446   0.020   0.000  -0.06821
    10.45    51.08    2000  -0.531   0.053   0.453   0.025  -0.000  -0.00046
    10.45    51.08    2001  -0.546   0.055   0.414   0.019   0.000  -0.05902
    10.45    51.08    2002  -0.526   0.053   0.367   0.004   0.000  -0.10196
    10.45    51.08    2003  -0.481   0.048   0.478   0.028   0.000   0.07342
    10.45    51.08    2004  -0.574   0.057   0.410   0.024  -0.000  -0.08323
    10.45    51.08    2005  -0.570   0.057   0.423   0.022   0.000  -0.06834
    10.45    51.08    2006  -0.552   0.055   0.429   0.016   0.000  -0.05161
    10.45    51.08    2007  -0.596   0.060   0.371   0.009   0.000  -0.15584
    10.45    51.08    2008  -0.525   0.053   0.427   0.022   0.000  -0.02306
    10.45    51.08    2009  -0.536   0.054   0.391   0.014   0.000  -0.07710
    10.45    51.08    2010  -0.533   0.053   0.335   0.011   0.000  -0.13295
    10.45    51.08    2011  -0.584   0.058   0.425   0.021   0.000  -0.07978
    10.45    51.08    2012  -0.513   0.051   0.397   0.017   0.000  -0.04673
