      Lon      Lat    Year    VegC LitterC   SoilC     Total
    10.45    51.08    1951   8.993   6.382  11.968    27.344
    10.45    51.08    1952   9.107   6.241  11.970    27.319
    10.45    51.08    1953   8.917   6.399  11.957    27.274
    10.45    51.08    1954   9.049   6.255  11.962    27.266
    10.45    51.08    1955   8.934   6.401  11.971    27.306
    10.45    51.08    1956   9.100   6.298  11.986    27.384
    10.45    51.08    1957   9.246   6.176  11.984    27.407
    10.45    51.08    1958   7.643   7.809  11.984    27.436
    10.45    51.08    1959   7.800   7.512  11.986    27.298
    10.45    51.08    1960   7.985   7.337  11.994    27.316
    10.45    51.08    1961   8.169   7.117  11.994    27.280
    10.45    51.08    1962   8.325   6.923  12.001    27.248
    10.45    51.08    1963   8.490   6.782  12.004    27.276
    10.45    51.08    1964   8.647   6.590  12.000    27.237
    10.45    51.08    1965   8.412   6.906  12.005    27.323
    10.45    51.08    1966   8.640   6.762  12.011    27.413
    10.45    51.08    1967   6.233   9.191  12.007    27.431
    10.45    51.08    1968   6.362   8.940  12.030    27.332
    10.45    51.08    1969   6.604   8.697  12.044    27.345
    10.45    51.08    1970   6.769   8.507  12.058    27.334
    10.45    51.08    1971   6.900   8.201  12.075    27.177
    10.45    51.08    1972   7.042   8.113  12.102    27.256
    10.45    51.08    1973   7.140   7.880  12.114    27.135
    10.45    51.08    1974   7.359   7.732  12.126    27.217
    10.45    51.08    1975   7.493   7.534  12.127    27.154
    10.45    51.08    1976   6.057   8.816  12.124    26.997
    10.45    51.08    1977   6.171   8.602  12.162    26.935
    10.45    51.08    1978   6.396   8.362  12.178    26.936
    10.45    51.08    1979   6.511   8.166  12.183    26.860
    10.45    51.08    1980   5.758   8.807  12.203    26.768
    10.45    51.08    1981   5.976   8.569  12.230    26.774
    10.45    51.08    1982   6.101   8.166  12.231    26.497
    10.45    51.08    1983   5.765   8.431  12.231    26.426
    10.45    51.08    1984   5.921   8.300  12.252    26.473
    10.45    51.08    1985   6.158   7.985  12.260    26.403
    10.45    51.08    1986   6.366   7.774  12.265    26.405
    10.45    51.08    1987   6.550   7.681  12.285    26.516
    10.45    51.08    1988   5.243   7.426  12.282    24.951
    10.45    51.08    1989   5.323   7.143  12.284    24.750
    10.45    51.08    1990   5.587   6.905  12.269    24.761
    10.45    51.08    1991   5.655   6.758  12.248    24.661
    10.45    51.08    1992   5.772   6.552  12.242    24.565
    10.45    51.08    1993   5.993   6.422  12.244    24.659
    10.45    51.08    1994   6.221   6.245  12.231    24.696
    10.45    51.08    1995   6.449   6.107  12.225    24.781
    10.45    51.08    1996   6.630   6.053  12.231    24.915
    10.45    51.08    1997   6.854   5.873  12.221    24.947
    10.45    51.08    1998   7.051   5.724  12.208    24.982
    10.45    51.08    1999   7.289   5.571  12.190    25.051
    10.45    51.08    2000   7.459   5.424  12.169    25.051
    10.45    51.08    2001   7.649   5.305  12.156    25.110
    10.45    51.08    2002   7.802   5.254  12.155    25.212
    10.45    51.08    2003   7.920   5.091  12.128    25.139
    10.45    51.08    2004   8.112   4.998  12.111    25.222
    10.45    51.08    2005   8.256   4.944  12.091    25.290
    10.45    51.08    2006   8.410   4.863  12.069    25.342
    10.45    51.08    2007   8.671   4.767  12.059    25.498
    10.45    51.08    2008   8.831   4.655  12.035    25.521
    10.45    51.08    2009   9.033   4.546  12.018    25.598
    10.45    51.08    2010   9.218   4.497  12.015    25.731
    10.45    51.08    2011   9.477   4.345  11.989    25.810
    10.45    51.08    2012   9.606   4.288  11.964    25.857
