      Lon      Lat    Year  FireRT
    10.45    51.08    1951   690.2
    10.45    51.08    1952   170.6
    10.45    51.08    1953   534.1
    10.45    51.08    1954   653.9
    10.45    51.08    1955   703.6
    10.45    51.08    1956  1000.0
    10.45    51.08    1957   680.9
    10.45    51.08    1958   841.0
    10.45    51.08    1959   144.9
    10.45    51.08    1960   650.5
    10.45    51.08    1961   477.2
    10.45    51.08    1962   480.4
    10.45    51.08    1963   662.1
    10.45    51.08    1964   631.2
    10.45    51.08    1965   833.2
    10.45    51.08    1966   833.1
    10.45    51.08    1967   709.8
    10.45    51.08    1968   653.3
    10.45    51.08    1969   450.4
    10.45    51.08    1970   502.4
    10.45    51.08    1971   181.1
    10.45    51.08    1972  1000.0
    10.45    51.08    1973   440.3
    10.45    51.08    1974  1000.0
    10.45    51.08    1975   389.0
    10.45    51.08    1976   190.0
    10.45    51.08    1977   713.6
    10.45    51.08    1978   670.8
    10.45    51.08    1979   504.4
    10.45    51.08    1980   473.0
    10.45    51.08    1981   733.9
    10.45    51.08    1982   188.8
    10.45    51.08    1983   409.2
    10.45    51.08    1984  1000.0
    10.45    51.08    1985   452.9
    10.45    51.08    1986   489.7
    10.45    51.08    1987  1000.0
    10.45    51.08    1988   456.4
    10.45    51.08    1989   621.0
    10.45    51.08    1990   440.4
    10.45    51.08    1991   438.5
    10.45    51.08    1992   474.8
    10.45    51.08    1993   528.7
    10.45    51.08    1994   626.3
    10.45    51.08    1995   891.2
    10.45    51.08    1996  1000.0
    10.45    51.08    1997   480.4
    10.45    51.08    1998   518.6
    10.45    51.08    1999   554.0
    10.45    51.08    2000   474.6
    10.45    51.08    2001   506.9
    10.45    51.08    2002  1000.0
    10.45    51.08    2003   191.5
    10.45    51.08    2004   473.1
    10.45    51.08    2005   486.3
    10.45    51.08    2006   659.6
    10.45    51.08    2007   605.6
    10.45    51.08    2008   471.4
    10.45    51.08    2009   522.9
    10.45    51.08    2010   548.4
    10.45    51.08    2011   326.8
    10.45    51.08    2012   560.0
