      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   6.019  12.597  21.598  17.603   5.644  27.984  14.704  18.284   8.340   3.057   4.971   6.169
    10.45    51.08    1952   4.337   3.312  26.814  27.998  19.000  10.796   3.851   1.988  11.416   8.672   6.562   3.899
    10.45    51.08    1953   0.146   5.228  22.313   7.650   5.770  13.587  17.858   8.977   2.662   1.938   3.190   2.262
    10.45    51.08    1954   4.243   9.859  20.186  23.034  10.136   6.963  17.752  16.937   8.539   7.074   3.367   4.905
    10.45    51.08    1955   0.726   6.024   9.964  26.932   9.501  10.198  18.453  20.948   9.210   4.048   3.893   5.601
    10.45    51.08    1956   6.430   0.000  21.817  26.894  16.899  21.041  28.547  16.003   7.172   4.677   3.797   4.002
    10.45    51.08    1957   6.827  12.224  19.126  11.370   9.241  13.819  17.514  15.141   7.342   8.486   9.333   4.879
    10.45    51.08    1958   7.565  10.860   9.861  24.851  18.926  20.074  20.791  15.041   6.956   6.592   5.230   5.810
    10.45    51.08    1959   7.743   9.691  14.005  12.508  10.740  15.576   2.930  12.282   3.732   0.800   7.311   4.518
    10.45    51.08    1960   4.823  11.290  16.920  14.090  16.504  12.075   6.276  11.068  10.392   7.290   5.187   2.123
    10.45    51.08    1961   1.414  15.308  14.695  19.134  20.475  23.799   4.550   7.179   3.838   0.927   2.102   4.067
    10.45    51.08    1962   7.480  11.944   9.437  26.114  12.406   6.101  11.121   5.979   6.184   1.912   0.562   1.570
    10.45    51.08    1963   0.000   0.000  19.895  26.321  11.555  13.422  17.369  20.144   7.407   5.889   4.527   4.429
    10.45    51.08    1964   3.408  12.005  14.591  25.577  23.919  13.344  10.059   9.520   4.802   2.785   3.051   2.796
    10.45    51.08    1965   5.497   0.000  14.333  22.617  21.074  21.732  12.787  12.617   7.805   2.940   1.127   5.332
    10.45    51.08    1966   4.396   9.815  17.403  21.073  12.216  15.446  28.662  16.572  10.418   4.001   7.551   5.711
    10.45    51.08    1967   6.599  11.171  20.501  18.443  12.403  23.686  14.953  11.194  13.006   7.017   3.703   4.262
    10.45    51.08    1968   4.603  11.788  25.703  17.078  17.918  15.870  11.798  11.820  12.243  10.013   5.964   3.150
    10.45    51.08    1969   5.298   3.132   0.000  31.294  27.867  26.370  12.355   7.982  14.739   4.133   2.416   1.596
    10.45    51.08    1970   0.000   2.544  14.052  33.085  18.214   7.626   6.833  16.824   6.744   3.822   2.934   4.737
    10.45    51.08    1971   3.377   9.037  13.930  14.320   9.811   9.664   4.362   1.716   2.017   2.701   2.985   5.454
    10.45    51.08    1972   3.687   7.846  25.753  15.474  12.844  16.339  13.487  19.847   5.856   2.321   3.248   5.341
    10.45    51.08    1973   5.350   9.824  22.633  18.073  14.156   5.880   5.419   5.289   6.105   5.938   5.717   5.528
    10.45    51.08    1974   7.002  10.122  20.124  10.646   9.711  13.075  17.074   8.866   5.591   3.502   8.951   6.690
    10.45    51.08    1975   7.998  11.043  21.054  28.489  14.779  10.139  10.495   3.742   4.649   2.359   2.691   2.677
    10.45    51.08    1976   6.643  10.032  14.826  13.786   6.717  12.838   2.054   2.760   1.241   2.732   2.125   3.063
    10.45    51.08    1977   3.938   9.686  21.118  20.073  13.511  19.747  25.583  25.668  14.351   7.526   8.525   5.676
    10.45    51.08    1978   6.045   5.442  18.122  14.120  15.442   8.907  14.142  14.287   9.336   8.315   4.244   3.783
    10.45    51.08    1979   0.000   0.000  17.725  29.279  16.930   8.423  11.690   6.550   4.162   2.394   4.607   5.653
    10.45    51.08    1980   5.079  11.124  11.903  18.950  15.707   7.727   8.474   3.422   3.388   3.575   3.409   3.428
    10.45    51.08    1981   2.319   8.537  22.777  10.970  18.386  15.032   5.708  13.490   5.538   7.528   9.156   1.919
    10.45    51.08    1982   5.868  11.192  17.068  12.943  13.562   4.571   6.605   5.154   1.051   2.972   1.662   2.154
    10.45    51.08    1983   3.826   5.745  13.780  33.170  14.881  11.976   5.162   9.617   5.633   2.535   0.945   1.265
    10.45    51.08    1984   3.232   8.937  17.574  33.313  19.978  15.650  10.552  13.253   8.523   6.613   4.710   5.726
    10.45    51.08    1985   2.431  10.135  15.128  17.608   6.563   8.735   8.848   7.416   4.639   1.151   0.356   2.841
    10.45    51.08    1986   6.362   3.675  21.584  30.379  18.409  14.485   5.505   7.444   7.907   5.137   3.373   3.865
    10.45    51.08    1987   1.780   4.269   7.223  23.576  11.142  20.983  12.718  14.390   9.005   5.565   3.095   5.479
    10.45    51.08    1988   7.783   8.233  10.995  28.143   6.574   6.704  16.046   5.871   2.752   1.310   1.038   4.551
    10.45    51.08    1989   8.133   9.328  23.316  13.113  16.210  16.834  10.080   9.244   6.362   6.203   8.533   6.144
    10.45    51.08    1990   7.340  13.612  18.459  12.796  11.082  18.734  14.706   5.984   8.130   5.220   3.733   4.121
    10.45    51.08    1991   5.754   7.433  14.428   7.171   5.967   6.820   5.803  13.714   2.504   1.527   1.149   1.795
    10.45    51.08    1992   4.569   8.249  19.500  24.181   8.472  10.227  16.934   6.424   7.809   2.731   6.063   5.941
    10.45    51.08    1993   7.102   3.555  18.806  12.431   9.258  20.244  17.846  10.611   6.719   4.380   5.288   5.784
    10.45    51.08    1994   7.771   9.798  24.676  23.503  15.232  14.875  19.281  11.414  11.032   4.911   5.753   6.346
    10.45    51.08    1995   7.438  14.327  17.356  18.653  15.059  21.390  22.124  13.104  11.414   8.116   4.049   3.082
    10.45    51.08    1996   4.355  10.213  15.090  19.511  17.860  15.950  18.760  17.586   9.102   5.555   4.239   4.852
    10.45    51.08    1997   5.992  14.757  22.914  21.223  11.336   5.075  17.237  12.102   5.799   3.900   4.229   4.058
    10.45    51.08    1998   7.282  10.298  15.712  10.582  12.482  11.109  11.805   5.725  10.866   9.641   9.530   5.441
    10.45    51.08    1999   7.010   9.872  19.278  16.985   9.437  16.453  20.641   8.614   4.898   1.919   4.978   5.506
    10.45    51.08    2000   7.216  15.359  24.840  20.878   8.690   6.483   7.506  10.226   9.857   5.923   4.587   3.416
